"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,79.1870922950276,0.276560785468997,21.9000444441187
1991,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1992,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1993,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1994,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1995,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1996,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1997,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1998,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
1999,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2000,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2001,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2002,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2003,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2004,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2005,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2006,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2007,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2008,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2009,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2010,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2011,1,1,4.31530262775971e-07,0.516052371295492,2.22692215391306e-07
2012,1,1,60.994201819698,0.21495553832594,13.1110414869142
