"region","gear","common_name","Omega1","Epsilon1","Omega2","Epsilon2","obs_model","status","max_grad","rrmse","aic"
"chukchi","otter","poachers",0,0,0,0,"PosLink","confirm_gradient",1.37182201169734e-11,4.744,360.487370978016
"chukchi","otter","poachers",1,0,0,0,"PosLink","confirm_gradient",4.66000571464065e-09,0.618,306.056382641428
"chukchi","otter","poachers",0,1,0,0,"PosLink","confirm_gradient",1.24215304708741e-09,0.566,299.565535892976
"chukchi","otter","poachers",1,1,0,0,"PosLink","confirm_gradient",7.6016677397206e-09,0.55,299.942790146746
"chukchi","otter","poachers",0,0,1,0,"PosLink","confirm_gradient",2.69262545593563e-09,3.555,326.004287929695
"chukchi","otter","poachers",1,0,1,0,"PosLink","confirm_gradient",5.70996583348915e-10,2.683,306.154627398507
"chukchi","otter","poachers",0,1,1,0,"PosLink","confirm_gradient",6.30294039183354e-10,2.868,313.517132612211
"chukchi","otter","poachers",1,1,1,0,"PosLink","confirm_gradient",1.0079497236859e-09,2.683,308.15462740092
"chukchi","otter","poachers",0,0,0,1,"PosLink","confirm_gradient",1.33674116220561e-09,3.713,326.065210672521
"chukchi","otter","poachers",1,0,0,1,"PosLink","confirm_gradient",6.89463819369962e-10,0.812,308.224794740599
"chukchi","otter","poachers",0,1,0,1,"PosLink",NA,NA,NA,NA
"chukchi","otter","poachers",1,1,0,1,"PosLink",NA,NA,NA,NA
"chukchi","otter","poachers",0,0,1,1,"PosLink","confirm_gradient",1.44728978801467e-10,3.691,324.919849354315
"chukchi","otter","poachers",1,0,1,1,"PosLink","confirm_gradient",4.70827821175135e-11,2.805,304.863104958044
"chukchi","otter","poachers",0,1,1,1,"PosLink",NA,NA,NA,NA
"chukchi","otter","poachers",1,1,1,1,"PosLink","confirm_gradient",6.33790797621714e-10,0.882,311.392908698814
"chukchi","otter","poachers",0,0,0,0,"Log_Delta","confirm_gradient",1.86486289120323e-12,4.745,339.210907892851
"chukchi","otter","poachers",1,0,0,0,"Log_Delta","confirm_gradient",7.09705560986151e-09,4.636,322.08743158616
"chukchi","otter","poachers",0,1,0,0,"Log_Delta","confirm_gradient",6.68029493111622e-08,4.593,326.694109917717
"chukchi","otter","poachers",1,1,0,0,"Log_Delta","confirm_gradient",1.23649979144602e-11,4.636,324.087431676959
"chukchi","otter","poachers",0,0,1,0,"Log_Delta","confirm_gradient",5.37949645510793e-12,3.516,325.773871424955
"chukchi","otter","poachers",1,0,1,0,"Log_Delta","confirm_gradient",4.16422452076404e-12,2.859,308.650395209352
"chukchi","otter","poachers",0,1,1,0,"Log_Delta","confirm_gradient",3.47579742765447e-11,2.467,313.257073456894
"chukchi","otter","poachers",1,1,1,0,"Log_Delta","confirm_gradient",8.71913984883076e-11,2.859,310.650395209173
"chukchi","otter","poachers",0,0,0,1,"Log_Delta","confirm_gradient",3.82879575827065e-12,3.716,325.655487071985
"chukchi","otter","poachers",1,0,0,1,"Log_Delta","confirm_gradient",3.02898262027895e-11,3.154,308.532010856532
"chukchi","otter","poachers",0,1,0,1,"Log_Delta","confirm_gradient",2.38409450914347e-10,2.819,313.138689105035
"chukchi","otter","poachers",1,1,0,1,"Log_Delta","confirm_gradient",2.74953709395124e-10,3.154,310.532010856747
"chukchi","otter","poachers",0,0,1,1,"Log_Delta","confirm_gradient",1.06630523223845e-11,3.677,324.604789034795
"chukchi","otter","poachers",1,0,1,1,"Log_Delta","confirm_gradient",9.50459322357489e-10,3.099,307.481312819415
"chukchi","otter","poachers",0,1,1,1,"Log_Delta","confirm_gradient",3.1119343213426e-10,2.754,312.087991067965
"chukchi","otter","poachers",1,1,1,1,"Log_Delta","confirm_gradient",1.22902132915215e-10,3.099,309.481312820928
"chukchi","otter","poachers",0,0,0,0,"Gamma_Delta","confirm_gradient",1.53872318593438e-10,4.744,360.487370978016
"chukchi","otter","poachers",1,0,0,0,"Gamma_Delta","confirm_gradient",3.95299487222877e-12,4.636,343.363894762414
"chukchi","otter","poachers",0,1,0,0,"Gamma_Delta","confirm_gradient",1.78281611695752e-10,4.596,347.970573009869
"chukchi","otter","poachers",1,1,0,0,"Gamma_Delta","confirm_gradient",1.80964132567851e-11,4.636,345.363894762664
"chukchi","otter","poachers",0,0,1,0,"Gamma_Delta","confirm_gradient",6.70730138097042e-12,3.555,326.004287929564
"chukchi","otter","poachers",1,0,1,0,"Gamma_Delta","confirm_gradient",8.60200799479571e-13,2.915,308.880811713953
"chukchi","otter","poachers",0,1,1,0,"Gamma_Delta","confirm_gradient",9.74811342757675e-11,2.533,313.487489961626
"chukchi","otter","poachers",1,1,1,0,"Gamma_Delta","confirm_gradient",3.92134080762219e-09,2.915,310.880811717041
"chukchi","otter","poachers",0,0,0,1,"Gamma_Delta","confirm_gradient",1.20988051660609e-08,3.713,326.065210685236
"chukchi","otter","poachers",1,0,0,1,"Gamma_Delta","confirm_gradient",2.06235029054369e-11,3.149,308.941734455235
"chukchi","otter","poachers",0,1,0,1,"Gamma_Delta","confirm_gradient",3.31692272259598e-09,2.813,313.548412702388
"chukchi","otter","poachers",1,1,0,1,"Gamma_Delta","confirm_gradient",8.20263856837755e-11,3.149,310.941734455722
"chukchi","otter","poachers",0,0,1,1,"Gamma_Delta","confirm_gradient",1.67321154154187e-09,3.691,324.919849355731
"chukchi","otter","poachers",1,0,1,1,"Gamma_Delta","confirm_gradient",4.66201244275766e-10,3.118,307.796373138888
"chukchi","otter","poachers",0,1,1,1,"Gamma_Delta","confirm_gradient",9.01452718027329e-10,2.777,312.403051387642
"chukchi","otter","poachers",1,1,1,1,"Gamma_Delta","confirm_gradient",1.06214814721284e-10,3.118,309.796373137877
