"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,532.61774932121,0.681012433546917,362.71930961552
1991,1,1,195.834156783722,2.19034742244641,428.944840538193
1992,1,1,195.834156783722,2.19034742244641,428.944840538193
1993,1,1,195.834156783722,2.19034742244641,428.944840538193
1994,1,1,195.834156783722,2.19034742244641,428.944840538193
1995,1,1,195.834156783722,2.19034742244641,428.944840538193
1996,1,1,195.834156783722,2.19034742244641,428.944840538193
1997,1,1,195.834156783722,2.19034742244641,428.944840538193
1998,1,1,195.834156783722,2.19034742244641,428.944840538193
1999,1,1,195.834156783722,2.19034742244641,428.944840538193
2000,1,1,195.834156783722,2.19034742244641,428.944840538193
2001,1,1,195.834156783722,2.19034742244641,428.944840538193
2002,1,1,195.834156783722,2.19034742244641,428.944840538193
2003,1,1,195.834156783722,2.19034742244641,428.944840538193
2004,1,1,195.834156783722,2.19034742244641,428.944840538193
2005,1,1,195.834156783722,2.19034742244641,428.944840538193
2006,1,1,195.834156783722,2.19034742244641,428.944840538193
2007,1,1,195.834156783722,2.19034742244641,428.944840538193
2008,1,1,195.834156783722,2.19034742244641,428.944840538193
2009,1,1,195.834156783722,2.19034742244641,428.944840538193
2010,1,1,195.834156783722,2.19034742244641,428.944840538193
2011,1,1,195.834156783722,2.19034742244641,428.944840538193
2012,1,1,6334.22303163799,0.662353288107806,4195.49345261364
