"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,331.124812000327,0.952499837122136,315.39632949741
1991,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1992,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1993,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1994,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1995,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1996,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1997,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1998,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
1999,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2000,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2001,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2002,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2003,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2004,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2005,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2006,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2007,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2008,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2009,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2010,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2011,1,1,1.49032072525516e-05,1.81077806593572,2.69864008050147e-05
2012,1,1,4.4555461191258,0.882623928592609,3.93257161968836
