"station_id","year","lat","lon","bot_temp","bot_depth","cpue_kg_km2"
42,2017,70.50098,-161.0039933,9.7339,24,1318.401937046
51,2017,71.00940667,-159.280355,6.5114,48,713.989022400237
60,2017,70.99301833,-157.8040567,9.071,24,159.6556990143
80,2017,71.49132333,-157.5398667,1.4312,89,527.52009894867
93,2019,71.8785266666667,-153.59436,0.6924,300,0
98,2019,71.7217633333333,-153.764896666667,7.6178,57,1087.00020092425
111,2017,71.33548333,-154.415325,5.6063,24,3701.01483216237
117,2019,72.5092766666667,-166.77785,0.6504,51,122.394339261809
123,2019,72.498685,-165.177461666667,0.5492,50,85.3174603174603
130,2019,72.51072,-163.487681666667,0.4601,48,22.9095074455899
136,2019,72.50659,-161.922415,0.1124,44,743.910467412771
141,2019,72.50346,-160.193388333333,-0.6473,48,60.2296254470167
143,2017,70.99519833,-160.5456517,3.9655,44,0
151,2019,72.7640666666667,-159.596071666667,-0.8709,98,19.6920873612603
156,2019,72.9041133333333,-159.321043333333,0.0549,220,56.6893424036281
168,2019,72.3714133333333,-157.159533333333,0.078,238,118.456078083407
177,2019,71.00198,-157.79667,7.5423,24,765.235627929928
182,2019,71.0021616666667,-159.285906666667,0.3126,53,65.8561296859169
189,2019,70.9978866666667,-160.77992,-0.1688,46,288.805177243311
195,2019,71.0013266666667,-162.379785,1.5744,45,47.9744136460554
202,2019,71.0040983333333,-163.906045,1.7102,43,21.1946050096339
209,2019,71.0014783333333,-165.391881666667,4.7175,41,0
215,2019,71.00235,-167.008858333333,5.3276,45,0
221,2019,71.00523,-168.495913333333,1.3541,47,0
227,2019,71.7536283333333,-168.48793,1.9914,49,0
233,2019,71.750335,-166.8949,4.4328,47,0
239,2019,71.754825,-165.321316666667,1.8001,41,67.4743395591452
245,2019,71.7483566666667,-163.692591666667,0.1737,41,138.903214715489
251,2019,71.7517066666667,-161.985188333333,-0.0868,43,56.0204335465529
257,2019,71.7503833333333,-160.399761666667,-0.3247,49,6515.08722300801
263,2019,71.7518583333333,-158.802716666667,-0.9977,55,692.110874200426
268,2019,71.7500816666667,-157.19918,-1.4101,65,398.046398046398
274,2019,70.251235,-164.09677,7.8022,37,0
275,2017,72.507685,-165.1531183,1.8914,49,0
280,2019,70.246995,-165.49153,5.9596,44,158.730158730159
283,2017,72.49949167,-163.4946017,1.3306,46,183.815192743764
286,2019,70.244915,-167.00263,4.3923,46,12.2100122100122
293,2017,72.49935833,-161.8946833,2.3421,42,15.9320233669676
298,2019,69.5043333333333,-168.4855,4.907,51,2.03500203500203
301,2017,72.47100833,-160.2183,1.1045,45,577.767470624613
304,2019,69.504845,-167.091631666667,6.7768,46,679.144471347861
308,2019,69.5011516666667,-165.71472,8.84779999999999,35,10.8695652173913
317,2019,69.4960966666667,-164.19064,9.7795,23,0
321,2019,68.75709,-167.089675,7.9438,41,0
325,2017,72.23705667,-157.4293767,-0.6888,85,162.973440201163
329,2017,71.987495,-157.1929633,-0.3291,88,0
331,2019,68.7545633333333,-168.509053333333,2.6081,52,0
335,2019,67.998245,-168.52317,3.6361,59,90.7801418439716
340,2017,71.99114667,-158.7975583,-0.3657,52,266.077565046637
344,2019,68.0018166666667,-167.228636666667,5.6149,57,843.934654153632
345,2017,71.98983333,-160.3934717,0.7707,38,0
350,2019,68.00536,-165.75895,10.1814,24,33.8983050847458
353,2017,71.98287833,-162.0114133,2.8695,29,0
359,2019,67.62384,-164.997426666667,8.56439999999999,36,4210.52631578947
363,2017,71.99377,-163.66859,1.551,39,0
371,2019,67.2472583333333,-167.200496666667,7.29,42,0
373,2017,71.99732667,-165.306745,3.4938,41,0
375,2019,67.2490366666667,-165.88962,9.5486,34,80.5496327884388
381,2017,72.00623,-166.938885,2.7332,46,623.354869586025
389,2019,66.8762,-165.014566666667,10.2675,26,0
390,2017,72.0131,-168.5423133,3.165,49,0
394,2019,66.4966533333333,-166.01549,9.862,18,151.515151515152
399,2017,71.501835,-168.51984,1.1518,48,0
402,2019,66.5011833333333,-167.255675,10.6602999999999,29,1085.87368001594
