"Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","common_name","status","max_grad","rrmse","aic"
0,1,0,1,"FALSE","Arctic cod","confirm_gradient",3.68837715924997e-09,5.059,3180.48887210196
1,1,0,1,"FALSE","Arctic cod","confirm_gradient",8.3457020738642e-09,4.995,3150.05919631452
0,0,1,1,"FALSE","Arctic cod","confirm_gradient",2.85259371679558e-09,4.856,3160.71570631246
1,0,1,1,"FALSE","Arctic cod","confirm_gradient",1.93572624596072e-09,4.83,3147.60075889929
0,1,1,1,"FALSE","Arctic cod","confirm_gradient",1.08118172192917e-08,4.921,3157.95039631304
1,1,1,1,"FALSE","Arctic cod","confirm_gradient",0.0150400452682451,4.917,3143.62592385701
0,0,0,0,"TRUE","saffron cod","confirm_gradient",1.17473173794216e-10,4.577,908.097576837653
1,0,0,0,"TRUE","saffron cod","confirm_gradient",1.89620568136206e-08,3.799,869.875631077737
0,1,0,0,"TRUE","saffron cod","confirm_gradient",5.87427625431403e-08,4.173,892.226196399646
1,1,0,0,"TRUE","saffron cod","confirm_gradient",3.75271270447453e-08,3.504,855.537403052808
0,0,1,0,"TRUE","saffron cod","confirm_gradient",9.71633173918462e-09,1.021,880.212155391509
1,0,1,0,"TRUE","saffron cod","confirm_gradient",2.06094341592689e-09,1.482,871.744086299037
0,1,1,0,"TRUE","saffron cod","confirm_gradient",7.67720012007089e-08,2.232,874.28256234467
1,1,1,0,"TRUE","saffron cod","confirm_gradient",2.60300403454039e-09,3.504,857.537403020229
0,0,0,1,"TRUE","saffron cod","confirm_gradient",2.01315097925203e-09,3.425,891.319106375817
1,0,0,1,"TRUE","saffron cod","confirm_gradient",2.36187958080336e-10,2.283,854.934939098704
0,1,0,1,"TRUE","saffron cod","confirm_gradient",1.8098786103149e-07,4.173,894.226196548065
1,1,0,1,"TRUE","saffron cod","confirm_gradient",2.24088011861745e-08,3.504,857.537403043851
0,0,1,1,"TRUE","saffron cod","confirm_gradient",2.27388845530641e-08,1.638,879.227617962177
1,0,1,1,"TRUE","saffron cod","confirm_gradient",6.07067729418986e-11,2.283,856.934939098915
0,1,1,1,"TRUE","saffron cod","confirm_gradient",2.26420806548333e-08,2.232,876.282562364067
1,1,1,1,"TRUE","saffron cod","confirm_gradient",1.249957949645e-10,3.504,859.537403007191
0,0,0,0,"FALSE","saffron cod","confirm_gradient",1.17473173794216e-10,4.577,908.097576837653
1,0,0,0,"FALSE","saffron cod","confirm_gradient",1.04638131492862e-09,3.799,869.875630972688
0,1,0,0,"FALSE","saffron cod","confirm_gradient",4.82411436353303e-08,4.173,892.226196373517
1,1,0,0,"FALSE","saffron cod","confirm_gradient",6.52545877957711e-08,3.504,855.537402729879
0,0,1,0,"FALSE","saffron cod","confirm_gradient",2.18735589641028e-08,1.021,880.212155427671
1,0,1,0,"FALSE","saffron cod","confirm_gradient",4.35497682360619e-09,1.482,871.744086305378
0,1,1,0,"FALSE","saffron cod","confirm_gradient",1.80105896196991e-07,2.232,874.282562361634
1,1,1,0,"FALSE","saffron cod","confirm_gradient",5.82536897886232e-09,3.504,857.537403008169
0,0,0,1,"FALSE","saffron cod","confirm_gradient",5.10516562357566e-09,3.425,891.319106373776
1,0,0,1,"FALSE","saffron cod","confirm_gradient",2.57865018227221e-09,2.283,854.934939099836
0,1,0,1,"FALSE","saffron cod","confirm_gradient",1.0281114709576e-07,4.173,894.226196454831
1,1,0,1,"FALSE","saffron cod","confirm_gradient",3.58600971139822e-09,3.504,857.537403007151
0,0,1,1,"FALSE","saffron cod",NA,NA,NA,NA
1,0,1,1,"FALSE","saffron cod","confirm_gradient",1.8886529673523e-08,2.283,856.934939193845
0,1,1,1,"FALSE","saffron cod","confirm_gradient",1.00239289757553e-07,2.232,876.28256235156
1,1,1,1,"FALSE","saffron cod","confirm_gradient",7.43098573785517e-08,2.781,858.139713945144
