"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2012,1,1,158609.742390056,0.475339586835188,75393.4894157251
2013,1,1,23989.957602256,1.73584087236009,41642.7489321816
2014,1,1,23989.957602256,1.73584087236009,41642.7489321816
2015,1,1,23989.957602256,1.73584087236009,41642.7489321816
2016,1,1,23989.957602256,1.73584087236009,41642.7489321816
2017,1,1,260046.137449952,0.360602660446408,93773.3290032648
2018,1,1,23989.957602256,1.73584087236009,41642.7489321816
2019,1,1,285819.306589343,0.50607769942394,144646.77712968
