"Year","Unit","Estimate","SD_log","SD_mt"
"1990"," [kg]",27841996.2288052,0.429054292849727,11945728.0034748
"1991"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1992"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1993"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1994"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1995"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1996"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1997"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1998"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"1999"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2000"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2001"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2002"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2003"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2004"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2005"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2006"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2007"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2008"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2009"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2010"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2011"," [kg]",232437.336947932,0.676506054642269,157245.265770201
"2012"," [kg]",10201963.688861,0.137702020611538,1404831.01416172
