"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,52065.3014465468,0.607409030009189,31624.9342487829
1991,1,1,209.363464264926,0.579620194300204,121.3512918366
1992,1,1,209.363464264926,0.579620194300204,121.3512918366
1993,1,1,209.363464264926,0.579620194300204,121.3512918366
1994,1,1,209.363464264926,0.579620194300204,121.3512918366
1995,1,1,209.363464264926,0.579620194300204,121.3512918366
1996,1,1,209.363464264926,0.579620194300204,121.3512918366
1997,1,1,209.363464264926,0.579620194300204,121.3512918366
1998,1,1,209.363464264926,0.579620194300204,121.3512918366
1999,1,1,209.363464264926,0.579620194300204,121.3512918366
2000,1,1,209.363464264926,0.579620194300204,121.3512918366
2001,1,1,209.363464264926,0.579620194300204,121.3512918366
2002,1,1,209.363464264926,0.579620194300204,121.3512918366
2003,1,1,209.363464264926,0.579620194300204,121.3512918366
2004,1,1,209.363464264926,0.579620194300204,121.3512918366
2005,1,1,209.363464264926,0.579620194300204,121.3512918366
2006,1,1,209.363464264926,0.579620194300204,121.3512918366
2007,1,1,209.363464264926,0.579620194300204,121.3512918366
2008,1,1,209.363464264926,0.579620194300204,121.3512918366
2009,1,1,209.363464264926,0.579620194300204,121.3512918366
2010,1,1,209.363464264926,0.579620194300204,121.3512918366
2011,1,1,209.363464264926,0.579620194300204,121.3512918366
2012,1,1,21187.8903529832,0.125382041099465,2656.58093904868
