TaxaID,TSN,Kingdom,Subkingdom,Infrakingdom,Superphylum,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Genus,Subgenus,Species,Subspecies,CommonName,Synonyms,TaxaLink,TaxaComments
1022,79498,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Bivalvia,Pteriomorphia,,,Mytiloida,,,,Mytilidae,Dacrydium,,Dacrydium vitreum,,glassy mussel; Arctic glassy-mussel,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=79498,
1023,80520,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Bivalvia,Heterodonta,,,Veneroida,,,Lucinoidea,Thyasiridae,Thyasira,,Thyasira equalis,,equal cleftclam,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=80520,
1024,81964,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Bivalvia,,,,Pholadomyoida,,,,Thraciidae,Thracia,,Thracia myopsis,,Arctic thracia,Thracia beringi,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=81964,
1025,81970,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Bivalvia,,,,Pholadomyoida,,,,Thraciidae,Thracia,,Thracia septentrionalis,,northern thracia,Thracia truncata,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=81970,
1026,90853,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Cumacea,,,,Diastylidae,Diastylis,,Diastylis nucella,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=90853,
1027,90856,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Cumacea,,,,Diastylidae,Diastylis,,Diastylis sulcata,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=90856,
1028,91362,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Tanaidacea,Apseudomorpha,,Apseudoidea,Sphyrapidae,Pseudosphyrapus,,Pseudosphyrapus sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=91362,
1029,93968,Animalia,Bilateria,Protostomia,Ecdysozoa,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Peracarida,Amphipoda,Gammaridea,,,Pontoporeiidae,Pontoporeia,,Pontoporeia affinis,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=93968,
1030,156102,Animalia,Bilateria,Protostomia,Lophozoa,Bryozoa,,Gymnolaemata,,,,Cheilostomata,Anasca,,,Bugulidae,Kinetoskias,,Kinetoskias beringi,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=156102,
1031,158398,Animalia,Bilateria,Deuterostomia,,Echinodermata,Echinozoa,Holothuroidea,Aspidochirotacea,,,Elasipodida,,,,Elpidiidae,Elpidia,,Elpidia sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=158398,
1032,159049,Animalia,Bilateria,Deuterostomia,,Chordata,Urochordata,Ascidiacea,,,,Enterogona,Aplousobranchia,,,Didemnidae,Didemnum,,Didemnum albidum,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=159049,
1033,67354,Animalia,Bilateria,Protostomia,Lophozoa,Annelida,Polychaeta,Sedentaria,Palpata,,,Scolecida,,,,Opheliidae,Ophelia,,Ophelia limacina,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=67354,
