TaxaID,TSN,Kingdom,Subkingdom,Infrakingdom,Superphylum,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Genus,Subgenus,Species,Subspecies,CommonName,Synonyms,TaxaLink,TaxaComments
818,567447,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Conidae,Curtitoma,,Curtitoma violacea,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=567447,
819,76229,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Opisthobranchia,,,Cephalaspidea,,,,Diaphanidae,Diaphana,,Diaphana hiemalis,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=76229,
820,70378,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,,,,Neotaenioglossa,,,,Littorinidae,Lacuna,,Lacuna crassior,,thick lacuna,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=70378,
821,567639,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Conidae,Granotoma,,Granotoma albrechti,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=567639,
822,72969,,,,,,,,,,,,,,,,,,Lunatia pallida,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=72969,
823,69897,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Archaeogastropoda,,,,Trochidae,Margarites,,Margarites groenlandicus,,Greenland margarite,Margarites undulata,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=69897,
824,205105,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Conidae,Oenopota,,Oenopota pyramidalis,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=205105,
825,74676,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Conidae,Oenopota,,Oenopota pingelii,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=74676,
826,74737,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Conidae,Propebela,,Propebela sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=74737,
827,78933,,,,,,,,,,,,,,,,,,Stenosemus albus,,northern white chiton,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=78933,
828,72721,Animalia,Bilateria,Protostomia,Lophozoa,Mollusca,,Gastropoda,,,,Neotaenioglossa,,,,Velutinidae,Velutina,,Velutina laevigata,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=72721,
829,659270,Animalia,Radiata,,,Porifera,,Demospongiae,,,,Astrophorida,,,,Pachastrellidae,Vulcanella,,Vulcanella sp.,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=659270,
831,158506,Animalia,Bilateria,Deuterostomia,,Echinodermata,Echinozoa,Holothuroidea,Apodacea,,,Molpadiida,,,,Molpadiidae,Eupyrgus,,Eupyrgus scaber,,,,http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=158506,
