"Year","Unit","Estimate","SD_log","SD_mt"
"1990"," [kg]",18057181246.4721,4.57624473811484,82634080664.3537
"1991"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1992"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1993"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1994"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1995"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1996"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1997"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1998"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"1999"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2000"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2001"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2002"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2003"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2004"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2005"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2006"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2007"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2008"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2009"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2010"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2011"," [kg]",6510790729949.14,5.84337413363249,38044986140879
"2012"," [kg]",2179385363.62676,4.19914211015982,9151548854.67118
