"year","month","day","date","gear","lon","lat","hauljoin","bot_depth","bot_temp","area_swept_km2","cpue_kg_km2","common_name"
2022,8,20,2022-08-20,"otter",-167.344555,60.665715,-22026,22,9.9,0.044556281,1.30172444149906,"poachers"
2022,8,20,2022-08-20,"otter",-168.0241,60.670495,-22025,26,9.4,0.044404652,2.88258086112239,"poachers"
2022,8,20,2022-08-20,"otter",-168.67883,60.66605,-22024,35,8.1,0.04318788,10.3269713632621,"poachers"
2022,8,19,2022-08-19,"otter",-170.060395,60.670395,-22023,48,4.3,0.047321286,40.2778571994007,"poachers"
2022,8,19,2022-08-19,"otter",-169.38777,60.66884,-22022,42,7.3,0.050990172,1.72582277227855,"poachers"
2022,8,19,2022-08-19,"otter",-169.439805,60.999665,-22021,39,7.6,0.043567359,3.58066230271153,"poachers"
2022,8,19,2022-08-19,"otter",-169.46998,61.326755,-22020,38,7.1,0.04277382,3.74060581916696,"poachers"
2022,8,19,2022-08-19,"otter",-166.73338,60.682975,-22019,19,11,0.045360546,21.8692252954803,"poachers"
2022,8,19,2022-08-19,"otter",-166.70998,61.016565,-22018,15,10.2,0.036935028,7.74332701196274,"poachers"
2022,8,19,2022-08-19,"otter",-166.751865,61.334085,-22017,13,10.2,0.040153413,14.4944092299203,"poachers"
2022,8,18,2022-08-18,"otter",-170.24128,61.999875,-22016,44,0.6,0.04859952,1.97532815138915,"poachers"
2022,8,18,2022-08-18,"otter",-170.188225,61.658755,-22015,44,1,0.04858544,0,"poachers"
2022,8,18,2022-08-18,"otter",-170.15793,61.3246,-22014,45,3.1,0.048308876,2.09071310208087,"poachers"
2022,8,18,2022-08-18,"otter",-170.115145,60.986185,-22013,46,3.5,0.045964175,19.3411499281778,"poachers"
2022,8,17,2022-08-17,"otter",-170.74741,60.659335,-22012,57,1.3,0.05127009,2.61360961137381,"poachers"
2022,8,17,2022-08-17,"otter",-170.80126,60.995915,-22011,52,1.9,0.047595782,4.85337125041879,"poachers"
2022,8,17,2022-08-17,"otter",-170.855905,61.338255,-22010,47,2.3,0.045735437,0,"poachers"
2022,8,17,2022-08-17,"otter",-170.93239,61.662985,-22009,48,0.5,0.04805912,0.166461641411661,"poachers"
