"Year","Unit","Estimate","SD_log","SD_mt"
"1990"," [kg]",891049.126332402,1.74307577159744,1553166.14341307
"1991"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1992"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1993"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1994"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1995"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1996"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1997"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1998"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"1999"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2000"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2001"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2002"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2003"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2004"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2005"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2006"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2007"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2008"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2009"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2010"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2011"," [kg]",209363.464264834,1.58027191926674,330851.203498123
"2012"," [kg]",708033.981796117,0.238288968508299,168716.687191022
