"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2012,1,1,18282.7644763485,0.243778248737412,4456.94030612281
2013,1,1,264.08012362519,0.360072889687583,95.0880932227762
2014,1,1,264.08012362519,0.360072889687583,95.0880932227762
2015,1,1,264.08012362519,0.360072889687583,95.0880932227762
2016,1,1,264.08012362519,0.360072889687583,95.0880932227762
2017,1,1,15542.9235091398,0.188279103541696,2926.40770471797
2018,1,1,264.08012362519,0.360072889687583,95.0880932227762
2019,1,1,13363.4023371901,0.232303450735891,3104.36447650134
