"Year","Unit","Estimate","SD_log","SD_mt"
"1990"," [kg]",6466007.41165797,1.53412840450114,9919685.63393935
"1991"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1992"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1993"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1994"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1995"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1996"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1997"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1998"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"1999"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2000"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2001"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2002"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2003"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2004"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2005"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2006"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2007"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2008"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2009"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2010"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2011"," [kg]",209363.464264834,1.40891435511264,294975.190238837
"2012"," [kg]",834008.334255775,0.179828858189458,149978.766469707
