"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,2794.08096150039,0.858112259730055,2397.63512774181
1991,1,1,212.671091455253,1.42827489610662,303.752781053134
1992,1,1,212.671091455253,1.42827489610662,303.752781053134
1993,1,1,212.671091455253,1.42827489610662,303.752781053134
1994,1,1,212.671091455253,1.42827489610662,303.752781053134
1995,1,1,212.671091455253,1.42827489610662,303.752781053134
1996,1,1,212.671091455253,1.42827489610662,303.752781053134
1997,1,1,212.671091455253,1.42827489610662,303.752781053134
1998,1,1,212.671091455253,1.42827489610662,303.752781053134
1999,1,1,212.671091455253,1.42827489610662,303.752781053134
2000,1,1,212.671091455253,1.42827489610662,303.752781053134
2001,1,1,212.671091455253,1.42827489610662,303.752781053134
2002,1,1,212.671091455253,1.42827489610662,303.752781053134
2003,1,1,212.671091455253,1.42827489610662,303.752781053134
2004,1,1,212.671091455253,1.42827489610662,303.752781053134
2005,1,1,212.671091455253,1.42827489610662,303.752781053134
2006,1,1,212.671091455253,1.42827489610662,303.752781053134
2007,1,1,212.671091455253,1.42827489610662,303.752781053134
2008,1,1,212.671091455253,1.42827489610662,303.752781053134
2009,1,1,212.671091455253,1.42827489610662,303.752781053134
2010,1,1,212.671091455253,1.42827489610662,303.752781053134
2011,1,1,212.671091455253,1.42827489610662,303.752781053134
2012,1,1,915.33138555665,0.179552780649993,164.350295492907
