,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,PAL-140,,PAL-140,,,,,PAL-140,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,M5948-P,,M5948MS-P,,,,,M5948MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,08/07/14,,8/7/2014,,,,,8/7/2014,,,,,,
Extraction Date,,10/27/14,,10/27/2014,,,,,10/27/2014,,,,,,
Analysis Date,,11/11/14,,11/12/2014,,,,,11/12/2014,,,,,,
Analytical Instrument,,MS,,MS,,,,,MS,,,,,,
% Moisture,,22.31,,22.78,,,,,23.96,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,23.70,,12.08,,,,,11.66,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
"14b(H),17b(H)-20R-Cholestane",,0.08,U,0.157,U,,,,0.163,U,,,,,
"14b(H),17b(H)-20S-Cholestane",,0.08,U,0.157,U,,,,0.163,U,,,,,
"14a(H),17a(H)-20S-methylcholestane",,0.08,U,0.157,U,,,,0.163,U,,,,,
"14b(H),17b(H)-20R-Methylcholestane",,0.08,U,0.157,U,,,,0.163,U,,,,,
"14b(H),17b(H)-20S-Methylcholestane",,0.08,U,0.157,U,,,,0.163,U,,,,,
"14a(H),17a(H)-20R-methylcholestane ",,0.081,J,0.157,U,,,,0.163,U,,,,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.08,U,0.157,U,,,,0.163,U,,,,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.082,J,0.157,U,,,,0.163,U,,,,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.071,J,0.157,U,,,,0.163,U,,,,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.18,J,0.157,U,,,,0.163,U,,,,,
C23 Tricyclic Terpane,,0.223,U,0.438,U,,,,0.454,U,,,,,
C24 Tricyclic Terpane ,,0.223,U,0.438,U,,,,0.454,U,,,,,
C25 Tricyclic Terpane,,0.223,U,0.438,U,,,,0.454,U,,,,,
C24 Tetracyclic Terpane,,0.223,U,0.438,U,,,,0.454,U,,,,,
C26 Tricyclic Terpane-22S,,0.223,U,0.438,U,,,,0.454,U,,,,,
C26 Tricyclic Terpane-22R,,0.223,U,0.438,U,,,,0.454,U,,,,,
C28 Tricyclic Terpane-22S,,0.223,U,0.438,U,,,,0.454,U,,,,,
C28 Tricyclic Terpane-22R,,0.223,U,0.438,U,,,,0.454,U,,,,,
C29 Tricyclic Terpane-22S,,0.223,U,0.438,U,,,,0.454,U,,,,,
C29 Tricyclic Terpane-22R,,0.223,U,0.438,U,,,,0.454,U,,,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,0.223,U,0.438,U,,,,0.454,U,,,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,0.223,U,0.438,U,,,,0.454,U,,,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,0.223,U,0.438,U,,,,0.454,U,,,,,
"17a(H),21b(H)-25-Norhopane",,0.223,U,0.438,U,,,,0.454,U,,,,,
30-Norhopane,,0.223,U,0.438,U,,,,0.454,U,,,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,0.223,U,0.438,U,,,,0.454,U,,,,,
17a(H)-Diahopane,,0.223,U,0.438,U,,,,0.454,U,,,,,
30-Normoretane,,0.223,U,0.438,U,,,,0.454,U,,,,,
18a(H) & 18b(H)-Oleananes,,0.223,U,0.438,U,,,,0.454,U,,,,,
"17a(H),21b(H)-hopane",,0.373,J,0.438,U,,,,0.454,U,,,,,
"17b(H),21a(H)-hopane (moretane)",,0.223,U,0.438,U,,,,0.454,U,,,,,
30-Homohopane-22S,,0.223,U,0.438,U,,,,0.454,U,,,,,
30-Homohopane-22R,,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31-Bishomohopane-22S",,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31-Bishomohopane-22R",,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31,32-Trishomohopane-22S",,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31,32-Trishomohopane-22R",,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31,32,33-Tetrakishomohopane-22S",,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31,32,33-Tetrakishomohopane-22R",,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31,32,33,34-Pentakishomohopane-22S",,0.223,U,0.438,U,,,,0.454,U,,,,,
"30,31,32,33,34-Pentakishomohopane-22R",,0.223,U,0.438,U,,,,0.454,U,,,,,
Priority Pollutant PAH,,4.45,,2931.571,,,,,3001.259,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Naphthalene-d8,,62,,66,,,,,66,,,,,,
Acenaphthene-d10,,65,,70,,,,,71,,,,,,
Phenanthrene-d10,,67,,72,,,,,73,,,,,,
Benzo(a)pyrene-d12,,55,,67,,,,,68,,,,,,
5b(H)-Cholane,,95,,105,,,,,105,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
