,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,131205-02: SRM 1974c,,,,,,,
,,,,,,,,,
Battelle ID,,CG915SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,08/27/15,,,,,,,
Extraction Date,,08/27/15,,,,,,,
Analysis Date,,09/04/15,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,90,,,,,,,
% Lipid,,0.78,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,9.54,,,,,,,
Size Unit-Basis,,G_WET,,Certified,,Passing,,Actual,
Units,,NG/G_WET,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
Naphthalene,,8.761,,,,,,,
C1-Naphthalenes,,1.923,,,,,,,
C2-Naphthalenes,,3.912,,,,,,,
C3-Naphthalenes,,5.154,,,,,,,
C4-Naphthalenes,,5.977,,,,,,,
Biphenyl,,0.464,U,,,,,,
Acenaphthylene,,0.408,U,,,,,,
Acenaphthene,,0.913,,,,,,,
Dibenzofuran,,1.017,,,,,,,
Fluorene,,1.611,,2.31,0.04,31.73,,30.3,
C1-Fluorenes,,2.450,,,,,,,
C2-Fluorenes,,5.314,,,,,,,
C3-Fluorenes,,7.350,,,,,,,
Anthracene,,1.023,,1.17,0.08,36.84,,12.6,
Phenanthrene,,17.501,,19.6,0.40,32.04,,10.7,
C1-Phenanthrenes/Anthracenes,,12.155,,,,,,,
C2-Phenanthrenes/Anthracenes,,16.354,,,,,,,
C3-Phenanthrenes/Anthracenes,,11.909,,,,,,,
C4-Phenanthrenes/Anthracenes,,5.200,,,,,,,
Retene,,1.076,,,,,,,
Dibenzothiophene,,1.037,,1.53,0.02,31.31,,32.2,n
C1-Dibenzothiophenes,,1.835,,,,,,,
C2-Dibenzothiophenes,,6.098,,,,,,,
C3-Dibenzothiophenes,,7.123,,,,,,,
C4-Dibenzothiophenes,,4.997,,,,,,,
Fluoranthene,,50.493,,45.3,0.80,31.77,,11.5,
Pyrene,,27.407,,23.9,1.60,36.69,,14.7,
C1-Fluoranthenes/Pyrenes,,12.597,,,,,,,
C2-Fluoranthenes/Pyrenes,,4.654,,,,,,,
C3-Fluoranthenes/Pyrenes,,3.171,,,,,,,
Benzo(a)anthracene,,4.129,,5.69,0.11,31.93,,27.4,
Chrysene,,18.492,,,,,,,
C1-Chrysenes,,3.762,,,,,,,
C2-Chrysenes,,3.377,,,,,,,
C3-Chrysenes,,0.226,U,,,,,,
C4-Chrysenes,,0.226,U,,,,,,
Benzo(b)fluoranthene,,6.818,,,,,,,
Benzo(k)fluoranthene,,5.500,,4.82,0.03,30.62,,14.1,
Benzo(e)pyrene,,8.832,,7.33,0.05,30.68,,20.5,
Benzo(a)pyrene,,1.712,,2.32,0.03,31.29,,26.2,
Perylene,,0.630,,0.56,0.02,33.93,,12.5,
"Indeno(1,2,3-cd)pyrene",,2.522,,,,,,,
"Dibenz(a,h)anthracene",,0.107,U,,,,,,
"Benzo(g,h,i)perylene",,3.023,,2.82,0.05,31.77,,7.2,
Total PAH,,286.733,,,,,,,
