,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,131023-02: NIST SRM 1941b,,,,,,,
,,,,,,,,,
Battelle ID,,CG921SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,08/25/15,,,,,,,
Extraction Date,,08/25/15,,,,,,,
Analysis Date,,09/03/15,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,2.4,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,1.65,,,,,,,
Size Unit-Basis,,G_DRY,,Certified,,Passing,,Actual,
Units,,NG/G_DRY,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
30-Homohopane-22S,,59.324,,,,,,,
30-Homohopane-22R,,42.841,,,,,,,
"30,31-Bishomohopane-22S",,34.828,,,,,,,
"30,31-Bishomohopane-22R",,25.743,,,,,,,
"30,31,32-Trishomohopane-22S",,33.993,,,,,,,
"30,31,32-Trishomohopane-22R",,14.401,J,,,,,,
"30,31,32,33-Tetrakishomohopane-22S",,12.237,J,,,,,,
"30,31,32,33-Tetrakishomohopane-22R",,8.112,J,,,,,,
"30,31,32,33,34-Pentakishomohopane-22S",,10.106,J,,,,,,
"30,31,32,33,34-Pentakishomohopane-22R",,5.827,J,,,,,,
Priority Pollutant PAH,,5645.437,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,62,,,,,,,
Acenaphthene-d10,,72,,,,,,,
Phenanthrene-d10,,80,,,,,,,
Benzo(a)pyrene-d12,,71,,,,,,,
5b(H)-Cholane,,79,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
