,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,,,,,,
,,,,,,,,,
Battelle ID,,CD307PB-P,,,,,,,
Sample Type,,PB,,,,,,,
Collection Date,,10/17/14,,,,,,,
Extraction Date,,10/17/14,,,,,,,
Analysis Date,,11/07/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,81.36, ,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,3.73,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,NG/G_DRY,,,,,,,
,,,,,,,,,
"14a(H),17a(H)-20S-Cholestane",,0.424,U,,,,,,
"14b(H),17b(H)-20R-Cholestane",,0.424,U,,,,,,
"14b(H),17b(H)-20S-Cholestane",,0.424,U,,,,,,
"14a(H),17a(H)-20S-methylcholestane",,0.424,U,,,,,,
"14b(H),17b(H)-20R-Methylcholestane",,0.424,U,,,,,,
"14b(H),17b(H)-20S-Methylcholestane",,0.424,U,,,,,,
"14a(H),17a(H)-20R-methylcholestane ",,0.424,U,,,,,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.424,U,,,,,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.424,U,,,,,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.424,U,,,,,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.424,U,,,,,,
C23 Tricyclic Terpane,,1.461,U,,,,,,
C24 Tricyclic Terpane ,,1.461,U,,,,,,
C25 Tricyclic Terpane,,1.461,U,,,,,,
C24 Tetracyclic Terpane,,1.461,U,,,,,,
C26 Tricyclic Terpane-22S,,1.461,U,,,,,,
C26 Tricyclic Terpane-22R,,1.461,U,,,,,,
C28 Tricyclic Terpane-22S,,1.461,U,,,,,,
C28 Tricyclic Terpane-22R,,1.461,U,,,,,,
C29 Tricyclic Terpane-22S,,1.461,U,,,,,,
C29 Tricyclic Terpane-22R,,1.461,U,,,,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,1.461,U,,,,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,1.461,U,,,,,,
