,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IM85: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CH071NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,09/03/15,,,,,,,
Extraction Date,,09/03/15,,,,,,,
Analysis Date,,09/04/15,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.04,,,,,,,
Size Unit-Basis,,G_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
Naphthalene,,707.821,,676.23,4.7,,,,
C1-Naphthalenes,,1587.827,,1450.57,9.5,,,,
C2-Naphthalenes,,2000.683,,1786.47,12.0,,,,
C3-Naphthalenes,,1497.710,,1336.32,12.1,,,,
C4-Naphthalenes,,814.131,,732.55,11.1,,,,
Biphenyl,,219.116,,213.99,2.4,,,,
Acenaphthylene,,7.812,,,,,,,
Acenaphthene,,13.661,,11.95,14.3,,,,
Dibenzofuran,,73.728,,71.17,3.6,,,,
Fluorene,,101.953,,94.39,8.0,,,,
C1-Fluorenes,,242.882,,239.32,1.5,,,,
C2-Fluorenes,,349.018,,349.52,0.1,,,,
C3-Fluorenes,,307.791,,311.37,1.1,,,,
Anthracene,,2.583,U,,,,,,
Phenanthrene,,309.666,,293.23,5.6,,,,
C1-Phenanthrenes/Anthracenes,,635.211,,610.79,4.0,,,,
C2-Phenanthrenes/Anthracenes,,683.511,,675.89,1.1,,,,
C3-Phenanthrenes/Anthracenes,,519.329,,472.86,9.8,,,,
C4-Phenanthrenes/Anthracenes,,207.245,,179.20,15.7,,,,
Retene,,36.167,,,,,,,
Dibenzothiophene,,232.046,,236.53,1.9,,,,
C1-Dibenzothiophenes,,419.110,,447.76,6.4,,,,
C2-Dibenzothiophenes,,570.066,,587.43,3.0,,,,
C3-Dibenzothiophenes,,495.434,,486.78,1.8,,,,
C4-Dibenzothiophenes,,253.464,,246.27,2.9,,,,
Fluoranthene,,4.833,,,,,,,
Pyrene,,13.749,,14.07,2.3,,,,
C1-Fluoranthenes/Pyrenes,,88.632,,80.37,10.3,,,,
C2-Fluoranthenes/Pyrenes,,140.215,,129.00,8.7,,,,
C3-Fluoranthenes/Pyrenes,,163.276,,147.57,10.6,,,,
Benzo(a)anthracene,,1.970,J,,,,,,
Chrysene,,53.541,,50.47,6.1,,,,
C1-Chrysenes,,90.319,,85.54,5.6,,,,
C2-Chrysenes,,119.261,,107.24,11.2,,,,
C3-Chrysenes,,91.901,,89.83,2.3,,,,
C4-Chrysenes,,75.596,,67.08,12.7,,,,
Benzo(b)fluoranthene,,7.343,,6.90,6.4,,,,
Benzo(k)fluoranthene,,5.132,U,,,,,,
Benzo(e)pyrene,,12.389,,13.16,5.9,,,,
Benzo(a)pyrene,,2.578,U,,,,,,
Perylene,,2.588,U,,,,,,
"Indeno(1,2,3-cd)pyrene",,2.580,U,,,,,,
"Dibenz(a,h)anthracene",,2.559,U,,,,,,
