,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Laboratory Control Sample,,,,,,,
,,,,,,,,,
Battelle ID,,CG923LCS-P,,,,,,,
Sample Type,,LCS,,,,,,,
Collection Date,,08/31/15,,,,,,,
Extraction Date,,08/31/15,,,,,,,
Analysis Date,,09/11/15,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,39.28,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,18.26,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,NG/G_DRY,,Target,% Recovery,Qualifier,,,
,,,,,,,,,
Naphthalene,,100.596,,109.84,92,,,,
C1-Naphthalenes,,0.242,U,,,,,,
C2-Naphthalenes,,0.242,U,,,,,,
C3-Naphthalenes,,0.242,U,,,,,,
C4-Naphthalenes,,0.242,U,,,,,,
Biphenyl,,93.352,,109.81,85,,,,
Acenaphthylene,,102.432,,109.88,93,,,,
Acenaphthene,,104.858,,109.82,95,,,,
Dibenzofuran,,94.262,,109.80,86,,,,
Fluorene,,103.378,,109.91,94,,,,
C1-Fluorenes,,0.063,U,,,,,,
C2-Fluorenes,,0.063,U,,,,,,
C3-Fluorenes,,0.063,U,,,,,,
Anthracene,,105.761,,109.80,96,,,,
Phenanthrene,,103.321,,109.77,94,,,,
C1-Phenanthrenes/Anthracenes,,0.112,U,,,,,,
C2-Phenanthrenes/Anthracenes,,0.112,U,,,,,,
C3-Phenanthrenes/Anthracenes,,0.112,U,,,,,,
C4-Phenanthrenes/Anthracenes,,0.112,U,,,,,,
Retene,,0.159,U,,,,,,
Dibenzothiophene,,87.078,,109.89,79,,,,
C1-Dibenzothiophenes,,0.066,U,,,,,,
C2-Dibenzothiophenes,,0.066,U,,,,,,
C3-Dibenzothiophenes,,0.066,U,,,,,,
C4-Dibenzothiophenes,,0.066,U,,,,,,
Fluoranthene,,113.045,,109.88,103,,,,
Pyrene,,109.673,,109.82,100,,,,
C1-Fluoranthenes/Pyrenes,,0.244,U,,,,,,
C2-Fluoranthenes/Pyrenes,,0.244,U,,,,,,
C3-Fluoranthenes/Pyrenes,,0.244,U,,,,,,
Benzo(a)anthracene,,109.251,,109.86,99,,,,
Chrysene,,103.809,,109.77,95,,,,
C1-Chrysenes,,0.152,U,,,,,,
C2-Chrysenes,,0.152,U,,,,,,
C3-Chrysenes,,0.152,U,,,,,,
C4-Chrysenes,,0.152,U,,,,,,
Benzo(b)fluoranthene,,114.387,,109.97,104,,,,
Benzo(k)fluoranthene,,113.896,,109.81,104,,,,
Benzo(e)pyrene,,105.005,,109.90,96,,,,
Benzo(a)pyrene,,107.558,,109.69,98,,,,
Perylene,,94.326,,109.87,86,,,,
"Indeno(1,2,3-cd)pyrene",,109.585,,109.82,100,,,,
"Dibenz(a,h)anthracene",,116.740,,109.74,106,,,,
"Benzo(g,h,i)perylene",,105.990,,109.89,96,,,,
Total PAH,,2198.303,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,0.104,U,,,,,,
"13b(H),17a(H)-20S-Diacholestane ",,0.104,U,,,,,,
