Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,15.75,,17.08,,11.36,,22.17,,12.41,,12.81,,14.51,,15.66,,12.57,,14.19,,12.94,,8.01,,12.20,,12.46,,21.86,,19.18,,22.85,,14.47,,10.17,,11.01,,14.70,,19.35,,23.70,,16.79,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Hexacosane,,0.052,J,0.07,,0.126,,0.02,J,0.095,,0.09,,0.062,J,0.055,J,0.095,,0.067,J,0.098,,0.19,,0.116,,0.11,,0.026,J,0.192,,0.017,J,0.081,,0.215,,0.235,,0.096,,0.166,,0.005,J,0.134,
n-Heptacosane,,0.135,,0.261,,0.565,,0.128,,0.402,,0.41,,0.146,,0.151,,0.294,,0.177,,0.349,,0.687,,0.313,,0.298,,0.102,,0.874,,0.043,J,0.239,,0.893,,1.052,,0.322,,0.699,,0.021,J,0.688,
n-Octacosane,,0.041,J,0.052,J,0.108,,0.015,J,0.078,J,0.07,J,0.047,J,0.043,J,0.077,J,0.049,J,0.072,J,0.151,,0.09,,0.083,,0.017,J,0.142,,0.01,J,0.061,J,0.163,,0.177,,0.075,,0.129,,0.004,J,0.096,
n-Nonacosane,,0.127,,0.245,,0.54,,0.09,,0.349,,0.353,,0.13,,0.138,,0.267,,0.156,,0.292,,0.568,,0.281,,0.269,,0.076,,0.689,,0.034,J,0.211,,0.702,,0.833,,0.28,,0.549,,0.015,J,0.523,
n-Triacontane,,0.034,J,0.045,J,0.086,J,0.012,J,0.063,J,0.058,J,0.038,J,0.036,J,0.062,J,0.041,J,0.055,J,0.112,J,0.07,J,0.066,J,0.013,J,0.117,,0.008,J,0.048,J,0.126,,0.141,,0.058,J,0.099,,0.003,J,0.079,
n-Hentriacontane,,0.118,,0.232,,0.503,,0.076,,0.318,,0.317,,0.121,,0.13,,0.245,,0.145,,0.259,,0.497,,0.261,,0.237,,0.065,,0.617,,0.031,J,0.192,,0.62,,0.741,,0.25,,0.456,,0.014,J,0.447,
n-Dotriacontane,,0.017,J,0.021,J,0.036,J,0.006,J,0.025,J,0.025,J,0.018,J,0.015,J,0.029,J,0.018,J,0.023,J,0.049,J,0.035,J,0.032,J,0.005,J,0.045,J,0.004,J,0.023,J,0.052,J,0.061,J,0.026,J,0.04,J,0.004,J,0.031,J
n-Tritriacontane,,0.051,J,0.08,,0.163,,0.025,J,0.106,,0.104,,0.054,J,0.064,,0.097,,0.086,,0.145,,0.213,,0.143,,0.109,,0.038,J,0.229,,0.012,J,0.08,,0.235,,0.269,,0.116,,0.174,,0.006,J,0.15,
n-Tetratriacontane,,0.009,J,0.009,J,0.016,J,0.002,J,0.012,J,0.01,J,0.01,J,0.009,J,0.014,J,0.011,J,0.01,J,0.022,J,0.019,J,0.018,J,0.002,J,0.018,J,0.003,J,0.011,J,0.024,J,0.024,J,0.012,J,0.017,J,0.002,J,0.011,J
n-Pentatriacontane,,0.017,J,0.018,J,0.029,J,0.003,J,0.022,J,0.019,J,0.02,J,0.016,J,0.025,J,0.022,J,0.02,J,0.043,J,0.03,J,0.03,J,0.004,J,0.037,J,0.005,J,0.02,J,0.047,J,0.051,J,0.024,J,0.034,J,0.004,U,0.023,J
