,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,140512-01: SRM 1974c,,,,,,,
,,,,,,,,,
Battelle ID,,CD309SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,10/17/14,,,,,,,
Extraction Date,,10/17/14,,,,,,,
Analysis Date,,11/07/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,90,,,,,,,
% Lipid,,0.74,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,7.75,,,,,,,
Size Unit-Basis,,G_WET,,Certified,,Passing,,Actual,
Units,,NG/G_WET,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
Naphthalene,,7.284,,,,,,,
C1-Naphthalenes,,2.705,,,,,,,
C2-Naphthalenes,,3.371,,,,,,,
C3-Naphthalenes,,10.347,,,,,,,
C4-Naphthalenes,,4.347,,,,,,,
Biphenyl,,0.368,J,,,,,,
Acenaphthylene,,0.405,J,,,,,,
Acenaphthene,,0.892,,,,,,,
Dibenzofuran,,0.922,,,,,,,
Fluorene,,1.411,,2.31,0.04,31.73,,38.9,n
C1-Fluorenes,,2.056,,,,,,,
C2-Fluorenes,,3.873,,,,,,,
C3-Fluorenes,,4.823,,,,,,,
Anthracene,,0.947,,1.17,0.08,36.84,,19.1,
Phenanthrene,,16.64,,19.6,0.40,32.04,,15.1,
C1-Phenanthrenes/Anthracenes,,10.248,,,,,,,
C2-Phenanthrenes/Anthracenes,,11.939,,,,,,,
C3-Phenanthrenes/Anthracenes,,7.681,,,,,,,
C4-Phenanthrenes/Anthracenes,,3.398,,,,,,,
Retene,,0.922,,,,,,,
Dibenzothiophene,,0.927,,1.53,0.02,31.31,,39.4,n
C1-Dibenzothiophenes,,7.866,,,,,,,
C2-Dibenzothiophenes,,4.393,,,,,,,
C3-Dibenzothiophenes,,4.925,,,,,,,
C4-Dibenzothiophenes,,3.324,,,,,,,
Fluoranthene,,46.244,,45.3,0.80,31.77,,2.1,
Pyrene,,25.679,,23.9,1.60,36.69,,7.4,
C1-Fluoranthenes/Pyrenes,,9.949,,,,,,,
C2-Fluoranthenes/Pyrenes,,3.871,,,,,,,
C3-Fluoranthenes/Pyrenes,,2.335,,,,,,,
Benzo(a)anthracene,,3.653,,5.69,0.11,31.93,,35.8,N
Chrysene,,15.304,,,,,,,
C1-Chrysenes,,3.191,,,,,,,
C2-Chrysenes,,1.73,,,,,,,
C3-Chrysenes,,0.278,U,,,,,,
C4-Chrysenes,,0.278,U,,,,,,
Benzo(b)fluoranthene,,6.084,,,,,,,
Benzo(k)fluoranthene,,4.929,,4.82,0.03,30.62,,2.3,
Benzo(e)pyrene,,7.981,,7.33,0.05,30.68,,8.9,
Benzo(a)pyrene,,1.706,,2.32,0.03,31.29,,26.5,
Perylene,,0.692,,0.56,0.02,33.93,,23.6,
"Indeno(1,2,3-cd)pyrene",,1.965,,,,,,,
"Dibenz(a,h)anthracene",,0.342,J,,,,,,
"Benzo(g,h,i)perylene",,2.687,,2.82,0.05,31.77,,4.7,
Total PAH,,253.434,,,,,,,
