,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,PAL-101,,PAL-102,,PAL-103,,PAL-104,,PAL-105,,PAL-106,,PAL-107,,PAL-148,,PAL-108,,PAL-108-REP,,PAL-109,,PAL-110,,PAL-111,,PAL-142,,PAL-112,,PAL-113,,PAL-115,,PAL-116,,PAL-117,,PAL-118,,PAL-119,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battelle ID,,M5905-P,,M5906-P,,M5907-P,,M5908-P,,M5909-P,,M5910-P,,M5911-P,,M5912-P,,M5913-P,,M5914-P,,M5915-P,,M5916-P,,M5917-P,,M5918-P,,M5919-P,,M5920-P,,M5922-P,,M5923-P,,M5924-P,,M5925-P,,M5926-P,
Sample Type,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,
Collection Date,,07/31/14,,07/31/14,,07/31/14,,07/31/14,,08/01/14,,08/01/14,,08/01/14,,08/01/14,,08/01/14,,08/01/14,,08/01/14,,08/01/14,,08/01/14,,08/01/14,,08/02/14,,08/02/14,,08/02/14,,08/02/14,,08/02/14,,08/02/14,,08/03/14,
Extraction Date,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,,10/16/14,
Analysis Date,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/07/14,,11/07/14,,11/07/14,,11/07/14,,11/07/14,,11/07/14,,11/07/14,
Analytical Instrument,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,
% Moisture,,31.77,,24.62,,62.19,,28.81,,43,,23.94,,41.04,,50.12,,46.49,,44.59,,38.64,,53.44,,49.51,,41.58,,45.64,,47.63,,44.27,,33,,40,,50.24,,50.36,
% Lipid,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,21.25,,23.46,,11.72,,21.75,,17.17,,23.10,,17.91,,15.61,,16.11,,16.82,,18.56,,14.06,,15.41,,17.60,,16.36,,16.53,,17.00,,20.30,,18.05,,15.01,,16.11,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Nonane,,0.01,J,0.004,J,0.036,J,0.026,J,0.021,J,0.002,J,0.01,J,0.015,J,0.015,J,0.015,J,0.015,J,0.017,J,0.015,J,0.01,J,0.013,J,0.011,J,0.011,J,0.006,J,0.009,J,0.013,J,0.017,J
n-Decane,,0.033,J,0.017,J,0.111,,0.075,,0.057,J,0.016,J,0.029,J,0.048,J,0.046,J,0.044,J,0.045,J,0.052,J,0.046,J,0.046,J,0.043,J,0.045,J,0.04,J,0.027,J,0.03,J,0.041,J,0.054,J
n-Undecane,,0.025,J,0.006,J,0.089,,0.06,,0.049,J,0.004,J,0.023,J,0.037,J,0.038,J,0.037,J,0.037,J,0.042,J,0.035,J,0.023,J,0.032,J,0.032,J,0.031,J,0.016,J,0.021,J,0.031,J,0.045,J
n-Dodecane,,0.027,J,0.006,J,0.094,,0.065,,0.054,J,0.004,J,0.025,J,0.046,J,0.044,J,0.043,J,0.042,J,0.048,J,0.038,J,0.025,J,0.036,J,0.038,J,0.035,J,0.016,J,0.022,J,0.037,J,0.053,J
n-Tridecane,,0.032,J,0.006,J,0.111,,0.074,,0.064,,0.004,J,0.034,J,0.057,J,0.057,J,0.057,J,0.055,,0.061,J,0.052,J,0.031,J,0.049,J,0.05,J,0.046,J,0.022,J,0.029,J,0.049,J,0.067,
Isoprenoid RRT 1380,,0.01,J,0.003,J,0.032,J,0.019,J,0.019,J,0.001,J,0.011,J,0.019,J,0.021,J,0.019,J,0.021,J,0.02,J,0.018,J,0.012,J,0.017,J,0.018,J,0.017,J,0.008,J,0.011,J,0.017,J,0.023,J
n-Tetradecane,,0.034,J,0.008,J,0.125,,0.079,,0.073,,0.006,J,0.038,J,0.066,,0.066,,0.069,,0.065,,0.07,J,0.058,J,0.036,J,0.055,J,0.06,J,0.057,J,0.026,J,0.035,J,0.057,J,0.078,
Isoprenoid RRT 1470,,0.017,J,0.004,J,0.064,J,0.039,J,0.036,J,0.003,J,0.021,J,0.04,J,0.041,J,0.04,J,0.038,J,0.039,J,0.032,J,0.023,J,0.03,J,0.035,J,0.032,J,0.015,J,0.021,J,0.036,J,0.046,J
n-Pentadecane,,0.04,J,0.009,J,0.154,,0.092,,0.092,,0.006,J,0.053,J,0.09,,0.089,,0.092,,0.088,,0.092,,0.074,,0.051,J,0.075,,0.081,,0.073,,0.034,J,0.046,J,0.078,,0.101,
n-Hexadecane,,0.037,J,0.012,J,0.15,,0.09,,0.089,,0.008,J,0.049,J,0.084,,0.088,,0.091,,0.083,,0.091,,0.076,,0.051,J,0.075,,0.083,,0.072,,0.037,J,0.048,J,0.078,,0.102,
Norpristane (1650),,0.012,J,0.003,J,0.047,J,0.028,J,0.025,J,0.002,J,0.018,J,0.033,J,0.029,J,0.034,J,0.032,J,0.033,J,0.027,J,0.017,J,0.027,J,0.032,J,0.029,J,0.013,J,0.017,J,0.027,J,0.039,J
n-Heptadecane,,0.042,J,0.009,J,0.166,,0.101,,0.106,,0.007,J,0.062,,0.1,,0.094,,0.106,,0.106,,0.107,,0.089,,0.054,J,0.084,,0.092,,0.086,,0.039,J,0.054,J,0.109,,0.115,
Pristane,,0.035,J,0.008,J,0.139,,0.073,,0.077,,0.007,J,0.061,,0.105,,0.089,,0.099,,0.093,,0.112,,0.091,,0.064,,0.101,,0.094,,0.088,,0.048,J,0.059,,0.096,,0.127,
n-Octadecane,,0.038,J,0.008,J,0.139,,0.086,,0.089,,0.006,J,0.049,J,0.107,,0.078,,0.093,,0.083,,0.088,,0.071,,0.045,J,0.068,,0.079,,0.07,,0.032,J,0.046,J,0.078,,0.096,
Phytane,,0.018,J,0.004,J,0.066,J,0.037,J,0.039,J,0.003,J,0.028,J,0.061,J,0.055,J,0.064,,0.062,,0.063,J,0.052,J,0.033,J,0.054,J,0.062,,0.054,J,0.026,J,0.034,J,0.057,J,0.075,
n-Nonadecane,,0.048,,0.01,J,0.178,,0.113,,0.125,,0.008,J,0.065,,0.099,,0.092,,0.111,,0.106,,0.101,,0.086,,0.052,J,0.082,,0.089,,0.083,,0.036,J,0.058,,0.105,,0.105,
n-Eicosane,,0.041,J,0.009,J,0.159,,0.102,,0.116,,0.007,J,0.056,,0.086,,0.085,,0.099,,0.098,,0.093,,0.077,,0.046,J,0.072,,0.081,,0.074,,0.033,J,0.051,J,0.091,,0.094,
n-Heneicosane,,0.066,,0.015,J,0.243,,0.175,,0.188,,0.011,J,0.092,,0.117,,0.114,,0.132,,0.138,,0.123,,0.106,,0.064,,0.09,,0.099,,0.097,,0.041,J,0.072,,0.153,,0.11,
n-Docosane,,0.054,,0.013,J,0.195,,0.136,,0.155,,0.009,J,0.072,,0.092,,0.091,,0.109,,0.113,,0.101,,0.086,,0.052,J,0.076,,0.082,,0.079,,0.034,J,0.06,,0.116,,0.092,
n-Tricosane,,0.117,,0.03,J,0.365,,0.305,,0.275,,0.023,J,0.147,,0.149,,0.149,,0.175,,0.2,,0.165,,0.147,,0.09,,0.113,,0.123,,0.126,,0.055,,0.103,,0.238,,0.124,
n-Tetracosane,,0.052,,0.013,J,0.178,,0.132,,0.135,,0.01,J,0.068,,0.085,,0.084,,0.101,,0.104,,0.091,,0.08,,0.048,J,0.067,,0.072,,0.07,,0.033,J,0.057,,0.11,,0.08,
n-Pentacosane,,0.139,,0.032,J,0.408,,0.353,,0.301,,0.028,J,0.208,,0.215,,0.205,,0.22,,0.298,,0.193,,0.19,,0.129,,0.144,,0.167,,0.167,,0.072,,0.139,,0.336,,0.152,
n-Hexacosane,,0.041,J,0.01,J,0.143,,0.105,,0.107,,0.007,J,0.06,,0.072,,0.07,,0.085,,0.093,,0.079,,0.068,,0.041,J,0.058,J,0.062,,0.062,,0.028,J,0.049,J,0.097,,0.069,
n-Heptacosane,,0.16,,0.039,J,0.522,,0.439,,0.379,,0.03,J,0.24,,0.234,,0.221,,0.263,,0.332,,0.262,,0.23,,0.137,,0.166,,0.18,,0.194,,0.082,,0.159,,0.448,,0.167,
n-Octacosane,,0.03,J,0.007,J,0.106,,0.083,,0.081,,0.005,J,0.043,J,0.057,J,0.057,J,0.067,,0.072,,0.062,J,0.051,J,0.031,J,0.047,J,0.046,J,0.052,J,0.022,J,0.041,J,0.082,,0.051,J
n-Nonacosane,,0.12,,0.027,J,0.433,,0.36,,0.36,,0.022,J,0.185,,0.204,,0.196,,0.239,,0.298,,0.231,,0.202,,0.115,,0.143,,0.156,,0.17,,0.068,,0.144,,0.382,,0.149,
n-Triacontane,,0.025,J,0.005,J,0.083,J,0.064,,0.065,,0.004,J,0.039,J,0.048,J,0.049,J,0.058,J,0.066,,0.055,J,0.045,J,0.027,J,0.039,J,0.043,J,0.042,J,0.018,J,0.035,J,0.068,,0.047,J
n-Hentriacontane,,0.114,,0.028,J,0.402,,0.311,,0.297,,0.021,J,0.173,,0.191,,0.183,,0.231,,0.279,,0.212,,0.195,,0.114,,0.138,,0.152,,0.17,,0.066,,0.14,,0.365,,0.139,
n-Dotriacontane,,0.009,J,0.002,J,0.033,J,0.022,J,0.026,J,0.001,J,0.012,J,0.022,J,0.019,J,0.024,J,0.024,J,0.025,J,0.016,J,0.011,J,0.019,J,0.017,J,0.017,J,0.007,J,0.015,J,0.03,J,0.023,J
n-Tritriacontane,,0.073,,0.009,J,0.127,,0.208,,0.101,,0.011,J,0.08,,0.104,,0.106,,0.116,,0.157,,0.068,J,0.09,,0.032,J,0.056,J,0.08,,0.072,,0.03,J,0.038,J,0.175,,0.045,J
n-Tetratriacontane,,0.004,J,0.001,J,0.017,J,0.01,J,0.012,J,0.001,J,0.006,J,0.01,J,0.01,J,0.013,J,0.013,J,0.011,J,0.01,J,0.005,J,0.011,J,0.01,J,0.01,J,0.004,J,0.007,J,0.011,J,0.012,J
