,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,131023-02: NIST SRM 1941b,,,,,,,
,,,,,,,,,
Battelle ID,,CD643SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,10/27/14,,,,,,,
Extraction Date,,10/27/14,,,,,,,
Analysis Date,,11/09/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,2.4,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,1.66,,,,,,,
Size Unit-Basis,,G_DRY,,Certified,,Passing,,Actual,
Units,,NG/G_DRY,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
Naphthalene,,801.33,,848,94.99,41.2,,5.5,
C1-Naphthalenes,,246.601,,,,,,,
C2-Naphthalenes,,193.428,,,,,,,
C3-Naphthalenes,,209.132,,,,,,,
C4-Naphthalenes,,85.318,,,,,,,
Biphenyl,,61.319,,,,,,,
Acenaphthylene,,52.99,,,,,,,
Acenaphthene,,28.178,,,,,,,
Dibenzofuran,,74.26,,,,,,,
Fluorene,,49.521,,85,15.00,47.65,,41.7,
C1-Fluorenes,,51.297,,,,,,,
C2-Fluorenes,,75.964,,,,,,,
C3-Fluorenes,,71.569,,,,,,,
Anthracene,,148.332,,184,18.00,39.78,,19.4,
Phenanthrene,,387.198,,406,44.00,40.84,,4.6,
C1-Phenanthrenes/Anthracenes,,297.685,,,,,,,
C2-Phenanthrenes/Anthracenes,,260.288,,,,,,,
C3-Phenanthrenes/Anthracenes,,154.169,,,,,,,
C4-Phenanthrenes/Anthracenes,,66.945,,,,,,,
Retene,,42.061,,,,,,,
Dibenzothiophene,,45.442,,,,,,,
C1-Dibenzothiophenes,,108.81,,,,,,,
C2-Dibenzothiophenes,,101.418,,,,,,,
C3-Dibenzothiophenes,,86.924,,,,,,,
C4-Dibenzothiophenes,,48.265,,,,,,,
Fluoranthene,,670.887,,651,50.00,37.68,,3.1,
Pyrene,,536.867,,581,39.00,36.71,,7.6,
C1-Fluoranthenes/Pyrenes,,345.177,,,,,,,
C2-Fluoranthenes/Pyrenes,,157.197,,,,,,,
C3-Fluoranthenes/Pyrenes,,93.504,,,,,,,
Benzo(a)anthracene,,302.521,,335,25.00,37.46,,9.7,
Chrysene,,390.361,,399,36.00,39.02,,2.2,
C1-Chrysenes,,225.976,,,,,,,
C2-Chrysenes,,121.56,,,,,,,
C3-Chrysenes,,63.653,,,,,,,
C4-Chrysenes,,1.669,U,,,,,,
Benzo(b)fluoranthene,,437.216,,453,21.00,34.64,,3.5,
Benzo(k)fluoranthene,,397.802,,442,23.00,35.2,,10,
Benzo(e)pyrene,,286.995,,325,25.00,37.69,,11.7,
Benzo(a)pyrene,,263.517,,358,17.00,34.75,,26.4,
Perylene,,236.481,,397,45.00,41.34,,40.4,
"Indeno(1,2,3-cd)pyrene",,288.221,,341,57.00,46.72,,15.5,
"Dibenz(a,h)anthracene",,68.847,,89.7,15.20,46.95,,23.2,
"Benzo(g,h,i)perylene",,264.364,,307,45.00,44.66,,13.9,
