Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,6.95,,7.71,,21.38,,12.57,,23.99,,18.35,,16.70,,18.36,,20.53,,7.08,,7.54,,10.14,,10.01,,9.87,,7.72,,10.46,,10.27,,15.67,,16.25,,15.21,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3-Naphthalenes,,84.071,,85.303,,6.549,,74.858,,4.415,,27.602,,34.522,,24.849,,20.610,,84.237,T,87.105,T,90.340,T,85.527,T,88.832,T,82.782,T,81.758,T,80.932,T,78.381,T,77.963,T,69.512,T
C4-Naphthalenes,,48.955,,48.497,,3.780,,42.897,,2.950,,16.137,,19.732,,13.675,,12.329,,45.405,T,49.357,T,51.314,T,48.528,T,50.001,T,46.012,T,48.825,T,46.647,T,46.148,T,46.330,T,42.580,T
Biphenyl,,15.475,,17.448,,1.718,,16.438,,0.926,,7.004,,8.730,,6.316,,6.434,,17.411,T,17.794,T,17.830,T,16.881,T,17.596,T,16.375,T,16.058,T,15.170,T,13.660,T,12.368,T,11.733,T
Acenaphthylene,,0.498,J,0.355,J,0.044,J,0.377,J,0.067,J,0.163,J,0.229,J,0.129,J,0.106,J,0.371,JT,0.469,JT,0.429,JT,0.432,JT,0.487,JT,0.412,JT,0.400,JT,0.520,JT,0.366,JT,0.303,JT,0.318,JT
Acenaphthene,,2.314,,2.500,,0.276,J,2.174,,0.133,J,1.083,,1.319,,0.977,,1.219,,2.454,T,2.608,T,2.848,T,2.871,T,2.706,T,2.748,T,2.715,T,2.737,T,2.578,T,2.449,T,2.147,T
Dibenzofuran,,12.107,,13.637,,1.015,,11.501,,0.780,,4.424,,5.477,,4.112,,3.961,,15.381,T,15.569,T,16.490,T,15.954,T,16.284,T,15.743,T,15.219,T,14.883,T,13.625,T,12.404,T,11.124,T
Fluorene,,10.827,,13.128,,1.222,,11.369,,0.676,,4.798,,5.904,,4.060,,5.101,,13.014,T,13.504,T,14.156,T,13.786,T,13.920,T,13.100,T,12.351,T,12.610,T,11.537,T,11.070,T,9.877,T
C1-Fluorenes,,20.082,,23.902,,1.804,,18.941,,1.148,,7.784,,9.737,,6.448,,10.351,,22.489,T,22.742,T,24.034,T,22.904,T,23.634,T,22.567,T,21.983,T,21.928,T,20.794,T,21.512,T,18.966,T
C2-Fluorenes,,29.215,,32.592,,2.439,,28.067,,1.490,,11.008,,13.332,,8.699,,15.562,,32.324,T,31.810,T,33.341,T,32.923,T,33.329,T,31.090,T,33.118,T,32.864,T,31.150,T,32.636,T,28.928,T
C3-Fluorenes,,24.746,,26.795,,2.291,,22.823,,1.618,,9.737,,11.014,,7.923,,13.301,,28.287,T,26.423,T,26.861,T,25.468,T,27.355,T,26.515,T,26.209,T,26.955,T,25.152,T,25.436,T,23.965,T
