,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,QAH-101,,QAH-102,,QAH-104,,QAH-106,,QAH-110,,QAH-113,,QAH-114,,QAH-115,,QAH-116,,QAH-117,,QAH-118,,QAH-119,,QAH-120,,QAH-121,,QAH-122,,QAH-123,,QAH-124,,PO1,,PO2,
C4-Chrysenes,,0.133,U,0.122,U,0.139,U,12.855,,0.148,U,0.122,U,12.733,,14.661,,0.200,U,0.146,U,0.132,U,0.180,U,0.217,U,0.146,U,0.130,U,15.658,,7.618,,0.462,U,0.367,U
Benzo(b)fluoranthene,,3.701,,5.552,,4.872,,16.256,,5.689,,5.546,,19.230,,19.566,,9.274,,7.964,,4.932,,14.485,,20.632,,6.713,,4.371,,20.628,,11.680,,3.835,,6.627,
Benzo(k)fluoranthene,,0.631,J,0.799,J,1.060,,3.622,,1.184,,1.541,,4.461,,4.842,,2.562,,2.012,,1.257,,3.669,,4.061,,1.613,,0.979,,3.695,,2.196,,0.972,J,1.865,J
Benzo(e)pyrene,,5.067,,6.620,,6.136,,20.058,,7.054,,7.558,,24.170,,25.295,,11.749,,11.045,,6.639,,18.076,,24.891,,8.333,,5.628,,23.043,,13.092,,2.675,,6.278,
Benzo(a)pyrene,,0.957,,0.872,,1.232,,3.943,,1.604,,1.649,,5.087,,5.603,,2.769,,2.399,,1.554,,3.558,,5.526,,1.847,,1.107,,5.117,,2.634,,1.034,J,1.800,
Perylene,,31.800,,17.060,,33.610,,70.223,,38.376,,21.490,,63.491,,72.414,,49.537,,28.365,,22.365,,54.676,,67.978,,24.677,,15.628,,84.512,,46.622,,41.467,,73.471,
"Indeno(1,2,3-cd)pyrene",,0.793,,0.846,,1.351,,3.901,,1.495,,1.623,,4.697,,5.189,,2.675,,2.314,,1.495,,3.815,,4.824,,1.632,,1.028,,4.479,,2.626,,1.159,J,1.861,
"Dibenz(a,h)anthracene",,0.560,,0.684,,0.846,,2.722,,0.982,,1.082,,2.901,,3.618,,1.599,,1.555,,0.862,,2.580,,3.524,,1.155,,0.597,,2.937,,1.697,,0.444,J,0.869,J
"Benzo(g,h,i)perylene",,3.570,,4.534,,5.322,,16.948,,6.196,,7.068,,21.531,,24.452,,11.933,,10.885,,6.500,,16.703,,20.584,,7.258,,4.468,,19.519,,11.209,,2.567,,4.929,
Total PAH,,309.916,,333.346,,347.609,,1115.916,,406.711,,320.698,,1248.612,,1204.496,,546.802,,476.003,,304.709,,871.442,,1404.556,,436.109,,324.153,,1374.902,,782.380,,160.833,,501.218,
"14a(H),17a(H)-20R-Cholestane",,1.734,,1.140,,2.883,,7.459,,3.786,,4.525,,11.993,,14.187,,8.817,,6.906,,4.187,,9.596,,8.533,,3.064,,1.874,,7.398,,3.994,,1.076,J,5.308,
"13b(H),17a(H)-20S-Diacholestane ",,0.843,,0.445,,1.011,,2.584,,1.389,,1.491,,3.656,,4.623,,3.057,,2.479,,1.381,,3.325,,3.118,,1.073,,0.686,,2.571,,1.514,,0.439,J,3.452,
"13b(H),17a(H)-20R-Diacholestane",,0.449,J,0.293,J,0.561,,1.636,,0.706,,0.931,,2.533,,2.988,,1.718,,1.414,,0.880,,1.966,,1.793,,0.677,,0.405,J,1.449,,0.883,,0.459,J,1.813,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.596,,0.535,,0.673,,1.763,,0.813,,0.713,,2.102,,2.638,,1.742,,1.258,,0.658,,1.687,,1.644,,0.549,,0.330,J,1.414,,0.960,,1.006,J,2.029,
"14a(H),17a(H)-20S-Cholestane",,1.429,,0.875,,1.927,,5.217,,2.746,,3.192,,8.027,,10.619,,6.420,,4.851,,3.005,,6.458,,6.503,,2.438,,1.572,,5.490,,3.277,,1.238,J,6.433,
"14b(H),17b(H)-20R-Cholestane",,0.460,J,0.238,J,0.515,,1.460,,0.730,,0.881,,2.057,,2.730,,1.571,,1.201,,0.745,,2.068,,1.621,,0.674,,0.387,J,1.357,,0.799,,0.317,U,1.851,
"14b(H),17b(H)-20S-Cholestane",,0.540,,0.293,J,0.523,,1.438,,0.727,,0.847,,2.096,,2.814,,1.672,,1.281,,0.742,,1.877,,1.533,,0.611,,0.428,J,1.316,,0.797,,0.385,J,1.683,
"14a(H),17a(H)-20S-methylcholestane",,0.948,,0.592,,0.879,,2.169,,1.265,,1.171,,3.251,,4.193,,2.612,,1.988,,1.044,,2.761,,2.666,,0.961,,0.591,,2.175,,1.541,,0.317,U,2.217,
"14b(H),17b(H)-20R-Methylcholestane",,0.493,,0.282,J,0.562,,1.561,,0.702,,0.985,,2.704,,3.306,,1.702,,1.400,,0.880,,2.482,,2.037,,0.591,,0.414,J,1.630,,0.923,,0.317,U,1.789,
"14b(H),17b(H)-20S-Methylcholestane",,0.418,J,0.376,J,0.394,J,1.655,,0.717,,0.822,,2.503,,2.545,,1.910,,1.055,,0.767,,1.649,,1.999,,0.649,,0.540,,1.518,,0.889,,0.317,U,2.890,
"14a(H),17a(H)-20R-methylcholestane ",,1.219,,0.688,,1.622,,4.802,,2.309,,2.531,,6.918,,8.168,,6.047,,3.568,,2.386,,5.154,,5.311,,1.933,,1.053,,4.720,,2.814,,1.043,J,0.252,U
"14a(H),17a(H)-20S-Ethylcholestane",,0.525,,0.416,J,0.785,,2.045,,0.648,,0.983,,2.903,,3.586,,2.008,,1.594,,0.861,,1.964,,1.956,,0.913,,0.655,,2.218,,1.063,,0.317,U,1.640,
"14b(H),17b(H)-20R-Ethylcholestane",,1.392,,0.900,,1.294,,2.846,,1.629,,1.730,,4.513,,4.685,,3.610,,2.319,,1.354,,3.471,,3.634,,1.435,,0.961,,3.770,,2.079,,0.828,J,3.837,
"14b(H),17b(H)-20S-Ethylcholestane",,0.820,,0.553,,0.906,,2.544,,1.211,,1.525,,3.743,,4.477,,2.690,,1.986,,1.262,,3.285,,3.272,,1.207,,0.676,,2.702,,1.648,,0.571,J,4.443,
"14a(H),17a(H)-20R-Ethylcholestane",,2.607,,1.731,,2.978,,9.683,,4.338,,3.930,,12.936,,12.819,,9.715,,5.866,,3.614,,9.196,,10.213,,3.614,,2.244,,10.769,,6.136,,3.817,,4.755,
C23 Tricyclic Terpane,,0.555,J,0.287,J,0.745,J,1.971,,0.989,J,1.181,J,2.581,,3.057,,3.477,,1.657,,1.306,J,2.262,,2.103,J,0.895,J,0.704,J,2.081,J,1.462,J,0.488,J,1.507,J
C24 Tricyclic Terpane ,,0.334,J,0.184,J,0.468,J,1.368,J,0.649,J,0.751,J,1.766,J,2.057,J,2.145,J,1.005,J,0.769,J,1.332,J,1.408,J,0.536,J,0.426,J,1.284,J,0.820,J,0.328,J,1.137,J
C25 Tricyclic Terpane,,0.315,J,0.160,J,0.532,J,1.390,J,0.818,J,0.767,J,1.632,J,2.063,J,2.157,J,1.049,J,0.754,J,1.412,J,1.383,J,0.499,J,0.372,J,1.265,J,0.784,J,0.883,U,1.227,J
C24 Tetracyclic Terpane,,0.262,J,0.186,J,0.261,J,0.874,J,0.455,J,0.465,J,1.082,J,1.236,J,1.082,J,0.572,J,0.526,J,0.873,J,0.896,J,0.424,J,0.332,J,0.848,J,0.597,J,0.883,U,0.559,J
C26 Tricyclic Terpane-22S,,0.137,J,0.126,J,0.225,J,0.551,J,0.345,J,0.338,J,0.768,J,0.923,J,0.898,J,0.459,J,0.308,J,0.579,J,0.499,J,0.273,J,0.180,J,0.453,J,0.416,J,0.883,U,0.361,J
C26 Tricyclic Terpane-22R,,0.122,J,0.110,J,0.189,J,0.672,J,0.284,J,0.366,J,0.761,J,0.898,J,0.892,J,0.496,J,0.376,J,0.628,J,0.585,J,0.254,J,0.161,J,0.496,J,0.319,J,0.883,U,0.437,J
C28 Tricyclic Terpane-22S,,0.253,U,0.233,U,0.266,U,0.544,J,0.179,J,0.259,J,0.730,J,0.840,J,0.900,J,0.489,J,0.323,J,0.412,J,0.390,J,0.229,J,0.248,U,0.622,J,0.296,J,0.883,U,0.872,J
C28 Tricyclic Terpane-22R,,0.282,J,0.181,J,0.361,J,0.640,J,0.464,J,0.401,J,0.801,J,1.069,J,0.760,J,0.553,J,0.314,J,0.616,J,0.754,J,0.291,J,0.198,J,0.796,J,0.473,J,0.892,J,0.980,J
C29 Tricyclic Terpane-22S,,0.253,U,0.233,U,0.266,U,0.490,J,0.325,J,0.408,J,0.751,J,0.999,J,0.955,J,0.499,J,0.308,J,0.620,J,0.447,J,0.246,J,0.248,U,0.437,J,0.308,J,0.883,U,0.702,U
C29 Tricyclic Terpane-22R,,0.253,U,0.233,U,0.266,U,0.617,J,0.265,J,0.339,J,0.645,J,0.848,J,0.898,J,0.415,J,0.298,J,0.453,J,0.437,J,0.202,J,0.248,U,0.388,J,0.250,J,0.883,U,0.702,U
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,0.348,J,0.326,J,0.568,J,1.778,J,0.840,J,0.943,J,1.775,J,2.756,,2.074,J,1.323,J,0.722,J,1.716,J,1.750,J,0.753,J,0.639,J,1.474,J,1.133,J,0.883,U,1.786,J
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,1.444,,1.074,J,1.768,,5.588,,2.420,,2.231,,6.061,,6.703,,5.350,,2.743,,1.989,,5.467,,6.004,,2.135,,1.961,,6.113,,4.177,,3.243,J,3.251,J
"17a(H),21b(H)-28,30-Bisnorhopane",,0.253,U,0.233,U,0.266,U,0.328,U,0.283,U,0.233,U,0.404,U,0.380,U,0.383,U,0.279,U,0.252,U,0.343,U,0.414,U,0.279,U,0.248,U,0.392,U,0.330,U,0.883,U,0.702,U
"17a(H),21b(H)-25-Norhopane",,0.253,U,0.233,U,0.266,U,0.328,U,0.283,U,0.233,U,0.404,U,0.380,U,0.383,U,0.279,U,0.252,U,0.343,U,0.414,U,0.279,U,0.248,U,0.392,U,0.330,U,0.883,U,0.702,U
30-Norhopane,,3.518,,2.135,,3.699,,10.384,,4.721,,4.719,,12.113,,13.500,,10.830,,6.448,,4.276,,10.478,,11.486,,4.140,,3.621,,11.149,,7.353,,5.541,,6.232,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,0.253,U,0.623,J,0.748,J,2.151,,1.273,J,1.288,J,2.867,,3.577,,2.600,,1.713,,1.029,J,2.076,,2.235,J,0.978,J,0.671,J,2.378,,1.671,J,0.883,U,1.948,J
17a(H)-Diahopane,,0.253,U,0.485,J,0.441,J,1.198,J,0.569,J,0.514,J,1.415,J,1.459,J,1.013,J,0.582,J,0.495,J,0.917,J,1.198,J,0.279,U,0.248,U,1.109,J,0.779,J,0.883,U,0.702,U
30-Normoretane,,2.333,,1.280,J,2.104,,4.998,,2.744,,1.512,,5.033,,5.486,,3.713,,2.105,,1.425,J,5.723,,5.881,,1.902,,1.339,J,6.245,,3.926,,10.988,,3.979,
18a(H) & 18b(H)-Oleananes,,0.253,U,0.233,U,0.266,U,0.328,U,0.283,U,0.233,U,0.404,U,0.380,U,1.298,J,0.279,U,0.252,U,0.343,U,0.414,U,0.279,U,0.248,U,0.392,U,0.330,U,0.883,U,0.702,U
"17a(H),21b(H)-hopane",,4.025,,3.353,,5.061,,15.567,,6.746,,7.779,,19.823,,22.685,,15.871,,10.714,,6.888,,18.343,,18.766,,6.648,,5.229,,17.801,,11.254,,6.228,,11.137,
"17b(H),21a(H)-hopane (moretane)",,5.615,,2.791,,4.385,,9.841,,6.511,,2.727,,9.652,,9.580,,6.410,,3.795,,2.749,,10.734,,11.233,,3.503,,2.558,,14.009,,8.480,,26.650,,10.431,
30-Homohopane-22S,,1.411,J,1.545,,2.213,,7.005,,2.918,,3.407,,8.379,,9.841,,6.346,,4.392,,2.817,,6.716,,7.298,,2.899,,2.283,,7.363,,4.754,,2.038,J,3.780,J
30-Homohopane-22R,,2.818,,2.018,,2.887,,9.254,,4.240,,3.515,,10.207,,10.888,,7.715,,4.783,,2.939,,12.816,,10.074,,3.628,,2.813,,10.632,,6.184,,18.174,,19.891,
"30,31-Bishomohopane-22S",,1.113,J,1.019,J,1.635,,3.685,,2.067,,1.947,,4.125,,5.669,,3.258,,2.067,,1.303,J,3.051,,3.072,,1.254,J,1.197,J,3.417,,1.695,J,0.883,U,2.375,J
"30,31-Bishomohopane-22R",,0.637,J,0.666,J,0.872,J,2.730,,1.544,J,1.565,,3.915,,4.083,,3.138,,2.257,,1.406,J,3.351,,2.931,,1.101,J,0.850,J,3.076,,1.736,J,0.883,U,1.822,J
"30,31,32-Trishomohopane-22S",,3.351,,2.069,,3.470,,8.139,,4.890,,3.041,,9.047,,9.117,,6.729,,3.851,,2.499,,9.104,,9.524,,2.996,,2.259,,11.888,,6.598,,16.279,,12.891,
"30,31,32-Trishomohopane-22R",,0.588,J,0.233,U,0.266,U,1.696,J,0.841,J,0.997,J,2.336,,2.654,,1.521,J,1.300,J,0.668,J,1.536,J,2.043,J,0.736,J,0.521,J,1.373,J,1.232,J,0.883,U,0.702,U
"30,31,32,33-Tetrakishomohopane-22S",,0.253,U,0.233,U,0.266,U,1.285,J,0.849,J,0.880,J,1.748,J,2.340,,1.885,J,1.019,J,0.847,J,1.781,J,0.946,J,0.279,U,0.248,U,1.334,J,0.809,J,0.883,U,0.702,U
"30,31,32,33-Tetrakishomohopane-22R",,0.253,U,0.233,U,0.266,U,1.104,J,0.283,U,0.641,J,1.278,J,1.653,J,1.202,J,0.747,J,0.252,U,1.080,J,0.414,U,0.279,U,0.248,U,1.036,J,0.330,U,0.883,U,0.702,U
"30,31,32,33,34-Pentakishomohopane-22S",,0.253,U,0.233,U,0.266,U,1.093,J,0.283,U,0.233,U,0.404,U,1.264,J,0.383,U,0.732,J,0.252,U,0.343,U,0.414,U,0.279,U,0.248,U,0.392,U,0.330,U,0.883,U,0.702,U
"30,31,32,33,34-Pentakishomohopane-22R",,0.253,U,0.233,U,0.266,U,0.328,U,0.283,U,0.233,U,0.404,U,0.380,U,0.383,U,0.279,U,0.252,U,0.343,U,0.414,U,0.279,U,0.248,U,0.392,U,0.330,U,0.883,U,0.702,U
Priority Pollutant PAH,,47.720,,60.929,,59.061,,187.280,,70.749,,62.038,,225.942,,216.762,,97.748,,89.339,,55.675,,159.572,,245.308,,75.964,,53.545,,230.043,,133.639,,28.590,,73.097,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene-d8,,73,,78,,65,,71,,68,,71,,69,,67,,70,,67,,67,,58,,64,,70,,74,,72,,70,,78,,56,
Acenaphthene-d10,,82,,84,,73,,79,,74,,76,,74,,74,,75,,74,,73,,62,,70,,76,,80,,78,,77,,83,,58,
Phenanthrene-d10,,87,,88,,77,,84,,79,,82,,78,,80,,81,,79,,77,,67,,76,,82,,86,,83,,81,,89,,61,
Benzo(a)pyrene-d12,,89,,73,,78,,89,,82,,86,,81,,85,,84,,83,,81,,70,,80,,86,,90,,89,,87,,96,,65,
5b(H)-Cholane,,94,,93,,84,,91,,85,,87,,82,,87,,90,,88,,85,,72,,82,,87,,94,,91,,88,,94,,66,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
