Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,21.25,,23.46,,11.72,,21.75,,17.17,,23.10,,17.91,,15.61,,16.11,,16.82,,18.56,,14.06,,15.41,,17.60,,16.36,,16.53,,17.00,,20.30,,18.05,,15.01,,16.11,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1-Fluoranthenes/Pyrenes,,7.961,,1.675,,27.94,,20.255,,15.072,,0.913,,7.904,,12.505,,14.31,,18.398,,16.126,,17.054,,14.184,,8.388,,13.049,,14.961,,13.643,,6.293,,9.18,,14.265,,19.49,
C2-Fluoranthenes/Pyrenes,,6.733,,1.379,,24.822,,16.973,,13.684,,0.842,,6.639,,10.56,,13.005,,16.409,,14.507,,15.728,,12.346,,7.914,,11.925,,14.35,,13.17,,5.922,,8.941,,13.831,,18.258,
C3-Fluoranthenes/Pyrenes,,5.095,,1.162,,19.593,,12.537,,10.612,,0.805,,5.806,,8.778,,10.973,,13.194,,11.606,,13.821,,10.8,,6.803,,10.442,,11.821,,10.863,,5.229,,7.586,,11.032,,15.104,
Benzo(a)anthracene,,0.647,,0.115,J,2.488,,1.783,,1.423,,0.075,J,0.759,,1.375,,1.498,,1.818,,1.447,,1.792,,1.286,,0.697,,1.401,,1.495,,1.535,,0.713,,1.086,,1.637,,2.259,
Chrysene,,5.567,,1.203,,22.27,,16.208,,13.397,,0.743,,6.348,,11.588,,11.465,,14.362,,11.958,,12.98,,10.453,,6.745,,10.466,,11.955,,10.853,,5.052,,7.445,,11.205,,15.334,
C1-Chrysenes,,5.792,,1.234,,23.731,,16.094,,13.92,,0.761,,6.802,,2.169,,12.835,,15.967,,13.78,,15.217,,11.983,,7.681,,11.415,,13.021,,12.092,,5.545,,7.928,,12.737,,17.082,
C2-Chrysenes,,5.181,,1.385,,19.702,,12.644,,11.784,,0.12,U,6.673,,11.232,,11.903,,14.548,,13.407,,14.314,,11.619,,7.057,,11.499,,12.874,,11.63,,5.973,,7.824,,12.838,,16.506,
C3-Chrysenes,,2.885,,0.118,U,12.08,,7.581,,7.305,,0.12,U,4.346,,7.167,,8.146,,10.3,,9.488,,9.809,,8.59,,5.671,,8.331,,8.677,,7.608,,3.041,,5.023,,8.137,,10.627,
C4-Chrysenes,,0.13,U,0.118,U,0.236,U,0.127,U,0.161,U,0.12,U,0.155,U,0.177,U,0.172,U,0.165,U,0.149,U,0.197,U,0.18,U,0.157,U,0.169,U,0.168,U,0.163,U,0.136,U,0.153,U,0.185,U,0.172,U
Benzo(b)fluoranthene,,3.566,,0.589,,13.873,,9.67,,8.593,,0.14,U,3.974,,6.64,,7.403,,9.19,,7.929,,8.489,,6.826,,4.261,,6.779,,7.594,,6.95,,2.933,,4.891,,6.992,,9.44,
Benzo(k)fluoranthene,,0.691,J,0.071,U,2.602,,2.177,,1.475,,0.072,U,0.992,J,2.299,,2.792,,3.032,,2.005,,2.766,,1.828,,1.399,,1.471,,1.95,,1.953,,1.02,,1.221,,2.012,,2.855,
Benzo(e)pyrene,,3.867,,0.77,,16.323,,10.033,,9.294,,0.563,,4.925,,8.911,,9.637,,11.409,,10.405,,11.006,,8.671,,5.429,,8.436,,9.885,,9.142,,4.191,,6.308,,9.006,,12.967,
Benzo(a)pyrene,,0.161,U,0.146,U,3.027,,1.868,,1.604,,0.148,U,1,,2.169,,2.141,,2.752,,2.391,,2.784,,2.074,,1.311,,1.953,,2.273,,2.194,,0.936,,1.394,,2.117,,2.902,
Perylene,,23.966,,2.998,,63.021,,83.232,,37.314,,2.394,,25.522,,46.771,,51.539,,63.328,,61.059,,58.294,,47.233,,29.183,,40.165,,51.492,,47.257,,21.387,,41.855,,63.28,,54.093,
"Indeno(1,2,3-cd)pyrene",,0.685,,0.164,U,3.072,,2.011,,1.824,,0.166,U,1.062,,2.281,,2.257,,3.103,,2.548,,3.005,,2.311,,1.645,,2.468,,2.804,,2.166,,0.95,,1.543,,2.006,,3.341,
"Dibenz(a,h)anthracene",,0.342,J,0.101,U,1.4,,0.941,,0.9,,0.103,U,0.549,J,0.945,,0.979,,1.28,,1.272,,1.466,,1.063,,0.737,,1.042,,1.329,,1.123,,0.487,J,0.725,,1.049,,1.641,
"Benzo(g,h,i)perylene",,2.543,,0.466,,11.21,,6.543,,6.263,,0.341,J,3.661,,7.596,,7.661,,11.723,,9.972,,10.909,,8.599,,5.66,,8.695,,10.324,,9.312,,4.2,,6.425,,9.194,,13.458,
Total PAH,,232.469,,51.057,,878.648,,632.741,,485.139,,27.797,,248.054,,347.293,,418.397,,523.174,,450.849,,497.085,,414.732,,252.308,,386.384,,438.536,,409.297,,194.974,,277.263,,414.091,,568.138,
"14a(H),17a(H)-20R-Cholestane",,1.098,,0.23,J,5.237,,2.49,,3.144,,0.135,J,2.773,,6.506,,6.669,,8.235,,7.267,,7.289,,5.621,,3.545,,5.576,,7.088,,6.456,,2.851,,4.319,,7.508,,9.285,
"13b(H),17a(H)-20S-Diacholestane ",,0.372,J,0.081,J,1.804,,0.854,,1.102,,0.067,J,0.88,,2.122,,2.111,,2.575,,2.42,,2.343,,1.942,,1.093,,1.8,,2.151,,2.062,,0.866,,1.347,,2.379,,3.096,
"13b(H),17a(H)-20R-Diacholestane",,0.248,J,0.054,J,1.053,,0.571,,0.702,,0.05,J,0.517,J,1.319,,1.292,,1.649,,1.434,,1.402,,1.117,,0.663,,1.073,,1.329,,1.231,,0.557,,0.847,,1.398,,1.809,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.255,J,0.058,J,1.173,,0.52,,0.753,,0.082,U,0.535,J,1.118,,1.17,,1.6,,1.409,,1.438,,1.053,,0.686,,0.929,,1.248,,1.187,,0.568,,0.842,,1.449,,1.7,
"14a(H),17a(H)-20S-Cholestane",,0.905,,0.164,J,3.774,,1.791,,2.339,,0.126,J,1.81,,4.16,,4.491,,5.306,,4.951,,4.813,,3.695,,2.253,,3.653,,4.433,,4.059,,1.794,,2.611,,4.561,,5.846,
"14b(H),17b(H)-20R-Cholestane",,0.234,J,0.081,J,0.998,,0.486,,0.582,J,0.082,U,0.479,J,1.14,,1.166,,1.49,,1.357,,1.273,,1.072,,0.61,,0.927,,1.244,,1.127,,0.521,,0.734,,1.36,,1.689,
"14b(H),17b(H)-20S-Cholestane",,0.244,J,0.067,J,0.898,,0.493,,0.507,J,0.082,U,0.495,J,1.161,,1.152,,1.476,,1.237,,1.314,,1.046,,0.608,,0.871,,1.15,,1.083,,0.49,J,0.726,,1.274,,1.772,
