Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,15.75,,17.08,,11.36,,22.17,,12.41,,12.81,,14.51,,15.66,,12.57,,14.19,,12.94,,8.01,,12.20,,12.46,,21.86,,19.18,,22.85,,14.47,,10.17,,11.01,,14.70,,19.35,,23.70,,16.79,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3-Phenanthrenes/Anthracenes,,15.983,,18.222,,24.014,,2.455,,22.832,,18.201,,21.75,,18.738,,32.182,,24.221,,27.906,,53.108,,44.456,,44.968,,5.287,,40.37,,4.277,,25.462,,43.104,,47.314,,30.502,,45.007,,0.745,,21.671,
C4-Phenanthrenes/Anthracenes,,8.559,,9.472,,12.676,,1.332,,12.87,,10.237,,12.086,,10.378,,18.731,,13.637,,17.532,,34.321,,24.252,,19.79,,4.063,,28.285,,2.536,,15.084,,33.192,,29.524,,18.944,,28.192,,0.086,U,15.202,
Retene,,9.653,,10.575,,14.21,,1.69,,14.602,,12.805,,13.758,,11.152,,19.509,,15.887,,27.895,,52.933,,31.047,,29.388,,6.992,,48.349,,3.908,,21.41,,55.275,,58.543,,31.066,,44.797,,0.867,,28.447,
Dibenzothiophene,,2.508,,2.955,,4.095,,0.46,,3.684,,3.029,,3.731,,3.342,,5.575,,4.669,,5.82,,10.296,,8.029,,7.532,,1.343,,8.382,,0.91,,5.021,,8.737,,9.086,,6.253,,8.95,,0.216,J,4.01,
C1-Dibenzothiophenes,,4.129,,4.478,,6.156,,0.783,,7.572,,4.748,,6.096,,6.794,,12.096,,9.99,,13.024,,22.233,,17.771,,17.652,,1.893,,17.951,,1.674,,11.508,,19.771,,20.043,,13.22,,19.58,,0.356,J,8.547,
C2-Dibenzothiophenes,,6.659,,7.211,,9.43,,1.074,,9.048,,6.786,,9.394,,8.262,,14.376,,12.105,,16.801,,27.048,,22.562,,21.96,,2.782,,21.392,,3.112,,13.203,,21.519,,22.527,,15.578,,24.186,,0.49,,9.967,
C3-Dibenzothiophenes,,4.944,,5.149,,7.176,,0.776,,7.204,,4.978,,6.579,,5.83,,10.641,,7.816,,10.344,,16.69,,15.351,,16.449,,1.694,,13.427,,2.178,,8.897,,13.657,,14.613,,10.067,,15.691,,0.336,J,6.614,
C4-Dibenzothiophenes,,2.655,,2.903,,3.537,,0.398,J,3.375,,2.549,,3.011,,3.048,,4.818,,3.529,,4.262,,7.559,,6.331,,6.474,,0.864,,5.577,,1.013,,3.401,,5.616,,5.981,,4.021,,6.671,,0.051,U,2.642,
Fluoranthene,,4.048,,4.553,,6.507,,0.619,,6.04,,4.975,,5.598,,4.861,,8.007,,6.106,,7.472,,13.809,,10.538,,10.792,,1.23,,10.151,,0.974,,6.334,,13.133,,12.515,,8.091,,10.814,,0.231,J,5.097,
Pyrene,,6.848,,7.975,,11.536,,1.145,,10.587,,8.486,,8.891,,8.064,,13.572,,10.222,,11.231,,21.285,,17.37,,17.44,,1.944,,15.311,,1.561,,9.698,,18.352,,17.423,,11.901,,17.008,,0.368,J,7.891,
C1-Fluoranthenes/Pyrenes,,12.798,,15.266,,21.078,,2.002,,19.687,,15.814,,17.885,,15.907,,27.405,,19.916,,24.443,,48.341,,36.033,,36.415,,4.882,,37.292,,3.177,,22.056,,44.932,,44.182,,27.395,,39.339,,0.694,,18.002,
C2-Fluoranthenes/Pyrenes,,12.121,,14.011,,18.817,,1.921,,17.649,,13.884,,15.783,,14.201,,24.493,,17.641,,19.398,,40.375,,30.391,,31.489,,3.882,,29.732,,3.119,,19.295,,34.787,,38.158,,23.99,,34.425,,0.581,,15.233,
C3-Fluoranthenes/Pyrenes,,9.289,,10.839,,14.435,,1.253,,13.642,,10.521,,11.787,,11.02,,18.456,,12.901,,13.828,,28.423,,21.413,,22.609,,2.761,,22.666,,2.035,,12.718,,25.727,,25.713,,16.568,,25.757,,0.188,U,10.325,
Benzo(a)anthracene,,1.445,,1.652,,2.251,,0.201,J,2.025,,1.364,,1.919,,1.759,,2.489,,2.086,,2.501,,4.603,,3.351,,3.464,,0.373,J,3.188,,0.265,J,2.515,,4.255,,4.637,,2.939,,3.68,,0.13,U,1.695,
Chrysene,,9.973,,11.078,,16.339,,1.815,,14.542,,12.248,,14.337,,12.465,,19.496,,14.364,,17.76,,32.183,,26.83,,26.52,,3.462,,25.007,,2.993,,16.831,,27.491,,27.25,,19.774,,27.895,,0.621,,12.771,
