Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,15.75,,17.08,,11.36,,22.17,,12.41,,12.81,,14.51,,15.66,,12.57,,14.19,,12.94,,8.01,,12.20,,12.46,,21.86,,19.18,,22.85,,14.47,,10.17,,11.01,,14.70,,19.35,,23.70,,16.79,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14a(H),17a(H)-20S-Ethylcholestane",,1.326,,1.152,,1.61,,0.12,J,1.277,,0.868,,1.235,,1.108,,1.718,,1.359,,0.915,,1.741,,1.779,,1.95,,0.115,J,1.098,,0.138,J,0.955,,1.168,,1.583,,1.276,,1.768,,0.08,U,0.661,
"14b(H),17b(H)-20R-Ethylcholestane",,2.131,,1.987,,2.274,,0.262,J,2.24,,1.849,,2.125,,1.686,,2.393,,2.056,,1.699,,3.463,,2.865,,2.881,,0.258,J,1.611,,0.199,J,1.457,,2.005,,2.486,,1.556,,2.619,,0.082,J,1.301,
"14b(H),17b(H)-20S-Ethylcholestane",,1.297,,1.463,,2.396,,0.228,J,2.055,,1.619,,1.998,,1.742,,2.939,,1.943,,1.498,,2.702,,3.08,,2.708,,0.223,J,2.116,,0.272,J,1.575,,2.341,,1.953,,2.069,,2.241,,0.071,J,1.225,
"14a(H),17a(H)-20R-Ethylcholestane",,4.845,,5.373,,6.888,,0.655,,6.703,,5.369,,5.656,,4.936,,7.665,,5.403,,4.843,,9.994,,8.026,,7.786,,0.97,,8.656,,0.558,,4.19,,8.227,,9.236,,5.801,,8.462,,0.18,J,5.477,
C23 Tricyclic Terpane,,1.497,J,1.599,J,1.816,J,0.22,J,2.119,J,1.65,J,1.589,J,1.504,J,2.471,,1.466,J,1.073,J,1.999,J,2.298,J,2.264,J,0.117,J,0.959,J,0.22,J,1.126,J,1.258,J,1.12,J,1.155,J,1.407,J,0.223,U,0.641,J
C24 Tricyclic Terpane ,,0.916,J,0.948,J,1.216,J,0.127,J,1.277,J,1.041,J,0.949,J,0.872,J,1.483,J,0.927,J,0.786,J,1.331,J,1.478,J,1.403,J,0.089,J,0.666,J,0.106,J,0.67,J,0.811,J,0.737,J,0.714,J,0.887,J,0.223,U,0.48,J
C25 Tricyclic Terpane,,0.934,J,0.951,J,1.172,J,0.239,U,1.294,J,0.922,J,0.993,J,0.931,J,1.459,J,0.88,J,0.693,J,1.15,J,1.378,J,1.435,J,0.242,U,0.573,J,0.232,U,0.67,J,0.729,J,0.672,J,0.633,J,0.786,J,0.223,U,0.386,J
C24 Tetracyclic Terpane,,0.495,J,0.517,J,0.745,J,0.08,J,0.771,J,0.608,J,0.566,J,0.541,J,0.859,J,0.545,J,0.548,J,0.943,J,1.159,J,0.998,J,0.242,U,0.587,J,0.232,U,0.484,J,0.643,J,0.648,J,0.483,J,0.745,J,0.223,U,0.34,J
C26 Tricyclic Terpane-22S,,0.422,J,0.433,J,0.506,J,0.239,U,0.577,J,0.402,J,0.458,J,0.451,J,0.73,J,0.385,J,0.248,J,0.529,J,0.631,J,0.616,J,0.242,U,0.252,J,0.232,U,0.316,J,0.38,J,0.256,J,0.249,J,0.411,J,0.223,U,0.164,J
C26 Tricyclic Terpane-22R,,0.39,J,0.419,J,0.551,J,0.239,U,0.501,J,0.445,J,0.43,J,0.45,J,0.71,J,0.384,J,0.306,J,0.558,J,0.664,J,0.564,J,0.242,U,0.295,J,0.232,U,0.293,J,0.379,J,0.328,J,0.336,J,0.414,J,0.223,U,0.171,J
C28 Tricyclic Terpane-22S,,0.39,J,0.419,J,0.45,J,0.239,U,0.52,J,0.4,J,0.425,J,0.356,J,0.596,J,0.368,J,0.409,U,0.462,J,0.524,J,0.541,J,0.242,U,0.273,J,0.232,U,0.183,J,0.52,U,0.348,J,0.274,J,0.495,J,0.223,U,0.243,J
C28 Tricyclic Terpane-22R,,0.37,J,0.458,J,0.663,J,0.239,U,0.625,J,0.524,J,0.379,J,0.424,J,0.633,J,0.557,J,0.409,U,0.725,J,0.59,J,0.784,J,0.242,U,0.505,J,0.232,U,0.256,J,0.499,J,0.58,J,0.401,J,0.755,J,0.223,U,0.371,J
C29 Tricyclic Terpane-22S,,0.368,J,0.449,J,0.47,J,0.239,U,0.61,J,0.415,J,0.423,J,0.338,J,0.627,J,0.413,J,0.409,U,0.368,J,0.541,J,0.555,J,0.242,U,0.286,J,0.232,U,0.366,U,0.52,U,0.338,J,0.347,J,0.429,J,0.223,U,0.17,J
C29 Tricyclic Terpane-22R,,0.424,J,0.374,J,0.498,J,0.239,U,0.521,J,0.323,J,0.38,J,0.325,J,0.476,J,0.269,J,0.409,U,0.66,U,0.352,J,0.423,J,0.242,U,0.196,J,0.232,U,0.17,J,0.52,U,0.48,U,0.246,J,0.293,J,0.223,U,0.171,J
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,1.012,J,1.082,J,1.375,J,0.194,J,1.555,J,1.194,J,1.246,J,1.073,J,1.598,J,1.185,J,0.995,J,1.918,J,2.374,J,1.921,J,0.242,U,1.13,J,0.232,U,1.213,J,1.245,J,1.359,J,1.108,J,1.448,J,0.223,U,0.645,J
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,2.702,,2.842,,3.843,,0.387,J,3.817,,3.194,,2.923,,2.841,,4.589,,3.236,,3.27,,6.51,,6.254,,5.718,,0.536,J,4.645,,0.427,J,3.339,,5.439,,5.228,,3.691,,5.31,,0.223,U,2.542,
"17a(H),21b(H)-28,30-Bisnorhopane",,0.336,U,0.31,U,0.466,U,0.239,U,0.426,U,0.413,U,0.365,U,0.338,U,0.421,U,0.373,U,0.409,U,0.66,U,0.434,U,0.425,U,0.242,U,0.276,U,0.232,U,0.366,U,0.52,U,0.48,U,0.36,U,0.273,U,0.223,U,0.315,U
"17a(H),21b(H)-25-Norhopane",,0.336,U,0.31,U,0.466,U,0.239,U,0.426,U,0.413,U,0.365,U,0.338,U,0.421,U,0.373,U,0.409,U,0.66,U,0.434,U,0.425,U,0.242,U,0.276,U,0.232,U,0.366,U,0.52,U,0.48,U,0.36,U,0.273,U,0.223,U,0.315,U
30-Norhopane,,5.469,,5.667,,7.891,,0.703,J,7.373,,5.947,,6.136,,5.502,,9.088,,6.55,,5.823,,11.045,,11.81,,10.706,,0.826,J,7.939,,0.772,J,6.166,,9.112,,8.654,,6.286,,9.664,,0.223,U,4.877,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.28,J,1.284,J,1.839,J,0.239,U,1.671,J,1.298,J,1.468,J,1.065,J,1.911,J,1.522,J,1.146,J,2.046,J,2.854,,2.159,J,0.242,U,1.335,J,0.232,U,1.18,J,1.49,J,1.517,J,1.067,J,1.742,,0.223,U,0.793,J
17a(H)-Diahopane,,0.643,J,0.588,J,0.832,J,0.239,U,0.671,J,0.583,J,0.754,J,0.745,J,0.817,J,0.55,J,0.409,U,1.018,J,0.884,J,0.984,J,0.242,U,0.683,J,0.232,U,0.471,J,0.667,J,1.076,J,0.664,J,0.858,J,0.223,U,0.49,J
30-Normoretane,,2.067,,2.373,,4.132,,0.472,J,3.607,,3.229,,2.226,,2.095,,4.016,,2.407,,3.17,,6.086,,4.01,,4.246,,0.603,J,6,,0.287,J,2.472,,5.993,,6.363,,3.622,,6.544,,0.223,U,3.981,
18a(H) & 18b(H)-Oleananes,,0.336,U,0.31,U,0.466,U,0.239,U,0.426,U,0.413,U,0.365,U,0.338,U,0.421,U,0.373,U,0.409,U,0.66,U,0.434,U,0.425,U,0.242,U,0.276,U,0.232,U,0.366,U,0.52,U,0.48,U,0.36,U,0.273,U,0.223,U,0.315,U
"17a(H),21b(H)-hopane",,8.826,,8.63,,12.439,,1.109,J,11.69,,8.933,,10.028,,8.634,,14.751,,9.807,,8.9,,16.82,,18.107,,16.796,,1.324,J,11.927,,1.312,J,9.402,,13.596,,13.115,,9.785,,14.401,,0.373,J,6.929,
"17b(H),21a(H)-hopane (moretane)",,3.788,,4.754,,8.407,,1.095,J,6.647,,5.847,,4.24,,4.024,,6.899,,4.726,,6.969,,12.785,,7.877,,7.753,,1.389,,14.661,,0.532,J,5.096,,13.579,,14.024,,7.166,,14.209,,0.223,U,9.414,
30-Homohopane-22S,,3.608,,3.572,,4.76,,0.421,J,4.387,,3.562,,3.973,,3.578,,5.972,,4.237,,3.594,,7.268,,8.245,,6.885,,0.512,J,4.545,,0.44,J,3.889,,5.573,,5.468,,4.201,,5.819,,0.223,U,2.545,
30-Homohopane-22R,,4.131,,4.223,,6.066,,0.572,J,5.688,,4.204,,4.468,,4.255,,7.069,,5.09,,5.337,,10.088,,8.718,,8.013,,0.864,J,8.525,,0.558,J,4.466,,8.208,,8.74,,5.435,,9.554,,0.223,U,5.769,
"30,31-Bishomohopane-22S",,1.698,J,1.694,J,2.032,J,0.239,U,1.839,J,1.597,J,1.828,J,1.466,J,2.497,,1.653,J,1.493,J,2.61,J,4.417,,3.063,,0.242,U,1.752,,0.232,U,1.311,J,1.667,J,1.924,J,1.991,J,2.461,,0.223,U,1.032,J
"30,31-Bishomohopane-22R",,1.656,J,1.406,J,2.13,J,0.239,U,1.88,J,1.373,J,1.422,J,1.571,J,2.438,,1.705,J,1.252,J,2.236,J,3.457,,2.943,,0.242,U,1.637,,0.232,U,1.496,J,1.838,J,1.904,J,1.657,J,2.278,,0.223,U,0.987,J
"30,31,32-Trishomohopane-22S",,3.707,,3.975,,5.815,,0.634,J,5.189,,4.306,,3.454,,3.44,,5.909,,3.796,,4.296,,9.815,,7.204,,6.644,,1.065,J,11.488,,0.387,J,3.774,,9.498,,11.193,,5.489,,11.363,,0.223,U,7.698,
"30,31,32-Trishomohopane-22R",,0.791,J,0.841,J,1.22,J,0.239,U,1.069,J,0.762,J,0.82,J,0.791,J,1.206,J,0.655,J,0.409,U,0.952,J,1.591,J,1.26,J,0.242,U,0.603,J,0.232,U,0.58,J,1.026,J,0.958,J,0.958,J,1.02,J,0.223,U,0.555,J
"30,31,32,33-Tetrakishomohopane-22S",,0.693,J,0.31,U,0.627,J,0.239,U,0.765,J,0.413,U,0.639,J,0.338,U,0.946,J,0.373,U,0.409,U,0.66,U,1.547,J,1.059,J,0.242,U,0.276,U,0.232,U,0.366,U,0.52,U,0.48,U,0.649,J,0.601,J,0.223,U,0.315,U
"30,31,32,33-Tetrakishomohopane-22R",,0.428,J,0.31,U,0.466,U,0.239,U,0.426,U,0.413,U,0.365,U,0.338,U,0.421,U,0.373,U,0.409,U,0.66,U,0.916,J,0.425,U,0.242,U,0.276,U,0.232,U,0.366,U,0.52,U,0.48,U,0.36,U,0.567,J,0.223,U,0.315,U
"30,31,32,33,34-Pentakishomohopane-22S",,0.336,U,0.31,U,0.466,U,0.239,U,0.426,U,0.413,U,0.365,U,0.338,U,0.421,U,0.373,U,0.409,U,0.66,U,0.434,U,0.425,U,0.242,U,0.276,U,0.232,U,0.366,U,0.52,U,0.48,U,0.36,U,0.273,U,0.223,U,0.315,U
"30,31,32,33,34-Pentakishomohopane-22R",,0.336,U,0.31,U,0.466,U,0.239,U,0.426,U,0.413,U,0.365,U,0.338,U,0.421,U,0.373,U,0.409,U,0.66,U,0.434,U,0.425,U,0.242,U,0.276,U,0.232,U,0.366,U,0.52,U,0.48,U,0.36,U,0.273,U,0.223,U,0.315,U
Priority Pollutant PAH,,67.988,,80.696,,115.489,,12.077,,100.677,,86.492,,99.945,,86.078,,140.486,,110.449,,130.806,,236.876,,186.688,,183.096,,27.062,,176.985,,17.371,,116.994,,207.838,,209.289,,140.928,,187.7,,4.45,,90.225,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene-d8,,65,,50,,46,,49,,56,,46,,44,,54,,55,,56,,47,,52,,57,,42,,61,,56,,54,,59,,44,,58,,53,,58,,62,,56,
Acenaphthene-d10,,71,,58,,51,,51,,61,,51,,48,,61,,63,,61,,52,,60,,63,,49,,65,,68,,58,,64,,48,,65,,62,,66,,65,,62,
Phenanthrene-d10,,76,,65,,57,,55,,65,,55,,52,,70,,69,,64,,58,,68,,66,,56,,68,,76,,61,,67,,51,,70,,66,,71,,67,,66,
Benzo(a)pyrene-d12,,73,,61,,51,,48,,59,,47,,44,,64,,62,,55,,48,,65,,60,,50,,63,,72,,52,,58,,45,,67,,60,,69,,55,,59,
5b(H)-Cholane,,109,,80,,81,,83,,70,,71,,77,,77,,77,,77,,49,,80,,79,,63,,77,,88,,86,,96,,98,,99,,92,,98,,95,,92,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
