Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,PEAT,,PEAT,
Sample Size,,20.90,,22.70,,19.87,,16.13,,18.72,,22.67,,13.09,,13.91,,13.82,,18.97,,21.01,,15.41,,12.79,,18.93,,21.30,,13.51,,16.04,,5.99,,7.54,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Decane,,0.033,J,0.048,B,0.040,J,0.092,B,0.050,J,0.037,J,0.120,,0.099,B,0.062,J,0.054,B,0.038,J,0.083,B,0.128,,0.051,J,0.040,J,0.120,,0.076,B,0.088,J,0.118,J
n-Undecane,,0.020,J,0.034,J,0.025,J,0.080,,0.028,J,0.022,J,0.107,,0.084,,0.036,J,0.037,J,0.022,J,0.066,,0.113,,0.032,J,0.024,J,0.109,,0.062,J,0.011,J,0.040,J
n-Dodecane,,0.024,J,0.032,J,0.026,J,0.088,,0.030,J,0.027,J,0.114,,0.095,,0.043,J,0.042,J,0.026,J,0.073,,0.121,,0.035,J,0.030,J,0.113,,0.067,,0.010,J,0.054,J
n-Tridecane,,0.030,J,0.037,J,0.033,J,0.100,,0.038,J,0.030,J,0.132,,0.114,,0.049,J,0.051,J,0.031,J,0.088,,0.137,,0.041,J,0.031,J,0.124,,0.075,,0.012,J,0.065,J
Isoprenoid RRT 1380,,0.010,J,0.010,J,0.009,J,0.030,J,0.012,J,0.011,J,0.038,J,0.035,J,0.017,J,0.017,J,0.010,J,0.027,J,0.036,J,0.012,J,0.010,J,0.033,J,0.021,J,0.005,J,0.021,J
n-Tetradecane,,0.032,J,0.041,J,0.035,J,0.114,,0.044,J,0.037,J,0.154,,0.139,,0.063,J,0.062,,0.037,J,0.104,,0.153,,0.047,J,0.037,J,0.140,,0.085,,0.014,J,0.088,J
Isoprenoid RRT 1470,,0.021,J,0.022,J,0.022,J,0.066,,0.027,J,0.023,J,0.085,,0.079,,0.042,J,0.037,J,0.023,J,0.062,J,0.080,,0.027,J,0.022,J,0.074,,0.045,J,0.015,J,0.048,J
n-Pentadecane,,0.041,J,0.050,,0.049,J,0.147,,0.057,,0.047,,0.185,,0.173,,0.080,,0.078,,0.047,J,0.127,,0.175,,0.058,,0.044,J,0.162,,0.102,,0.019,J,0.097,J
n-Hexadecane,,0.039,J,0.042,J,0.043,J,0.128,,0.054,,0.049,,0.165,,0.164,,0.082,,0.079,,0.046,J,0.124,,0.160,,0.054,,0.041,J,0.147,,0.091,,0.028,J,0.096,J
Norpristane (1650),,0.013,J,0.014,J,0.015,J,0.044,J,0.019,J,0.019,J,0.063,J,0.068,J,0.036,J,0.032,J,0.019,J,0.048,J,0.054,J,0.020,J,0.015,J,0.049,J,0.031,J,0.008,J,0.027,J
n-Heptadecane,,0.061,,0.058,,0.065,,0.153,,0.079,,0.055,,0.197,,0.197,,0.094,,0.088,,0.052,,0.144,,0.188,,0.063,,0.045,J,0.181,,0.111,,0.047,J,0.100,J
Pristane,,0.036,J,0.036,J,0.042,J,0.150,,0.060,,0.055,,0.170,,0.180,,0.103,,0.092,,0.067,,0.134,,0.152,,0.063,,0.052,,0.149,,0.092,,0.019,J,0.054,J
n-Octadecane,,0.042,J,0.044,J,0.046,J,0.135,,0.061,,0.050,,0.181,,0.176,,0.084,,0.078,,0.047,J,0.130,,0.169,,0.056,,0.042,J,0.162,,0.097,,0.065,J,0.068,J
Phytane,,0.018,J,0.018,J,0.023,J,0.068,,0.032,J,0.035,J,0.103,,0.114,,0.067,J,0.054,,0.033,J,0.080,,0.083,,0.031,J,0.021,J,0.069,J,0.044,J,0.012,J,0.028,J
n-Nonadecane,,0.058,,0.053,,0.060,,0.157,,0.079,,0.053,,0.184,,0.184,,0.092,,0.081,,0.050,,0.142,,0.186,,0.062,,0.044,J,0.193,,0.114,,0.170,J,0.077,J
n-Eicosane,,0.055,,0.050,,0.054,,0.146,,0.073,,0.048,,0.175,,0.170,,0.084,,0.075,,0.046,J,0.125,,0.167,,0.056,,0.041,J,0.174,,0.103,,0.202,,0.071,J
n-Heneicosane,,0.111,,0.081,,0.096,,0.209,,0.133,,0.055,,0.205,,0.197,,0.098,,0.082,,0.054,,0.150,,0.219,,0.071,,0.049,,0.284,,0.154,,0.578,,0.133,
n-Docosane,,0.081,,0.066,,0.075,,0.177,,0.106,,0.048,,0.206,,0.183,,0.083,,0.073,,0.046,J,0.125,,0.187,,0.061,,0.047,,0.234,,0.130,,0.447,,0.106,J
n-Tricosane,,0.208,,0.131,,0.162,,0.307,,0.214,,0.065,,0.269,,0.241,,0.119,,0.090,,0.066,,0.210,,0.324,,0.103,,0.071,,0.483,,0.258,,1.319,,0.295,
n-Tetracosane,,0.090,,0.069,,0.075,,0.167,,0.109,,0.044,,0.182,,0.163,,0.078,,0.065,,0.044,J,0.121,,0.179,,0.059,,0.041,J,0.230,,0.131,,0.494,,0.122,J
n-Pentacosane,,0.282,,0.155,,0.190,,0.335,,0.256,,0.070,,0.268,,0.251,,0.134,,0.094,,0.073,,0.211,,0.323,,0.107,,0.071,,0.509,,0.276,,1.807,,0.388,
n-Hexacosane,,0.064,,0.052,,0.058,,0.133,,0.075,,0.037,J,0.128,,0.131,,0.067,J,0.053,,0.038,J,0.099,,0.145,,0.048,J,0.033,J,0.176,,0.107,,0.391,,0.094,J
n-Heptacosane,,0.440,,0.245,,0.293,,0.467,,0.376,,0.087,,0.324,,0.321,,0.175,,0.112,,0.095,,0.247,,0.412,,0.139,,0.085,,0.721,,0.386,,2.945,,0.564,
n-Octacosane,,0.054,,0.045,,0.049,J,0.102,,0.062,,0.031,J,0.101,,0.102,,0.058,J,0.044,J,0.032,J,0.080,,0.112,,0.037,J,0.024,J,0.142,,0.080,,0.315,,0.093,J
n-Nonacosane,,0.357,,0.274,,0.285,,0.445,,0.353,,0.089,,0.304,,0.317,,0.177,,0.111,,0.095,,0.236,,0.384,,0.135,,0.081,,0.661,,0.355,,2.715,,0.500,
n-Triacontane,,0.029,J,0.027,J,0.029,J,0.059,J,0.035,J,0.020,J,0.062,J,0.063,J,0.036,J,0.027,J,0.021,J,0.048,J,0.064,J,0.022,J,0.014,J,0.079,,0.048,J,0.250,,0.056,J
n-Hentriacontane,,0.362,,0.237,,0.242,,0.371,,0.324,,0.073,,0.237,,0.267,,0.142,,0.087,,0.076,,0.170,,0.296,,0.109,,0.066,,0.533,,0.276,,2.627,,0.374,
n-Dotriacontane,,0.021,J,0.017,J,0.020,J,0.045,J,0.025,J,0.016,J,0.049,J,0.050,J,0.028,J,0.021,J,0.016,J,0.040,J,0.048,J,0.017,J,0.012,J,0.058,J,0.035,J,0.137,J,0.064,J
n-Tritriacontane,,0.083,,0.076,,0.073,,0.135,,0.092,,0.034,J,0.107,,0.117,,0.063,J,0.044,J,0.033,J,0.101,,0.129,,0.044,J,0.029,J,0.195,,0.111,,0.736,,0.180,
n-Tetratriacontane,,0.006,J,0.006,J,0.006,J,0.016,J,0.008,J,0.007,J,0.020,J,0.021,J,0.012,J,0.010,J,0.008,J,0.016,J,0.019,J,0.006,J,0.004,J,0.020,J,0.013,J,0.025,J,0.015,J
n-Pentatriacontane,,0.010,J,0.010,J,0.010,J,0.026,J,0.014,J,0.008,J,0.029,J,0.030,J,0.014,J,0.011,J,0.009,J,0.026,J,0.029,J,0.012,J,0.005,J,0.036,J,0.020,J,0.066,J,0.036,J
n-Hexatriacontane,,0.004,J,0.003,J,0.004,J,0.011,J,0.005,J,0.005,J,0.012,J,0.014,J,0.008,J,0.007,J,0.005,J,0.010,J,0.011,J,0.004,J,0.003,J,0.012,J,0.007,J,0.007,J,0.009,J
n-Heptatriacontane,,0.006,J,0.004,J,0.004,J,0.011,J,0.007,J,0.004,J,0.016,J,0.015,J,0.006,J,0.005,J,0.004,J,0.009,J,0.010,J,0.003,J,0.002,J,0.010,J,0.007,J,0.011,J,0.007,J
n-Octatriacontane,,0.003,J,0.003,J,0.003,J,0.009,J,0.004,J,0.003,J,0.009,J,0.012,J,0.005,J,0.005,J,0.003,J,0.007,J,0.009,J,0.003,J,0.001,J,0.009,J,0.006,J,0.007,J,0.006,J
