,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IC44: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CD944NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,11/19/14,,,,,,,
Extraction Date,,11/19/14,,,,,,,
Analysis Date,,11/20/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.05,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
Naphthalene,,741.688,,676.23,9.7,,,,
C1-Naphthalenes,,1607.987,,1450.57,10.9,,,,
C2-Naphthalenes,,1991.003,,1786.47,11.4,,,,
C3-Naphthalenes,,1439.096,,1336.32,7.7,,,,
C4-Naphthalenes,,769.929,,732.55,5.1,,,,
Biphenyl,,200.918,,213.99,6.1,,,,
Acenaphthylene,,8.226,,,,,,,
Acenaphthene,,10.915,,11.95,8.7,,,,
Dibenzofuran,,68.491,,71.17,3.8,,,,
Fluorene,,100.299,,94.39,6.3,,,,
C1-Fluorenes,,243.313,,239.32,1.7,,,,
C2-Fluorenes,,332.857,,349.52,4.8,,,,
C3-Fluorenes,,280.296,,311.37,10.0,,,,
Anthracene,,2.64,U,,,,,,
Phenanthrene,,300.967,,293.23,2.6,,,,
C1-Phenanthrenes/Anthracenes,,585.882,,610.79,4.1,,,,
C2-Phenanthrenes/Anthracenes,,628.753,,675.89,7.0,,,,
C3-Phenanthrenes/Anthracenes,,415.57,,472.86,12.1,,,,
C4-Phenanthrenes/Anthracenes,,161.405,,179.20,9.9,,,,
Retene,,30.957,,,,,,,
Dibenzothiophene,,222.901,,236.53,5.8,,,,
C1-Dibenzothiophenes,,397.694,,447.76,11.2,,,,
C2-Dibenzothiophenes,,499.305,,587.43,15.0,,,,
C3-Dibenzothiophenes,,394.512,,486.78,19.0,,,,
C4-Dibenzothiophenes,,206.166,,246.27,16.3,,,,
Fluoranthene,,4.701,,,,,,,
Pyrene,,12.652,,14.07,10.1,,,,
C1-Fluoranthenes/Pyrenes,,82.038,,80.37,2.1,,,,
C2-Fluoranthenes/Pyrenes,,129.43,,129.00,0.3,,,,
C3-Fluoranthenes/Pyrenes,,141.469,,147.57,4.1,,,,
Benzo(a)anthracene,,2.393,J,,,,,,
Chrysene,,50.299,,50.47,0.3,,,,
C1-Chrysenes,,86.331,,85.54,0.9,,,,
C2-Chrysenes,,101.733,,107.24,5.1,,,,
C3-Chrysenes,,85.34,,89.83,5.0,,,,
C4-Chrysenes,,62.65,,67.08,6.6,,,,
Benzo(b)fluoranthene,,7.004,,6.90,1.5,,,,
Benzo(k)fluoranthene,,5.161,U,,,,,,
Benzo(e)pyrene,,11.685,,13.16,11.2,,,,
Benzo(a)pyrene,,2.15,J,,,,,,
Perylene,,0.831,J,,,,,,
"Indeno(1,2,3-cd)pyrene",,2.596,U,,,,,,
"Dibenz(a,h)anthracene",,2.58,U,,,,,,
