,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,,,,,,
,,,,,,,,,
Battelle ID,,CG919PB-P,,,,,,,
Sample Type,,PB,,,,,,,
Collection Date,,08/25/15,,,,,,,
Extraction Date,,08/25/15,,,,,,,
Analysis Date,,09/03/15,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,46.22, ,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,16.14,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,NG/G_DRY,,,,,,,
,,,,,,,,,
Naphthalene,,0.096,J,,,,,,
C1-Naphthalenes,,0.274,U,,,,,,
C2-Naphthalenes,,0.274,U,,,,,,
C3-Naphthalenes,,0.274,U,,,,,,
C4-Naphthalenes,,0.274,U,,,,,,
Biphenyl,,0.083,U,,,,,,
Acenaphthylene,,0.095,U,,,,,,
Acenaphthene,,0.077,U,,,,,,
Dibenzofuran,,0.103,U,,,,,,
Fluorene,,0.071,U,,,,,,
C1-Fluorenes,,0.071,U,,,,,,
C2-Fluorenes,,0.071,U,,,,,,
C3-Fluorenes,,0.071,U,,,,,,
Anthracene,,0.116,U,,,,,,
Phenanthrene,,0.126,U,,,,,,
C1-Phenanthrenes/Anthracenes,,0.126,U,,,,,,
C2-Phenanthrenes/Anthracenes,,0.126,U,,,,,,
C3-Phenanthrenes/Anthracenes,,0.126,U,,,,,,
C4-Phenanthrenes/Anthracenes,,0.126,U,,,,,,
Retene,,0.180,U,,,,,,
Dibenzothiophene,,0.074,U,,,,,,
C1-Dibenzothiophenes,,0.074,U,,,,,,
C2-Dibenzothiophenes,,0.074,U,,,,,,
C3-Dibenzothiophenes,,0.074,U,,,,,,
C4-Dibenzothiophenes,,0.074,U,,,,,,
Fluoranthene,,0.042,J,,,,,,
Pyrene,,0.052,J,,,,,,
C1-Fluoranthenes/Pyrenes,,0.276,U,,,,,,
C2-Fluoranthenes/Pyrenes,,0.276,U,,,,,,
C3-Fluoranthenes/Pyrenes,,0.276,U,,,,,,
Benzo(a)anthracene,,0.190,U,,,,,,
Chrysene,,0.172,U,,,,,,
C1-Chrysenes,,0.172,U,,,,,,
C2-Chrysenes,,0.172,U,,,,,,
C3-Chrysenes,,0.172,U,,,,,,
C4-Chrysenes,,0.172,U,,,,,,
Benzo(b)fluoranthene,,0.201,U,,,,,,
Benzo(k)fluoranthene,,0.103,U,,,,,,
Benzo(e)pyrene,,0.156,U,,,,,,
Benzo(a)pyrene,,0.212,U,,,,,,
Perylene,,0.182,U,,,,,,
"Indeno(1,2,3-cd)pyrene",,0.238,U,,,,,,
"Dibenz(a,h)anthracene",,0.147,U,,,,,,
"Benzo(g,h,i)perylene",,0.226,U,,,,,,
Total PAH,,0.190,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,0.118,U,,,,,,
"13b(H),17a(H)-20S-Diacholestane ",,0.118,U,,,,,,
"13b(H),17a(H)-20R-Diacholestane",,0.118,U,,,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.118,U,,,,,,
