2015 Sediment MDLs,
,
Units,MDL(ng/g)
,
Carbazole,0.237
cis-Decalin,0.210
trans-Decalin,0.234
Benzo(b)thiophene,0.210
"1,4-Dichlorobenzene",0.282
Naphthalene,0.210
2-Chloronaphthalene,0.144
2-Methylnaphthalene,0.171
1-Methylnaphthalene,0.228
"2,6-dimethylnaphthalene",0.234
"2,3,5-trimethylnaphthalene",0.237
Biphenyl,0.282
Acenaphthylene,0.378
Acenaphthene,0.180
Dibenzofuran,0.174
Fluorene,0.204
Anthracene,0.264
Phenanthrene,0.267
1-Methylphenanthrene,0.255
2-Methylphenanthrene,0.159
Dibenzothiophene,0.177
Fluoranthene,0.426
Pyrene,0.597
Benzo(a)anthracene,0.366
Chrysene,0.633
Benzo(b)fluoranthene,0.471
Benzo(k)fluoranthene,0.639
Benzo(e)pyrene,0.495
Benzo(a)pyrene,1.000
Perylene,0.297
"Indeno(1,2,3-cd)pyrene",0.507
"Dibenz(a,h)anthracene",0.474
"Benzo(g,h,i)perylene",0.615
Isophorone,0.228
