2013 Sediment MDLs,
,
Units,MDL(ng/g)
,
Carbazole,0.294
cis-Decalin,0.045
trans-Decalin,0.051
Benzo(b)thiophene,0.117
"1,4-Dichlorobenzene",0.075
Naphthalene,0.531
2-Chloronaphthalene,0.123
2-Methylnaphthalene,0.168
1-Methylnaphthalene,0.171
"2,6-dimethylnaphthalene",0.165
"2,3,5-trimethylnaphthalene",0.162
Biphenyl,0.162
Acenaphthylene,0.186
Acenaphthene,0.15
Dibenzofuran,0.201
Fluorene,0.138
Anthracene,0.225
Phenanthrene,0.246
1-Methylphenanthrene,0.204
2-Methylphenanthrene,0.153
Dibenzothiophene,0.144
Fluoranthene,0.444
Pyrene,0.537
Benzo(a)anthracene,0.369
Chrysene,0.333
Benzo(b)fluoranthene,0.39
Benzo(k)fluoranthene,0.201
Benzo(e)pyrene,0.303
Benzo(a)pyrene,0.411
Perylene,0.354
"Indeno(1,2,3-cd)pyrene",0.462
"Dibenz(a,h)anthracene",0.285
"Benzo(g,h,i)perylene",0.438
Isophorone,0.114
