,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,Procedural Blank,,,
,,,,,,,,,
Battelle ID,,CD639PB-P,,CD640PB-P,,CD808PB-P,,,
Sample Type,,PB,,PB,,PB,,,
Collection Date,,10/27/14,,10/27/2014,,11/3/2014,,,
Extraction Date,,10/27/14,,10/27/2014,,11/3/2014,,,
Analysis Date,,11/09/14,,11/9/2014,,11/9/2014,,,
Analytical Instrument,,MS,,MS,,MS,,,
% Moisture,,49.69, ,49.69,,49.7,,,
% Lipid,,NA,,NA,,NA,,,
Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,,
Sample Size,,15.08,,15.12,,15.11,,,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,,
,,,,,,,,,
C4-Phenanthrenes/Anthracenes,,0.135,U,0.135,U,0.135,U,,
Retene,,0.192,U,0.192,U,0.192,U,,
Dibenzothiophene,,0.08,U,0.079,U,0.079,U,,
C1-Dibenzothiophenes,,0.08,U,0.079,U,0.079,U,,
C2-Dibenzothiophenes,,0.08,U,0.079,U,0.079,U,,
C3-Dibenzothiophenes,,0.08,U,0.079,U,0.079,U,,
C4-Dibenzothiophenes,,0.08,U,0.079,U,0.079,U,,
Fluoranthene,,0.245,U,0.244,U,0.244,U,,
Pyrene,,0.296,U,0.295,U,0.295,U,,
C1-Fluoranthenes/Pyrenes,,0.296,U,0.295,U,0.295,U,,
C2-Fluoranthenes/Pyrenes,,0.296,U,0.295,U,0.295,U,,
C3-Fluoranthenes/Pyrenes,,0.296,U,0.295,U,0.295,U,,
Benzo(a)anthracene,,0.204,U,0.203,U,0.203,U,,
Chrysene,,0.184,U,0.183,U,0.183,U,,
C1-Chrysenes,,0.184,U,0.183,U,0.183,U,,
C2-Chrysenes,,0.184,U,0.183,U,0.183,U,,
C3-Chrysenes,,0.184,U,0.183,U,0.183,U,,
C4-Chrysenes,,0.184,U,0.183,U,0.183,U,,
Benzo(b)fluoranthene,,0.215,U,0.214,U,0.214,U,,
Benzo(k)fluoranthene,,0.111,U,0.11,U,0.111,U,,
Benzo(e)pyrene,,0.167,U,0.167,U,0.167,U,,
Benzo(a)pyrene,,0.227,U,0.226,U,0.226,U,,
Perylene,,0.195,U,0.194,U,0.195,U,,
"Indeno(1,2,3-cd)pyrene",,0.255,U,0.254,U,0.254,U,,
"Dibenz(a,h)anthracene",,0.157,U,0.157,U,0.157,U,,
"Benzo(g,h,i)perylene",,0.241,U,0.241,U,0.241,U,,
Total PAH,,0.23,,0.211,,0.228,,,
"14a(H),17a(H)-20R-Cholestane",,0.126,U,0.126,U,0.126,U,,
"13b(H),17a(H)-20S-Diacholestane ",,0.126,U,0.126,U,0.126,U,,
"13b(H),17a(H)-20R-Diacholestane",,0.126,U,0.126,U,0.126,U,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.126,U,0.126,U,0.126,U,,
"14a(H),17a(H)-20S-Cholestane",,0.126,U,0.126,U,0.126,U,,
"14b(H),17b(H)-20R-Cholestane",,0.126,U,0.126,U,0.126,U,,
"14b(H),17b(H)-20S-Cholestane",,0.126,U,0.126,U,0.126,U,,
"14a(H),17a(H)-20S-methylcholestane",,0.126,U,0.126,U,0.126,U,,
"14b(H),17b(H)-20R-Methylcholestane",,0.126,U,0.126,U,0.126,U,,
"14b(H),17b(H)-20S-Methylcholestane",,0.126,U,0.126,U,0.126,U,,
"14a(H),17a(H)-20R-methylcholestane ",,0.126,U,0.126,U,0.126,U,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.126,U,0.126,U,0.126,U,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.126,U,0.126,U,0.126,U,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.126,U,0.126,U,0.126,U,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.126,U,0.126,U,0.126,U,,
C23 Tricyclic Terpane,,0.351,U,0.35,U,0.35,U,,
C24 Tricyclic Terpane ,,0.351,U,0.35,U,0.35,U,,
C25 Tricyclic Terpane,,0.351,U,0.35,U,0.35,U,,
C24 Tetracyclic Terpane,,0.351,U,0.35,U,0.35,U,,
C26 Tricyclic Terpane-22S,,0.351,U,0.35,U,0.35,U,,
C26 Tricyclic Terpane-22R,,0.351,U,0.35,U,0.35,U,,
C28 Tricyclic Terpane-22S,,0.351,U,0.35,U,0.35,U,,
C28 Tricyclic Terpane-22R,,0.351,U,0.35,U,0.35,U,,
C29 Tricyclic Terpane-22S,,0.351,U,0.35,U,0.35,U,,
C29 Tricyclic Terpane-22R,,0.351,U,0.35,U,0.35,U,,
