,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,QAH-122,,QAH-122,,,,,QAH-122,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,L4800-P,,L4800MS-P,,,,,L4800MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,08/06/15,,8/6/2015,,,,,8/6/2015,,,,,,
Extraction Date,,08/31/15,,9/2/2015,,,,,8/31/2015,,,,,,
Analysis Date,,09/12/15,,9/12/2015,,,,,9/13/2015,,,,,,
Analytical Instrument,,MS,,MS,,,,,MS,,,,,,
% Moisture,,29.13,,31.53,,,,,28.52,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,21.30,,10.28,,,,,10.67,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
Naphthalene,,6.630,,185.370,,195.10,92,,187.035,,187.97,96,,4.3,
C1-Naphthalenes,,19.276,,0.430,U,,,,0.414,U,,,,,
C2-Naphthalenes,,27.320,,0.430,U,,,,0.414,U,,,,,
C3-Naphthalenes,,23.278,,0.430,U,,,,0.414,U,,,,,
C4-Naphthalenes,,15.507,,0.430,U,,,,0.414,U,,,,,
Biphenyl,,3.079,,168.154,,195.06,85,,170.963,,187.93,89,,4.6,
Acenaphthylene,,0.111,J,191.393,,195.18,98,,192.924,,188.04,103,,5.0,
Acenaphthene,,0.436,J,188.111,,195.08,96,,189.861,,187.95,101,,5.1,
Dibenzofuran,,3.032,,171.174,,195.04,86,,174.631,,187.91,91,,5.6,
Fluorene,,1.950,,187.458,,195.23,95,,192.081,,188.10,101,,6.1,
C1-Fluorenes,,3.713,,0.112,U,,,,0.108,U,,,,,
C2-Fluorenes,,5.791,,0.112,U,,,,0.108,U,,,,,
C3-Fluorenes,,4.976,,0.112,U,,,,0.108,U,,,,,
Anthracene,,0.267,J,191.879,,195.04,98,,188.032,,187.91,100,,2.0,
Phenanthrene,,15.011,,196.005,,194.98,93,,200.145,,187.85,99,,6.3,
C1-Phenanthrenes/Anthracenes,,25.238,,0.198,U,,,,0.191,U,,,,,
C2-Phenanthrenes/Anthracenes,,22.502,,0.198,U,,,,0.191,U,,,,,
C3-Phenanthrenes/Anthracenes,,14.643,,0.198,U,,,,0.191,U,,,,,
C4-Phenanthrenes/Anthracenes,,10.663,,0.198,U,,,,0.191,U,,,,,
Retene,,16.226,,0.282,U,,,,0.272,U,,,,,
Dibenzothiophene,,2.015,,164.920,,195.19,83,,169.409,,188.06,89,,7.0,
C1-Dibenzothiophenes,,5.323,,0.117,U,,,,0.112,U,,,,,
C2-Dibenzothiophenes,,6.710,,0.117,U,,,,0.112,U,,,,,
