2013 Sediment MDLs,
,
Units,MDL(ng/g)
,
n-Octane,9.18
n-Nonane,7.46
n-Decane,5.7
n-Undecane,5.93
n-Dodecane,6.42
n-Tridecane,7.57
n-Tetradecane,5.66
n-Pentadecane,5.49
n-Hexadecane,12.9
n-Heptadecane,5.71
Pristane,25
n-Octadecane,8.06
Phytane,9.23
n-Nonadecane,4.91
n-Eicosane,10.1
n-Heneicosane,2.61
n-Docosane,17.6
n-Tricosane,6.97
n-Tetracosane,17.4
n-Pentacosane,15.4
n-Hexacosane,10.2
n-Heptacosane,8.97
n-Octacosane,9.62
n-Nonacosane,6.26
n-Triacontane,6.85
n-Hentriacontane,4.05
n-Dotriacontane,5.74
n-Tritriacontane,2.87
n-Tetratriacontane,4.99
n-Pentatriacontane,5.19
n-Hexatriacontane,4.44
n-Heptatriacontane,8.92
n-Octatriacontane,5.65
n-Nonatriacontane,9.26
n-Tetracontane,10
