"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,1922.65750124256,0.356422211126358,685.277837831548
1991,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1992,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1993,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1994,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1995,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1996,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1997,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1998,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
1999,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2000,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2001,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2002,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2003,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2004,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2005,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2006,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2007,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2008,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2009,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2010,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2011,1,1,4.31530262775971e-07,0.374108245036852,1.6143902928741e-07
2012,1,1,97324.3868859814,0.149560958986133,14555.9286354048
