"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,11113.8045238419,0.564126799371138,6269.59497487142
1991,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1992,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1993,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1994,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1995,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1996,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1997,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1998,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
1999,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2000,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2001,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2002,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2003,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2004,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2005,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2006,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2007,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2008,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2009,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2010,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2011,1,1,4.27374856354956e-06,2.25304275166473,9.6289382235429e-06
2012,1,1,96910.3817624957,0.275030226899902,26653.2842850955
