"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,7678.85697744166,0.327594411398884,2515.55063174123
1991,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1992,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1993,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1994,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1995,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1996,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1997,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1998,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
1999,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2000,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2001,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2002,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2003,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2004,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2005,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2006,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2007,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2008,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2009,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2010,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2011,1,1,8.68141387548184e-07,0.745675918157975,6.47352126250931e-07
2012,1,1,3938.10958342814,0.141325092895139,556.553702709221
