"Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","common_name","status","max_grad","rrmse","aic"
0,0,0,0,"TRUE","saffron cod","confirm_gradient",1.06287174465793e-10,3.451,483.843488576126
1,0,0,0,"TRUE","saffron cod","confirm_gradient",1.30319000035684e-09,2.44,455.50975357707
0,1,0,0,"TRUE","saffron cod","confirm_gradient",1.14760756453336e-10,3.186,473.725403377625
1,1,0,0,"TRUE","saffron cod","confirm_gradient",4.08419754526629e-09,2.249,448.465722406225
0,0,1,0,"TRUE","saffron cod",NA,NA,NA,NA
1,0,1,0,"TRUE","saffron cod","confirm_gradient",1.10647491169402e-09,0.252,460.179284851707
0,1,1,0,"TRUE","saffron cod","confirm_gradient",1.34559030584569e-11,1.982,465.116706829387
1,1,1,0,"TRUE","saffron cod",NA,NA,NA,NA
0,0,0,1,"TRUE","saffron cod","confirm_gradient",1.55627952747039e-08,2.88,480.092729665717
1,0,0,1,"TRUE","saffron cod","confirm_gradient",7.41474348586735e-09,1.576,453.936089766918
0,1,0,1,"TRUE","saffron cod","confirm_gradient",7.04261648998283e-11,3.186,475.725403377664
1,1,0,1,"TRUE","saffron cod","confirm_gradient",1.47243497394811e-08,2.249,450.46572227973
0,0,1,1,"TRUE","saffron cod","confirm_gradient",1.78268688699745e-09,1.064,471.234731048967
1,0,1,1,"TRUE","saffron cod",NA,NA,NA,NA
0,1,1,1,"TRUE","saffron cod","confirm_gradient",1.45034428911117e-09,1.982,467.1167068323
1,1,1,1,"TRUE","saffron cod","confirm_gradient",5.35670399703925e-09,2.249,452.465722395962
0,0,0,0,"FALSE","saffron cod","confirm_gradient",1.06287174465793e-10,3.451,483.843488576126
1,0,0,0,"FALSE","saffron cod","confirm_gradient",5.69200526712166e-08,2.44,455.509753746885
0,1,0,0,"FALSE","saffron cod","confirm_gradient",1.03740374957084e-07,3.186,473.725403545723
1,1,0,0,"FALSE","saffron cod","confirm_gradient",1.30691298727559e-07,2.249,448.46572239595
0,0,1,0,"FALSE","saffron cod",NA,NA,NA,NA
1,0,1,0,"FALSE","saffron cod","confirm_gradient",3.75755604409278e-09,0.252,460.179284856065
0,1,1,0,"FALSE","saffron cod","confirm_gradient",3.25500160158754e-09,1.982,465.116706829465
1,1,1,0,"FALSE","saffron cod","confirm_gradient",2.14677164933619e-11,2.249,450.465722395945
0,0,0,1,"FALSE","saffron cod","confirm_gradient",7.86207565717234e-09,2.88,480.09272965103
1,0,0,1,"FALSE","saffron cod","confirm_gradient",6.25198384174297e-08,1.576,453.936089914103
0,1,0,1,"FALSE","saffron cod","confirm_gradient",8.09279343538805e-09,3.186,475.725403377699
1,1,0,1,"FALSE","saffron cod","confirm_gradient",2.83218185015421e-09,2.249,450.465722395985
0,0,1,1,"FALSE","saffron cod",NA,NA,NA,NA
1,0,1,1,"FALSE","saffron cod",NA,NA,NA,NA
0,1,1,1,"FALSE","saffron cod","confirm_gradient",9.28571353142615e-09,1.982,467.116706831329
1,1,1,1,"FALSE","saffron cod","confirm_gradient",6.70552934727876e-09,2.249,452.4657223996
0,0,0,0,"TRUE","walleye pollock","confirm_gradient",3.90071732397022e-11,3.832,300.601564240391
1,0,0,0,"TRUE","walleye pollock","confirm_gradient",1.14738098978682,2.851,299.511938821536
0,1,0,0,"TRUE","walleye pollock","confirm_gradient",1.71641958979230e-09,3.746,304.083131342596
1,1,0,0,"TRUE","walleye pollock",NA,NA,NA,NA
0,0,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
1,0,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
0,1,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
1,1,1,0,"TRUE","walleye pollock",NA,NA,NA,NA
0,0,0,1,"TRUE","walleye pollock",NA,NA,NA,NA
1,0,0,1,"TRUE","walleye pollock",NA,NA,NA,NA
0,1,0,1,"TRUE","walleye pollock","confirm_gradient",4.86535811639044e-12,3.704,305.349945896676
1,1,0,1,"TRUE","walleye pollock","confirm_gradient",0.497557519990607,2.676,303.493072158445
0,0,1,1,"TRUE","walleye pollock","confirm_gradient",0.505454522557557,1.968,301.491692010467
1,0,1,1,"TRUE","walleye pollock","confirm_gradient",1.08154910966557,2.338,303.269228449656
0,1,1,1,"TRUE","walleye pollock","confirm_gradient",0.507014705741312,1.968,303.491749599937
1,1,1,1,"TRUE","walleye pollock","confirm_gradient",1.08666814236176,2.022,305.236509711094
0,0,0,0,"FALSE","walleye pollock","confirm_gradient",3.90071732397022e-11,3.832,300.601564240391
1,0,0,0,"FALSE","walleye pollock","confirm_gradient",1.14756397211133,2.851,299.511948641224
0,1,0,0,"FALSE","walleye pollock","confirm_gradient",2.05599426372771e-12,3.746,304.083131430406
1,1,0,0,"FALSE","walleye pollock","confirm_gradient",2.16790840016533e-09,3.746,308.083131430294
0,0,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
1,0,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
0,1,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
1,1,1,0,"FALSE","walleye pollock",NA,NA,NA,NA
0,0,0,1,"FALSE","walleye pollock","confirm_gradient",9.22706355765968e-12,3.704,303.34994589667
1,0,0,1,"FALSE","walleye pollock",NA,NA,NA,NA
0,1,0,1,"FALSE","walleye pollock","confirm_gradient",5.5592310693394e-12,3.704,305.349945896682
1,1,0,1,"FALSE","walleye pollock","confirm_gradient",0.497580957702564,2.676,303.493072426044
0,0,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
1,0,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
0,1,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
1,1,1,1,"FALSE","walleye pollock",NA,NA,NA,NA
0,0,0,0,"TRUE","Bering flounder","confirm_gradient",4.23519141413044e-12,2.855,1054.30671625905
1,0,0,0,"TRUE","Bering flounder","confirm_gradient",3.02899039184013e-10,2.117,1032.488808499
0,1,0,0,"TRUE","Bering flounder","confirm_gradient",2.70080624531488e-11,2.516,1028.0039696058
1,1,0,0,"TRUE","Bering flounder","confirm_gradient",2.99567259887112e-10,2.12,1021.04173916396
0,0,1,0,"TRUE","Bering flounder","confirm_gradient",1.08774200757722e-09,2.547,1054.76629056306
1,0,1,0,"TRUE","Bering flounder","confirm_gradient",4.54652537840161e-10,2.117,1034.48880849924
0,1,1,0,"TRUE","Bering flounder","confirm_gradient",6.84419521057578e-09,2.4,1031.05400087995
1,1,1,0,"TRUE","Bering flounder","confirm_gradient",5.52671064468768e-09,2.12,1023.0417391642
0,0,0,1,"TRUE","Bering flounder","confirm_gradient",1.55077000130177e-08,2.495,1040.57770390887
1,0,0,1,"TRUE","Bering flounder","confirm_gradient",5.35060884487848e-12,1.853,1029.77317035965
0,1,0,1,"TRUE","Bering flounder","confirm_gradient",3.60549368139118e-11,2.502,1029.95500680674
1,1,0,1,"TRUE","Bering flounder","confirm_gradient",5.86559599224934e-08,2.09,1023.00118264359
0,0,1,1,"TRUE","Bering flounder","confirm_gradient",1.92547389143982e-09,2.331,1042.78794240115
1,0,1,1,"TRUE","Bering flounder",NA,NA,NA,NA
0,1,1,1,"TRUE","Bering flounder","confirm_gradient",3.68249875037918e-12,2.381,1032.97338366443
1,1,1,1,"TRUE","Bering flounder","confirm_gradient",1.82282522409594e-11,2.09,1025.00118264205
0,0,0,0,"FALSE","Bering flounder","confirm_gradient",4.23519141413044e-12,2.855,1054.30671625905
1,0,0,0,"FALSE","Bering flounder","confirm_gradient",1.29901067680294e-09,2.117,1032.48880849902
0,1,0,0,"FALSE","Bering flounder","confirm_gradient",9.54052126189708e-09,2.516,1028.00396953129
1,1,0,0,"FALSE","Bering flounder","confirm_gradient",1.85968429544658e-09,2.12,1021.04173916423
0,0,1,0,"FALSE","Bering flounder","confirm_gradient",1.06735739691111e-07,2.547,1054.76629060049
1,0,1,0,"FALSE","Bering flounder","confirm_gradient",6.98757105510595e-08,2.117,1034.48880862478
0,1,1,0,"FALSE","Bering flounder","confirm_gradient",3.09596792646971e-12,2.4,1031.05400087989
1,1,1,0,"FALSE","Bering flounder","confirm_gradient",4.00846689174728e-10,2.12,1023.0417391639
0,0,0,1,"FALSE","Bering flounder",NA,NA,NA,NA
1,0,0,1,"FALSE","Bering flounder","confirm_gradient",4.96152985363096e-09,1.853,1029.7731703706
0,1,0,1,"FALSE","Bering flounder","confirm_gradient",1.1394894161576e-07,2.502,1029.95500700633
1,1,0,1,"FALSE","Bering flounder",NA,NA,NA,NA
0,0,1,1,"FALSE","Bering flounder","confirm_gradient",4.21691383249696e-06,2.495,1044.57770390975
1,0,1,1,"FALSE","Bering flounder",NA,NA,NA,NA
0,1,1,1,"FALSE","Bering flounder","confirm_gradient",2.94164692604681e-12,2.381,1032.97338366451
1,1,1,1,"FALSE","Bering flounder","confirm_gradient",4.1552872254158e-12,2.09,1025.00118264217
0,0,0,0,"TRUE","yellowfin sole","confirm_gradient",1.82756210132166e-10,3.909,307.796893316512
1,0,0,0,"TRUE","yellowfin sole","confirm_gradient",1.19150542765567e-08,1.953,278.158199794417
0,1,0,0,"TRUE","yellowfin sole","confirm_gradient",8.55201291727337e-08,3.637,303.029105147629
1,1,0,0,"TRUE","yellowfin sole","confirm_gradient",5.9744085973177e-09,1.953,282.158199745234
0,0,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
1,0,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
0,1,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
1,1,1,0,"TRUE","yellowfin sole",NA,NA,NA,NA
0,0,0,1,"TRUE","yellowfin sole","confirm_gradient",6.16206735415403e-07,3.498,303.002734737934
1,0,0,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,1,0,1,"TRUE","yellowfin sole","confirm_gradient",1.16540332939508e-10,3.694,303.563961662865
1,1,0,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,0,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
1,0,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,1,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
1,1,1,1,"TRUE","yellowfin sole",NA,NA,NA,NA
0,0,0,0,"FALSE","yellowfin sole","confirm_gradient",1.82756210132166e-10,3.909,307.796893316512
1,0,0,0,"FALSE","yellowfin sole","confirm_gradient",6.72970568160736e-11,1.953,278.15819974477
0,1,0,0,"FALSE","yellowfin sole","confirm_gradient",2.50796705625334e-09,3.637,303.02910502361
1,1,0,0,"FALSE","yellowfin sole",NA,NA,NA,NA
0,0,1,0,"FALSE","yellowfin sole",NA,NA,NA,NA
1,0,1,0,"FALSE","yellowfin sole",NA,NA,NA,NA
0,1,1,0,"FALSE","yellowfin sole","confirm_gradient",1.94865226177399e-08,2.044,298.225011730963
1,1,1,0,"FALSE","yellowfin sole",NA,NA,NA,NA
0,0,0,1,"FALSE","yellowfin sole",NA,NA,NA,NA
1,0,0,1,"FALSE","yellowfin sole","confirm_gradient",1.37969909701496e-05,1.433,282.177149869496
0,1,0,1,"FALSE","yellowfin sole","confirm_gradient",1.38689060236175e-11,3.637,305.029105023195
1,1,0,1,"FALSE","yellowfin sole","confirm_gradient",1.94883032236248e-05,1.433,284.17715270311
0,0,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
1,0,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
0,1,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
1,1,1,1,"FALSE","yellowfin sole",NA,NA,NA,NA
0,0,0,0,"TRUE","snow crab","confirm_gradient",1.74059967190351e-10,2.911,2146.46068025376
1,0,0,0,"TRUE","snow crab","confirm_gradient",1.57661572686152e-08,2.475,2125.30930569765
0,1,0,0,"TRUE","snow crab","confirm_gradient",1.88094608777334e-08,2.367,2108.10901471058
1,1,0,0,"TRUE","snow crab","confirm_gradient",2.6633407035348e-08,2.322,2110.53481641539
0,0,1,0,"TRUE","snow crab","confirm_gradient",1.63427353871981e-08,2.3,2120.36845456656
1,0,1,0,"TRUE","snow crab","confirm_gradient",6.32300278802234e-09,2.247,2114.71209612988
0,1,1,0,"TRUE","snow crab","confirm_gradient",3.35458600897454e-08,2.147,2103.89759564915
1,1,1,0,"TRUE","snow crab","confirm_gradient",1.16908864811194e-08,2.146,2105.80469721535
0,0,0,1,"TRUE","snow crab","confirm_gradient",4.78577000251335e-09,2.22,2107.01975161627
1,0,0,1,"TRUE","snow crab","confirm_gradient",8.70478973347133e-08,2.151,2108.0158359412
0,1,0,1,"TRUE","snow crab","confirm_gradient",6.13871559806967e-07,2.162,2100.98844957799
1,1,0,1,"TRUE","snow crab","confirm_gradient",8.39772695826468e-12,2.107,2103.49625151078
0,0,1,1,"TRUE","snow crab","confirm_gradient",1.63982605272395e-10,2.149,2108.46746373972
1,0,1,1,"TRUE","snow crab","confirm_gradient",6.78833966816228e-09,2.14,2109.34623720844
0,1,1,1,"TRUE","snow crab","confirm_gradient",1.23421273201529e-11,2.084,2102.52651064974
1,1,1,1,"TRUE","snow crab","confirm_gradient",8.37015345922509e-09,2.08,2104.41241468135
0,0,0,0,"FALSE","snow crab","confirm_gradient",1.74059967190351e-10,2.911,2146.46068025376
1,0,0,0,"FALSE","snow crab","confirm_gradient",3.16842441172582e-09,2.475,2125.30930569765
0,1,0,0,"FALSE","snow crab","confirm_gradient",4.31005653389605e-09,2.367,2108.10901458476
1,1,0,0,"FALSE","snow crab","confirm_gradient",9.5368699604137e-09,2.322,2110.53481640836
0,0,1,0,"FALSE","snow crab","confirm_gradient",1.33437200178221e-08,2.3,2120.36845453009
1,0,1,0,"FALSE","snow crab","confirm_gradient",1.11974360894607e-08,2.247,2114.71209612917
0,1,1,0,"FALSE","snow crab","confirm_gradient",2.00776293368676e-08,2.147,2103.89759564213
1,1,1,0,"FALSE","snow crab","confirm_gradient",6.91493551308042e-09,2.146,2105.80469731028
0,0,0,1,"FALSE","snow crab","confirm_gradient",6.34383656716864e-09,2.22,2107.01975160945
1,0,0,1,"FALSE","snow crab","confirm_gradient",3.19232542622672e-08,2.151,2108.01583586754
0,1,0,1,"FALSE","snow crab","confirm_gradient",2.440605229026e-08,2.162,2100.98844960669
1,1,0,1,"FALSE","snow crab","confirm_gradient",1.01825214926521e-11,2.107,2103.49625151077
0,0,1,1,"FALSE","snow crab","confirm_gradient",3.99995370159445e-09,2.149,2108.46746374333
1,0,1,1,"FALSE","snow crab","confirm_gradient",8.59428972432852e-08,2.14,2109.34623744186
0,1,1,1,"FALSE","snow crab","confirm_gradient",8.28260660057367e-09,2.084,2102.52651064966
1,1,1,1,"FALSE","snow crab","confirm_gradient",1.08943964960417e-11,2.08,2104.41241467377
