"Year","Unit","Estimate","SD_log","SD_mt"
"1990"," [kg]",57430990.1581141,0.366271365957615,21035327.2135109
"1991"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1992"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1993"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1994"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1995"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1996"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1997"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1998"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"1999"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2000"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2001"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2002"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2003"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2004"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2005"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2006"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2007"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2008"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2009"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2010"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2011"," [kg]",209363.464264834,0.917352260946067,192060.047302847
"2012"," [kg]",55342715.5469637,0.30244049086846,16737878.0560172
