"","year","gear","lon","lat","bot_depth","bot_temp","common_name","catch_kg","area_swept_km2"
"1",2012,"otter",-157.172125,71.99015,84,-1.6,"snow crab",70.5552809061202,1
"2",2012,"otter",-157.39841,71.5207,88,-1.7,"snow crab",1.1125945705385,1
"3",2012,"otter",-157.57224,71.104165,32,7.6,"snow crab",0,1
"4",2012,"otter",-158.45405,72.48095,57,-1.6,"snow crab",25.4357317407586,1
"5",2012,"otter",-158.824175,72.01154,50,-1.7,"snow crab",8.24893266859008,1
"6",2012,"otter",-159.038755,71.5014,50,-1.7,"snow crab",32.7564894932015,1
"7",2012,"otter",-160.223535,72.483765,44,-1.4,"snow crab",0,1
"8",2012,"otter",-160.48704,72.000835,35,-1.7,"snow crab",52.6892196022732,1
"9",2012,"otter",-160.584125,71.50682,44,-1.7,"snow crab",8.71053415844188,1
"10",1990,"otter",-160.882665,70.937085,53,-0.6,"snow crab",2.2407611693326,1
"11",2012,"otter",-160.890035,70.99316,42,1.7,"snow crab",0,1
"12",1990,"otter",-160.937415,70.953585,49,-0.6,"snow crab",2.21114758559692,1
"13",2012,"otter",-160.94149,70.49944,18,9.2,"snow crab",0,1
"14",1990,"otter",-161.37075,70.54417,27,3.9,"snow crab",19.3036492413382,1
"15",1990,"otter",-161.45758,70.53025,27,3.9,"snow crab",13.6752295236616,1
"16",1990,"otter",-161.529085,70.67783,40,2.2,"snow crab",7.9162372481367,1
"17",1990,"otter",-161.68925,70.711085,40,2.2,"snow crab",3.38385899260527,1
"18",1990,"otter",-161.92058,71.149915,48,-1,"snow crab",2.77859501160472,1
"19",2012,"otter",-161.94597,72.501055,40,-1.2,"snow crab",19.5977778133025,1
"20",1990,"otter",-161.95,71.164585,46,-1,"snow crab",2.0969867912876,1
"21",2012,"otter",-162.114355,71.50535,42,-1.7,"snow crab",3.96220166696249,1
"22",2012,"otter",-162.20983,66.49546,11,-0.4,"snow crab",0,1
"23",2012,"otter",-162.250515,72.03006,25,-1.6,"snow crab",2.13459524279361,1
"24",2012,"otter",-162.315885,70.996735,42,2.2,"snow crab",0,1
"25",2012,"otter",-162.5106,70.511175,32,7.2,"snow crab",108.358574497723,1
"26",1990,"otter",-162.705085,70.375,31,3.4,"snow crab",15.9440270860884,1
"27",1990,"otter",-163.209165,71.069085,44,0.2,"snow crab",27.3454643664967,1
"28",1990,"otter",-163.245085,69.9655,20,5.7,"snow crab",1.04817408075133,1
"29",1990,"otter",-163.289085,70.561165,38,2.6,"snow crab",248.082054703135,1
"30",1990,"otter",-163.30875,69.99267,22,5.7,"snow crab",1.04927145585249,1
"31",2012,"otter",-163.325535,66.989205,11,10.7,"snow crab",0,1
"32",1990,"otter",-163.371,71.10242,44,0.2,"snow crab",18.240965280653,1
"33",2012,"otter",-163.391675,66.48609,11,10.6,"snow crab",0.617804031016851,1
"34",1990,"otter",-163.39875,70.5475,40,2.6,"snow crab",144.385910345632,1
"35",1990,"otter",-163.49917,69.99417,24,5.8,"snow crab",3.39223178920273,1
"36",2012,"otter",-163.513125,72.50503,45,-1.3,"snow crab",28.3783398067419,1
"37",1990,"otter",-163.623165,69.969665,26,5.8,"snow crab",3.22586766352303,1
"38",2012,"otter",-163.63601,72.00346,36,-1.2,"snow crab",24.0197872169725,1
"39",2012,"otter",-163.822885,71.4941,42,-1.1,"snow crab",1.41697095209548,1
"40",2012,"otter",-163.8753,71.004415,40,-1.2,"snow crab",4.39054477667997,1
"41",2012,"otter",-164.00179,70.49935,40,6.2,"snow crab",87.5753106532306,1
"42",1990,"otter",-164.06183,70.799085,48,-1,"snow crab",55.4683598487551,1
"43",2012,"otter",-164.131025,69.9959,28,7,"snow crab",166.869791621648,1
"44",2012,"otter",-164.18025,73.045815,82,-1.7,"snow crab",6.28344239007364,1
"45",2012,"otter",-164.21496,69.50244,20,7,"snow crab",0,1
"46",1990,"otter",-164.218915,70.80067,46,-1,"snow crab",240.347168131746,1
"47",2012,"otter",-164.32649,69.01333,9,9.3,"snow crab",0,1
"48",2012,"otter",-164.581375,67.506065,27,9.8,"snow crab",0,1
"49",1990,"otter",-164.63817,69.618085,27,7.1,"snow crab",72.0347394540943,1
"50",2012,"otter",-164.68276,66.99205,24,8.4,"snow crab",36.9242589893402,1
"51",1990,"otter",-164.70592,69.641915,29,7.1,"snow crab",106.715141146279,1
"52",1990,"otter",-164.79542,70.451415,44,4.3,"snow crab",40.7222245918237,1
"53",1990,"otter",-164.86158,70.0535,38,6.3,"snow crab",539.373984767871,1
"54",1990,"otter",-164.86175,71.54967,42,0.5,"snow crab",85.6805705197271,1
"55",1990,"otter",-164.8705,69.12225,22,10.7,"snow crab",5.62205430359589,1
"56",1990,"otter",-164.924915,70.096415,40,6.3,"snow crab",618.523412584078,1
"57",1990,"otter",-164.97275,69.1445,24,10.7,"snow crab",3.40954673084637,1
"58",2012,"otter",-165.182215,72.487305,48,-0.8,"snow crab",1.4150849690491,1
"59",2012,"otter",-165.28169,72.013075,40,-0.9,"snow crab",11.5194919166363,1
"60",1990,"otter",-165.33008,71.991165,42,1.1,"snow crab",12.3448733426872,1
"61",2012,"otter",-165.36145,71.50071,40,-0.6,"snow crab",7.16731703432349,1
"62",2012,"otter",-165.430425,70.99711,38,0.5,"snow crab",10.9001474846247,1
"63",2012,"otter",-165.49594,70.5103,40,2.2,"snow crab",42.7065852872117,1
"64",2012,"otter",-165.571,69.99905,38,5.4,"snow crab",377.977976726351,1
"65",2012,"otter",-165.66005,69.008745,18,9.1,"snow crab",29.6406928224537,1
"66",2012,"otter",-165.70994,69.502415,32,7.9,"snow crab",327.553196513753,1
"67",1990,"otter",-165.767,70.752585,42,4.4,"snow crab",888.700220596772,1
"68",2012,"otter",-165.83945,73.001185,57,-1.4,"snow crab",103.958617014255,1
"69",2012,"otter",-165.859915,68.00221,26,9.9,"snow crab",2.50731856949474,1
"70",2012,"otter",-165.889785,67.50369,37,5,"snow crab",341.463816442232,1
"71",2012,"otter",-165.90435,66.99561,21,8.2,"snow crab",42.5807617667646,1
"72",1990,"otter",-165.9085,70.738335,42,4.4,"snow crab",736.489057232938,1
"73",2012,"otter",-166.017925,66.48925,14,9.3,"snow crab",3.1391672612644,1
"74",1990,"otter",-166.0445,70.23667,46,5.7,"snow crab",1745.68812113269,1
"75",1990,"otter",-166.148085,70.232085,46,5.7,"snow crab",541.97160298135,1
"76",1990,"otter",-166.15275,69.7105,42,6.2,"snow crab",238.782327379927,1
"77",1990,"otter",-166.294085,69.71425,42,6.2,"snow crab",419.722047629024,1
"78",1990,"otter",-166.42708,68.87917,35,10.7,"snow crab",4.39621294186798,1
"79",1990,"otter",-166.506,68.87075,37,10.7,"snow crab",347.130173815181,1
"80",1990,"otter",-166.510835,69.43433,38,7,"snow crab",756.865042058996,1
"81",1990,"otter",-166.5465,69.460665,40,7,"snow crab",940.717312108973,1
"82",1990,"otter",-166.81933,68.397585,18,12.6,"snow crab",21.1936812342492,1
"83",2012,"otter",-166.82659,72.515245,48,-0.8,"snow crab",3.74654981904724,1
"84",1990,"otter",-166.833915,72.066415,46,0.6,"snow crab",195.467422096317,1
"85",2012,"otter",-166.916285,72.00928,45,-0.8,"snow crab",4.37362658312666,1
"86",1990,"otter",-166.92733,68.392915,20,12.6,"snow crab",0,1
"87",2012,"otter",-166.954675,71.5007,43,0.3,"snow crab",10.1187992709546,1
"88",2012,"otter",-166.98244,70.50945,47,0.3,"snow crab",213.843917827601,1
"89",2012,"otter",-166.98318,71.0104,43,1.5,"snow crab",30.3279777500452,1
"90",2012,"otter",-167.01461,70.01889,45,2,"snow crab",2107.43230380114,1
"91",2012,"otter",-167.044575,68.98822,44,4.9,"snow crab",410.377627560028,1
"92",2012,"otter",-167.131935,69.50156,44,5.7,"snow crab",6111.89128908347,1
"93",2012,"otter",-167.14776,68.522955,34,9.6,"snow crab",11.8876639437917,1
"94",2012,"otter",-167.18204,67.51167,43,1.7,"snow crab",81.7795302114292,1
"95",2012,"otter",-167.197785,68.004405,54,2,"snow crab",1026.44198121585,1
"96",2012,"otter",-167.22429,66.98433,36,2,"snow crab",358.036187528168,1
"97",2012,"otter",-167.24625,66.48863,26,8.4,"snow crab",420.424004597783,1
"98",1990,"otter",-167.273915,68.476585,46,7.1,"snow crab",48.9203651717105,1
"99",2012,"otter",-167.2772,66.00125,12,9.9,"snow crab",22.9869855106344,1
"100",1990,"otter",-167.288665,69.640835,46,5.7,"snow crab",1016.39296761248,1
"101",1990,"otter",-167.360335,68.867585,46,4.8,"snow crab",3972.20862846104,1
"102",1990,"otter",-167.479335,68.878415,46,4.8,"snow crab",3039.87792177737,1
"103",1990,"otter",-167.48242,70.48883,49,2.3,"snow crab",19.1932259202634,1
"104",1990,"otter",-167.60317,70.53075,49,2.3,"snow crab",79.8310311488098,1
"105",1990,"otter",-167.632915,69.101415,48,2.7,"snow crab",1777.77834889925,1
"106",1990,"otter",-167.64517,69.6475,46,5.7,"snow crab",2105.13656055277,1
"107",1990,"otter",-167.6735,71.54125,49,1.1,"snow crab",268.406182482965,1
"108",1990,"otter",-167.70975,69.12983,48,2.7,"snow crab",2600.82055928918,1
"109",1990,"otter",-167.764585,71.572835,48,1.1,"snow crab",592.021361390085,1
"110",1990,"otter",-167.85275,68.86275,49,2.3,"snow crab",1351.94920853802,1
"111",1990,"otter",-167.97008,68.84658,49,2.3,"snow crab",720.070444370031,1
"112",2012,"otter",-168.43919,72.501905,51,-1.1,"snow crab",30.5275108736624,1
"113",1990,"otter",-168.4685,69.18008,49,3.1,"snow crab",1480.48556974102,1
"114",2012,"otter",-168.48389,70.001925,40,0.7,"snow crab",39.0125183119261,1
"115",2012,"otter",-168.48623,67.508565,45,1.3,"snow crab",485.500133304249,1
"116",2012,"otter",-168.487335,68.499175,48,2.3,"snow crab",360.403590237594,1
"117",2012,"otter",-168.487385,68.988025,48,2.1,"snow crab",1903.06081834103,1
"118",2012,"otter",-168.488975,66.993275,34,2.4,"snow crab",375.374708819413,1
"119",2012,"otter",-168.490415,66.02286,50,1.6,"snow crab",1174.45010987135,1
"120",2012,"otter",-168.49731,66.50526,49,1.3,"snow crab",4407.27590663334,1
"121",2012,"otter",-168.503465,70.49704,36,0.1,"snow crab",12.9079627897298,1
"122",2012,"otter",-168.50725,68.00158,56,1.5,"snow crab",119.564898885247,1
"123",2012,"otter",-168.51725,72.00405,48,-0.5,"snow crab",1.16794361835607,1
"124",2012,"otter",-168.519435,71.508235,45,-0.3,"snow crab",15.6435865549344,1
"125",2012,"otter",-168.519485,71.002435,44,0,"snow crab",1.03255370094419,1
"126",2012,"otter",-168.57585,69.50139,48,3.8,"snow crab",3898.72491140322,1
"127",1990,"otter",-168.6465,68.78667,51,2.5,"snow crab",847.673267326733,1
"128",1990,"otter",-168.736,68.55542,55,2.1,"snow crab",2084.38115437055,1
"129",1990,"otter",-168.74267,68.77142,53,2.5,"snow crab",1292.12200617376,1
"130",1990,"otter",-168.789835,71.890085,49,-1.2,"snow crab",3524.0340057439,1
"131",1990,"otter",-168.806585,68.65225,53,2.1,"snow crab",2036.33869559795,1
"132",1990,"otter",-168.820585,71.93308,51,-1.2,"snow crab",2634.36939558417,1
"133",1990,"otter",-168.83142,68.696415,53,2.1,"snow crab",2433.15047973766,1
"134",1990,"otter",-168.83658,69.18492,49,2.2,"snow crab",666.520936558826,1
