"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2012,1,1,3293.78257060143,0.917360650662065,3021.58652210631
2013,1,1,6984.25964590409,1.67159170036056,11674.8304572565
2014,1,1,6984.25964590409,1.67159170036056,11674.8304572565
2015,1,1,6984.25964590409,1.67159170036056,11674.8304572565
2016,1,1,6984.25964590409,1.67159170036056,11674.8304572565
2017,1,1,7712.55938639512,1.08694133036923,8383.09956000002
2018,1,1,6984.25964590409,1.67159170036056,11674.8304572565
2019,1,1,5013.28654409093,0.984510806511959,4935.63477879852
