"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,3568.88944478776,0.441404073372216,1575.32233834443
1991,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1992,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1993,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1994,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1995,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1996,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1997,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1998,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
1999,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2000,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2001,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2002,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2003,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2004,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2005,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2006,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2007,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2008,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2009,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2010,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2011,1,1,8.20119612715745e-07,0.61063316424134,5.00792234168998e-07
2012,1,1,1447.52863169596,0.2242659076656,324.631322459238
