"haul_id","lat","lon","bot_temp","bot_salt","bot_depth","gear","year","common_name","cpue_kg_km2"
"2007a-Norcross-C16-BT9",70.0151,-167.9907,2.92,32.49,44.9,"beam",2007,"Arctic cod",7.2139298
"2007a-Norcross-C17-BT10",70.1928,-166.2292,4.01,32.06,42.6,"beam",2007,"Arctic cod",17.295597
"2007a-Norcross-C19-BT11",70.0194,-163.7141,1.66,31.9,25.6,"beam",2007,"Arctic cod",96.9837748
"2007a-Norcross-C23-BT13",70.6807,-167.3083,0.4,32.49,51.1,"beam",2007,"Arctic cod",40.2325513
"2007a-Norcross-C24-BT14",71.0787,-167.0801,2.25,32.21,43.4,"beam",2007,"Arctic cod",64.2292625
"2007b-Norcross-11-BT10",69.5143,-164.6308,8.26,31.77,29.7,"beam",2007,"Arctic cod",28.277634
"2007b-Norcross-12-BT11",69.5108,-165.3997,7.14,31.87,35.3,"beam",2007,"Arctic cod",630.738528
"2007b-Norcross-13-BT12",69.4935,-166.0077,6.82,32,39.6,"beam",2007,"Arctic cod",90.395472
"2007b-Norcross-15-BT14",69.5039,-168.025,3.39,32.52,51.2,"beam",2007,"Arctic cod",102.8369
"2007b-Norcross-16-BT16",69.2233,-166.9999,6.94,32.12,44.3,"beam",2007,"Arctic cod",143.607666
"2007b-Norcross-17-BT17",69.0039,-167.0296,4.32,32.36,48.8,"beam",2007,"Arctic cod",16.7364
"2007b-Norcross-1-BT1",65.6465,-168.4124,3.28,32.31,53,"beam",2007,"Arctic cod",61.111116
"2007b-Norcross-20-BT18",68.5102,-167.9766,3.14,32.55,54.6,"beam",2007,"Arctic cod",2.2222226
"2007b-Norcross-22-BT20",68.0101,-167.9942,3.69,32.86,56.3,"beam",2007,"Arctic cod",170.426088
"2007b-Norcross-26-BT21",67.4969,-167.0078,3.25,32.67,48.2,"beam",2007,"Arctic cod",21.164016
"2007b-Norcross-27-BT22",67.4931,-166.5138,3.48,32.3,46.9,"beam",2007,"Arctic cod",0
"2007b-Norcross-28-BT23",67.4945,-165.9988,4.97,32.15,42.6,"beam",2007,"Arctic cod",0
"2007b-Norcross-2-BT2",69.9988,-168.405,-0.51,32.77,45,"beam",2007,"Arctic cod",6.479481
"2007b-Norcross-31-BT24",67.065,-166.0862,7.81,32.1,31.3,"beam",2007,"Arctic cod",0
"2007b-Norcross-32-BT25",67.0035,-164.9598,8.93,31.47,28.3,"beam",2007,"Arctic cod",2.61438
"2007b-Norcross-37-BT29",65.8036,-168.5746,5.57,32.09,56.9,"beam",2007,"Arctic cod",165.781044
"2007b-Norcross-38-BT30",66.008,-168.4831,6.81,32.03,55.2,"beam",2007,"Arctic cod",59.782624
"2007b-Norcross-43-BT33",65.1232,-168.0663,6.31,31.39,50.1,"beam",2007,"Arctic cod",0
"2007b-Norcross-44-BT35",64.8036,-167.4497,10.58,30.56,31.3,"beam",2007,"Arctic cod",0
"2007b-Norcross-45-BT36",64.4993,-166.9908,10.61,30.06,28.7,"beam",2007,"Arctic cod",0
"2007b-Norcross-47-BT37",64.4985,-169.0239,3.81,32.61,43.9,"beam",2007,"Arctic cod",0
"2007b-Norcross-47-BT38",64.4939,-169.0632,3.81,32.61,44.7,"beam",2007,"Arctic cod",17.76199
"2007b-Norcross-48-BT40",64.4759,-169.5029,2.56,32.77,39.8,"beam",2007,"Arctic cod",0
"2007b-Norcross-5-BT3",69.9743,-165.7547,4.5,32.15,43.5,"beam",2007,"Arctic cod",470.329628
"2007b-Norcross-5-BT4",69.9902,-165.7111,4.5,32.15,42.9,"beam",2007,"Arctic cod",103.386798
"2007b-Norcross-6-BT6",70.017,-165.2604,4.01,32.24,41,"beam",2007,"Arctic cod",280.70176
"2007b-Norcross-7-BT9",70.0485,-164.641,5.94,32.1,38.9,"beam",2007,"Arctic cod",131.86812
"2008-Norcross-C12-BT15",68.8587,-167.8383,2.82,32.35,47,"beam",2008,"Arctic cod",0
"2008-Norcross-C14-BT17",68.5104,-168.5749,1.55,32.6,50,"beam",2008,"Arctic cod",83.7479375
"2008-Norcross-C15-BT16",68.8724,-168.687,2.21,32.48,51,"beam",2008,"Arctic cod",0
"2008-Norcross-C17-BT13",70.1797,-166.2836,-0.7,32.16,43,"beam",2008,"Arctic cod",184.45322
"2008-Norcross-C18-BT12",70.099,-164.9918,-0.6,33.13,37,"beam",2008,"Arctic cod",48.997762
"2008-Norcross-C21-BT11",70.498,-164.7489,-1.1,32.83,42,"beam",2008,"Arctic cod",207.0812084
"2008-Norcross-C22-BT10",70.5737,-165.9395,-1.37,32.65,41,"beam",2008,"Arctic cod",254.010715
"2008-Norcross-C2-BT3",66.6783,-168.6645,1.1,32.43,34,"beam",2008,"Arctic cod",9.118542
"2008-Norcross-C31-BT14",69.5014,-167.022,1.49,32.17,44,"beam",2008,"Arctic cod",0
"2008-Norcross-C4-BT20",67.5452,-168.558,2.17,32.69,46,"beam",2008,"Arctic cod",821.428647
"2008-Norcross-C9-BT18",68.1874,-167.1969,2.93,32.28,44,"beam",2008,"Arctic cod",8.230452
"2008-Norcross-E3-BT4",70.0598,-167.1639,-1.08,32.54,44,"beam",2008,"Arctic cod",131.687232
"2008-Norcross-E5-BT5",70.4813,-166.7525,-1.38,32.67,45,"beam",2008,"Arctic cod",47.50594
"2008-Norcross-E8-BT6",71.085,-166.1296,-1.71,32.99,41,"beam",2008,"Arctic cod",470.134808
"2008-Norcross-M0404-BT8",70.6323,-166.744,-1.3,32.67,45,"beam",2008,"Arctic cod",29.49853
"2009a-Norcross-12-BT14",70.6969,-165.427,0.64,32.35,41.2,"beam",2009,"Arctic cod",65.0160650129172
"2009a-Norcross-13-BT17",70.7675,-164.1423,-1.06,32.56,45.7,"beam",2009,"Arctic cod",692.70641440737
"2009a-Norcross-14-BT18",70.6345,-162.2671,0.35,32.13,38.5,"beam",2009,"Arctic cod",38.803546176035
"2009a-Norcross-16-BT22",70.9077,-165.4381,0.67,32.3,39.8,"beam",2009,"Arctic cod",52.4967236380034
"2009a-Norcross-17-BT23",71.078,-166.1697,0.74,32.27,41.3,"beam",2009,"Arctic cod",24.6835085907238
"2009a-Norcross-18-BT24",71.078,-166.1697,0.63,32.28,41.6,"beam",2009,"Arctic cod",0.493670171814477
"2009a-Norcross-1-BT2",69.0339,-166.5836,4.62,31.97,34,"beam",2009,"Arctic cod",0
"2009a-Norcross-20-BT35",71.2153,-168.3138,-0.95,32.18,47.5,"beam",2009,"Arctic cod",0
"2009a-Norcross-21-BT36",71.4856,-167.7829,-1.28,32.67,47,"beam",2009,"Arctic cod",0
"2009a-Norcross-23-BT34",71.3888,-166.2665,0.74,32.27,41.9,"beam",2009,"Arctic cod",15.6332386416082
"2009a-Norcross-24-BT33",71.2652,-165.4737,0.63,32.28,40,"beam",2009,"Arctic cod",13.1624935193335
"2009a-Norcross-26-BT31",71.0717,-162.54,-1.57,32.53,43.7,"beam",2009,"Arctic cod",10.983324765894
"2009a-Norcross-29-BT27",71.3013,-161.6402,-1.68,32.89,47.3,"beam",2009,"Arctic cod",375.762602471009
"2009a-Norcross-2-BT3",69.5001,-167.6784,2.43,31.8,45,"beam",2009,"Arctic cod",50.2224206832687
"2009a-Norcross-30-BT30",71.4535,-162.6062,-1.48,32.59,42.5,"beam",2009,"Arctic cod",20.8634133052996
"2009a-Norcross-32-BT32",71.3381,-164.1325,-1.7,32.87,44.5,"beam",2009,"Arctic cod",104.856745817461
"2009a-Norcross-33-BT41",71.5705,-165.7894,-1.65,32.85,40.5,"beam",2009,"Arctic cod",100.831254080693
"2009a-Norcross-34-BT40",71.6795,-166.4568,-0.49,32.51,43,"beam",2009,"Arctic cod",0
"2009a-Norcross-37-BT39",72.0394,-166.3556,0.24,32.29,44.9,"beam",2009,"Arctic cod",24.1223935408306
"2009a-Norcross-42-BT42",71.7421,-162.112,-1.61,32.84,40.8,"beam",2009,"Arctic cod",66.8811031238372
"2009a-Norcross-43-BT46",72.061,-164.1313,-1.49,32.8,37.5,"beam",2009,"Arctic cod",73.8030957525736
"2009a-Norcross-44-BT45",72.4284,-165.0141,-1.33,32.66,47.6,"beam",2009,"Arctic cod",102.255673069998
"2009a-Norcross-45-BT49",72.283,-163.2934,-1.33,32.66,38,"beam",2009,"Arctic cod",387.746671240276
"2009a-Norcross-47-BT47",71.7281,-160.7308,-1.76,32.63,44.3,"beam",2009,"Arctic cod",13.3372801810994
"2009a-Norcross-4-BT6",70.0185,-163.7591,-0.23,32.3,24.8,"beam",2009,"Arctic cod",3.05799466572507
"2009a-Norcross-6-BT9",70.3429,-165.4583,1.06,32.31,42,"beam",2009,"Arctic cod",0
"2009a-Norcross-7-BT10",70.4706,-166.0894,1.08,32.32,46,"beam",2009,"Arctic cod",64.118496745446
"2009c-Norcross-BF001-BT27",71.1121,-163.7973,1.71,32.28,41.45,"beam",2009,"Arctic cod",97.2161811458786
"2009c-Norcross-BF003-BT17",71.1149,-163.035,-1.4,32.72,42.1,"beam",2009,"Arctic cod",96.7416686345926
"2009c-Norcross-BF005-BT25",71.1009,-162.2588,-1.51,32.8,44.75,"beam",2009,"Arctic cod",126.808853921017
"2009c-Norcross-BF009-BT22",71.233,-162.6393,-1.07,32.59,44.6,"beam",2009,"Arctic cod",16.9721730522737
"2009c-Norcross-BF011-BT28",71.3666,-163.795,-0.35,32.4,42,"beam",2009,"Arctic cod",59.0211760001037
"2009c-Norcross-BF013-BT16",71.3621,-163.0052,-0.8,32.53,43.65,"beam",2009,"Arctic cod",17.1318074068024
"2009c-Norcross-BF015-BT24",71.3496,-162.227,-0.52,32.47,43.1,"beam",2009,"Arctic cod",415.107720241919
"2009c-Norcross-BF017-BT20",71.4902,-163.3751,-0.14,32.41,40.6,"beam",2009,"Arctic cod",373.77467834236
"2009c-Norcross-BF019-BT21",71.4826,-162.5951,-0.49,32.46,41.6,"beam",2009,"Arctic cod",14.0735416753681
"2009c-Norcross-BF021-BT31",71.6175,-163.7604,-0.54,32.43,39.7,"beam",2009,"Arctic cod",97.8231104580602
"2009c-Norcross-BF023-BT18",71.6111,-162.9918,-0.3,32.41,38.95,"beam",2009,"Arctic cod",58.6740259496893
"2009c-Norcross-KF001-BT2",70.6472,-165.992,3.51,31.63,40,"beam",2009,"Arctic cod",63.2947350262623
"2009c-Norcross-KF003-BT8",70.646,-165.2436,2.9,31.87,40.25,"beam",2009,"Arctic cod",20.5362023729093
"2009c-Norcross-KF005-BT9",70.6493,-164.5084,1.7,32.19,44.7,"beam",2009,"Arctic cod",15.7191766795616
"2009c-Norcross-KF007-BT6",70.7737,-165.6138,2.89,31.87,39.1,"beam",2009,"Arctic cod",45.4859926214628
"2009c-Norcross-KF011-BT3",70.8943,-166.0152,2.86,31.83,39.3,"beam",2009,"Arctic cod",50.0658386122719
"2009c-Norcross-KF013-BT7",70.8991,-165.2715,1.15,32.26,40.4,"beam",2009,"Arctic cod",76.0498031888172
"2009c-Norcross-KF015-BT29",70.9012,-164.4954,2.14,32.12,35.95,"beam",2009,"Arctic cod",2.19790377402793
"2009c-Norcross-KF017-BT4",71.0214,-165.6281,0.96,32.29,40.25,"beam",2009,"Arctic cod",150.405113460734
"2009c-Norcross-KF019-BT11",71.0222,-164.8774,-0.38,32.48,37.2,"beam",2009,"Arctic cod",35.5160118810401
"2009c-Norcross-KF021-BT12",71.148,-166.0247,3.43,31.85,41.85,"beam",2009,"Arctic cod",501.631906173625
"2009c-Norcross-KF023-BT13",71.1457,-165.2447,-0.3,32.47,42.4,"beam",2009,"Arctic cod",120.513644996539
"2009c-Norcross-KF025-BT30",71.148,-164.4759,0.36,32.36,41.3,"beam",2009,"Arctic cod",99.3827273679078
"2009e-Norcross-BS22-BT23",65.6782,-168.2928,1.69,32.29,52,"beam",2009,"Arctic cod",0
"2009e-Norcross-BS8-BT22",65.9284,-169.0834,1.7,32.36,51,"beam",2009,"Arctic cod",503.064648
"2009e-Norcross-CEN3-BT2",70.2907,-176.7457,-1.57,33.2,58.3,"beam",2009,"Arctic cod",13.031352
"2009e-Norcross-CL10-BT18",67.4187,-173.6109,3.7,28.67,38,"beam",2009,"Arctic cod",121.8431445
"2009e-Norcross-CL1-BT14",68.9642,-166.8685,3.23,32.03,49,"beam",2009,"Arctic cod",183.9907552
"2009e-Norcross-CL3-BT15",69.0159,-168.9233,2.31,32.19,55.5,"beam",2009,"Arctic cod",236.4573471
"2009e-Norcross-CL6-BT16",68.5119,-171.5583,1.77,32.84,56.5,"beam",2009,"Arctic cod",2452.0764464
"2009e-Norcross-CL8-BT17",67.8775,-172.5921,-0.09,33,50,"beam",2009,"Arctic cod",85.361346
"2009e-Norcross-CS12-BT20",67.8867,-168.3603,1.91,32.79,59,"beam",2009,"Arctic cod",16018.54047
"2009e-Norcross-CS17-BT21",68.3106,-167.0485,3.75,31.88,40,"beam",2009,"Arctic cod",0
"2009e-Norcross-CS4-BT19",66.9475,-170.931,3.95,31.37,44.5,"beam",2009,"Arctic cod",141.483272
