SiteCode,VariableCode,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,Qualifier,ValueAccuracy
6D,TSS,JT-2014-SM-6D-2m,2.42,nc,2,meter,Offset value represents depth below sea surface.,,0.01
6D,Al-P,JT-2014-SM-6D-2m,4.17,nc,2,meter,Offset value represents depth below sea surface.,,0.03
6D,Ba-P,JT-2014-SM-6D-2m,365,nc,2,meter,Offset value represents depth below sea surface.,,1.5
6D,Cu-P,JT-2014-SM-6D-2m,76.1,nc,2,meter,Offset value represents depth below sea surface.,,0.1
6D,Fe-P,JT-2014-SM-6D-2m,4.34,nc,2,meter,Offset value represents depth below sea surface.,,0.03
6D,Mn-P,JT-2014-SM-6D-2m,1180,nc,2,meter,Offset value represents depth below sea surface.,,5
6D,Si-P,JT-2014-SM-6D-2m,20.8,nc,2,meter,Offset value represents depth below sea surface.,,0.4
6D,POC,JT-2014-SM-6D-2m,6.8,nc,2,meter,Offset value represents depth below sea surface.,,0.1
6D,TSS,JT-2014-SM-6D-10m-#1,1.24,nc,10,meter,Offset value represents depth below sea surface.,,0.01
6D,Al-P,JT-2014-SM-6D-10m-#1,3.50,nc,10,meter,Offset value represents depth below sea surface.,,0.03
6D,Ba-P,JT-2014-SM-6D-10m-#1,327,nc,10,meter,Offset value represents depth below sea surface.,,1.5
6D,Cu-P,JT-2014-SM-6D-10m-#1,60.5,nc,10,meter,Offset value represents depth below sea surface.,,0.1
6D,Fe-P,JT-2014-SM-6D-10m-#1,3.55,nc,10,meter,Offset value represents depth below sea surface.,,0.03
6D,Mn-P,JT-2014-SM-6D-10m-#1,2630,nc,10,meter,Offset value represents depth below sea surface.,,5
6D,Si-P,JT-2014-SM-6D-10m-#1,19.2,nc,10,meter,Offset value represents depth below sea surface.,,0.4
6D,POC,JT-2014-SM-6D-10m-#1,10.6,nc,10,meter,Offset value represents depth below sea surface.,,0.1
6D,TSS,JT-2014-SM-6D-10m-#2,1.22,nc,10,meter,Offset value represents depth below sea surface.,,0.01
6D,Al-P,JT-2014-SM-6D-10m-#2,3.45,nc,10,meter,Offset value represents depth below sea surface.,,0.03
6D,Ba-P,JT-2014-SM-6D-10m-#2,330,nc,10,meter,Offset value represents depth below sea surface.,,1.5
6D,Cu-P,JT-2014-SM-6D-10m-#2,56.8,nc,10,meter,Offset value represents depth below sea surface.,,0.1
6D,Fe-P,JT-2014-SM-6D-10m-#2,3.53,nc,10,meter,Offset value represents depth below sea surface.,,0.03
6D,Mn-P,JT-2014-SM-6D-10m-#2,2660,nc,10,meter,Offset value represents depth below sea surface.,,5
6D,Si-P,JT-2014-SM-6D-10m-#2,19.3,nc,10,meter,Offset value represents depth below sea surface.,,0.4
6D,POC,JT-2014-SM-6D-10m-#2,-9999,nc,10,meter,Offset value represents depth below sea surface.,,0.1
6D,TSS,JT-2014-SM-6D-14m-#1,1.60,nc,14,meter,Offset value represents depth below sea surface.,,0.01
6D,Al-P,JT-2014-SM-6D-14m-#1,4.58,nc,14,meter,Offset value represents depth below sea surface.,,0.03
6D,Ba-P,JT-2014-SM-6D-14m-#1,335,nc,14,meter,Offset value represents depth below sea surface.,,1.5
6D,Cu-P,JT-2014-SM-6D-14m-#1,71.8,nc,14,meter,Offset value represents depth below sea surface.,,0.1
6D,Fe-P,JT-2014-SM-6D-14m-#1,3.90,nc,14,meter,Offset value represents depth below sea surface.,,0.03
6D,Mn-P,JT-2014-SM-6D-14m-#1,1550,nc,14,meter,Offset value represents depth below sea surface.,,5
6D,Si-P,JT-2014-SM-6D-14m-#1,21.5,nc,14,meter,Offset value represents depth below sea surface.,,0.4
6D,POC,JT-2014-SM-6D-14m-#1,9.2,nc,14,meter,Offset value represents depth below sea surface.,,0.1
6D,TSS,JT-2014-SM-6D-14m-#2,-9999,nc,14,meter,Offset value represents depth below sea surface.,,0.01
6D,Al-P,JT-2014-SM-6D-14m-#2,-9999,nc,14,meter,Offset value represents depth below sea surface.,,0.03
6D,Ba-P,JT-2014-SM-6D-14m-#2,-9999,nc,14,meter,Offset value represents depth below sea surface.,,1.5
6D,Cu-P,JT-2014-SM-6D-14m-#2,-9999,nc,14,meter,Offset value represents depth below sea surface.,,0.1
6D,Fe-P,JT-2014-SM-6D-14m-#2,-9999,nc,14,meter,Offset value represents depth below sea surface.,,0.03
6D,Mn-P,JT-2014-SM-6D-14m-#2,-9999,nc,14,meter,Offset value represents depth below sea surface.,,5
6D,Si-P,JT-2014-SM-6D-14m-#2,-9999,nc,14,meter,Offset value represents depth below sea surface.,,0.4
6D,POC,JT-2014-SM-6D-14m-#2,8.9,nc,14,meter,Offset value represents depth below sea surface.,,0.1
7,TSS,JT-2014-SM-7-4m,2.00,nc,4,meter,Offset value represents depth below sea surface.,,0.01
7,Al-P,JT-2014-SM-7-4m,3.69,nc,4,meter,Offset value represents depth below sea surface.,,0.03
7,Ba-P,JT-2014-SM-7-4m,333,nc,4,meter,Offset value represents depth below sea surface.,,1.5
7,Cu-P,JT-2014-SM-7-4m,116,nc,4,meter,Offset value represents depth below sea surface.,,0.1
7,Fe-P,JT-2014-SM-7-4m,4.14,nc,4,meter,Offset value represents depth below sea surface.,,0.03
7,Mn-P,JT-2014-SM-7-4m,1270,nc,4,meter,Offset value represents depth below sea surface.,,5
7,Si-P,JT-2014-SM-7-4m,18.0,nc,4,meter,Offset value represents depth below sea surface.,,0.4
7,POC,JT-2014-SM-7-4m,8.1,nc,4,meter,Offset value represents depth below sea surface.,,0.1
7,TSS,JT-2014-SM-7-7m,1.11,nc,7,meter,Offset value represents depth below sea surface.,,0.01
7,Al-P,JT-2014-SM-7-7m,1.73,nc,7,meter,Offset value represents depth below sea surface.,,0.03
7,Ba-P,JT-2014-SM-7-7m,154,nc,7,meter,Offset value represents depth below sea surface.,,1.5
7,Cu-P,JT-2014-SM-7-7m,38.2,nc,7,meter,Offset value represents depth below sea surface.,,0.1
7,Fe-P,JT-2014-SM-7-7m,1.72,nc,7,meter,Offset value represents depth below sea surface.,,0.03
7,Mn-P,JT-2014-SM-7-7m,1710,nc,7,meter,Offset value represents depth below sea surface.,,5
7,Si-P,JT-2014-SM-7-7m,7.85,nc,7,meter,Offset value represents depth below sea surface.,,0.4
7,POC,JT-2014-SM-7-7m,9.8,nc,7,meter,Offset value represents depth below sea surface.,,0.1
7,TSS,JT-2014-SM-7-20m,1.46,nc,20,meter,Offset value represents depth below sea surface.,,0.01
7,Al-P,JT-2014-SM-7-20m,4.88,nc,20,meter,Offset value represents depth below sea surface.,,0.03
7,Ba-P,JT-2014-SM-7-20m,391,nc,20,meter,Offset value represents depth below sea surface.,,1.5
7,Cu-P,JT-2014-SM-7-20m,53.5,nc,20,meter,Offset value represents depth below sea surface.,,0.1
7,Fe-P,JT-2014-SM-7-20m,4.25,nc,20,meter,Offset value represents depth below sea surface.,,0.03
7,Mn-P,JT-2014-SM-7-20m,1670,nc,20,meter,Offset value represents depth below sea surface.,,5
7,Si-P,JT-2014-SM-7-20m,22.0,nc,20,meter,Offset value represents depth below sea surface.,,0.4
7,POC,JT-2014-SM-7-20m,7.4,nc,20,meter,Offset value represents depth below sea surface.,,0.1
8,TSS,JT-2014-SM-8-6m,1.24,nc,6,meter,Offset value represents depth below sea surface.,,0.01
8,Al-P,JT-2014-SM-8-6m,3.95,nc,6,meter,Offset value represents depth below sea surface.,,0.03
8,Ba-P,JT-2014-SM-8-6m,337,nc,6,meter,Offset value represents depth below sea surface.,,1.5
8,Cu-P,JT-2014-SM-8-6m,71.2,nc,6,meter,Offset value represents depth below sea surface.,,0.1
8,Fe-P,JT-2014-SM-8-6m,3.9,nc,6,meter,Offset value represents depth below sea surface.,,0.03
8,Mn-P,JT-2014-SM-8-6m,2030,nc,6,meter,Offset value represents depth below sea surface.,,5
8,Si-P,JT-2014-SM-8-6m,19.7,nc,6,meter,Offset value represents depth below sea surface.,,0.4
