SiteCode,VariableCode,TSN,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,ValueAccuracy
6D,Ag-T,80831,JT-2014-BIOTA-Amphipods-6D,2.40,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.004
6D,Al-T,80831,JT-2014-BIOTA-Amphipods-6D,245,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,2.3
6D,As-T,80831,JT-2014-BIOTA-Amphipods-6D,11.9,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.012
6D,Ba-T,80831,JT-2014-BIOTA-Amphipods-6D,9.51,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.01
6D,Be-T,80831,JT-2014-BIOTA-Amphipods-6D,0.005,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.001
6D,Cd-T,93294,JT-2014-BIOTA-Amphipods-6D,2.31,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.001
6D,Cr-T,93294,JT-2014-BIOTA-Amphipods-6D,0.40,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.01
6D,Cu-T,93294,JT-2014-BIOTA-Amphipods-6D,89.8,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.7
6D,Fe-T,93294,JT-2014-BIOTA-Amphipods-6D,263,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,2.5
6D,Hg-T,93294,JT-2014-BIOTA-Amphipods-6D,0.151,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.001
6D,Hg-MM,93294,JT-2014-BIOTA-Amphipods-6D,0.084,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.001
6D,Mn-T,93294,JT-2014-BIOTA-Amphipods-6D,16.4,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,1.1
6D,Ni-T,93294,JT-2014-BIOTA-Amphipods-6D,2.20,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.004
6D,Pb-T,93294,JT-2014-BIOTA-Amphipods-6D,0.124,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.001
6D,Sb-T,93294,JT-2014-BIOTA-Amphipods-6D,0.009,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.001
6D,Se-T,93294,JT-2014-BIOTA-Amphipods-6D,2.70,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.03
6D,Sn-T,93294,JT-2014-BIOTA-Amphipods-6D,0.015,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.001
6D,Tl-T,93294,JT-2014-BIOTA-Amphipods-6D,0.006,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.0001
6D,V-T,93294,JT-2014-BIOTA-Amphipods-6D,1.72,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.002
6D,Zn-T,93294,JT-2014-BIOTA-Amphipods-6D,156,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.4
6D,Water-T,93294,JT-2014-BIOTA-Amphipods-6D,73.5,nc,18.9,meters,Offset value represents sediment bottom depth of sampler,0.1
7,Ag-T,93294,JT-2014-BIOTA-Amphipods-7,1.67,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.004
7,Al-T,93294,JT-2014-BIOTA-Amphipods-7,327,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,2.3
7,As-T,93294,JT-2014-BIOTA-Amphipods-7,16.7,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.012
7,Ba-T,93294,JT-2014-BIOTA-Amphipods-7,12.9,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.01
7,Be-T,93294,JT-2014-BIOTA-Amphipods-7,0.006,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.001
7,Cd-T,93294,JT-2014-BIOTA-Amphipods-7,1.76,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.001
7,Cr-T,93294,JT-2014-BIOTA-Amphipods-7,0.46,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.01
7,Cu-T,93294,JT-2014-BIOTA-Amphipods-7,59.8,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.7
7,Fe-T,93294,JT-2014-BIOTA-Amphipods-7,275,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,2.5
7,Hg-T,93294,JT-2014-BIOTA-Amphipods-7,0.080,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.001
7,Hg-MM,93294,JT-2014-BIOTA-Amphipods-7,0.047,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.001
7,Mn-T,93294,JT-2014-BIOTA-Amphipods-7,18.6,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,1.1
7,Ni-T,93294,JT-2014-BIOTA-Amphipods-7,2.82,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.004
7,Pb-T,93294,JT-2014-BIOTA-Amphipods-7,0.143,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.001
7,Sb-T,93294,JT-2014-BIOTA-Amphipods-7,0.002,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.001
7,Se-T,93294,JT-2014-BIOTA-Amphipods-7,2.98,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.03
7,Sn-T,93294,JT-2014-BIOTA-Amphipods-7,0.003,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.001
7,Tl-T,93294,JT-2014-BIOTA-Amphipods-7,0.007,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.0001
7,V-T,93294,JT-2014-BIOTA-Amphipods-7,6.14,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.002
7,Zn-T,93294,JT-2014-BIOTA-Amphipods-7,112,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.4
7,Water-T,93294,JT-2014-BIOTA-Amphipods-7,73.8,nc,24.9,meters,Offset value represents sediment bottom depth of sampler,0.1
8,Ag-T,93294,JT-2014-BIOTA-Amphipods-8,1.30,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.004
8,Al-T,93294,JT-2014-BIOTA-Amphipods-8,206,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,2.3
8,As-T,93294,JT-2014-BIOTA-Amphipods-8,15.2,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.012
8,Ba-T,93294,JT-2014-BIOTA-Amphipods-8,10.9,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.01
8,Be-T,93294,JT-2014-BIOTA-Amphipods-8,0.004,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.001
8,Cd-T,93294,JT-2014-BIOTA-Amphipods-8,3.42,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.001
8,Cr-T,93294,JT-2014-BIOTA-Amphipods-8,1.09,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.01
8,Cu-T,93294,JT-2014-BIOTA-Amphipods-8,48.2,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.7
8,Fe-T,93294,JT-2014-BIOTA-Amphipods-8,219,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,2.5
8,Hg-T,93294,JT-2014-BIOTA-Amphipods-8,0.124,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.001
8,Hg-MM,93294,JT-2014-BIOTA-Amphipods-8,-9999,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.001
8,Mn-T,93294,JT-2014-BIOTA-Amphipods-8,10.9,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,1.1
8,Ni-T,93294,JT-2014-BIOTA-Amphipods-8,2.98,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.004
8,Pb-T,93294,JT-2014-BIOTA-Amphipods-8,0.077,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.001
8,Sb-T,93294,JT-2014-BIOTA-Amphipods-8,0.040,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.001
8,Se-T,93294,JT-2014-BIOTA-Amphipods-8,2.28,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.03
8,Sn-T,93294,JT-2014-BIOTA-Amphipods-8,0.011,nc,17.6,meters,Offset value represents sediment bottom depth of sampler,0.001
