Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E11,,,,,,,,,,,,,,
Date:,5/16/2015,,,,,,,,,,,,,,
Time (ADST):,16:12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.589,1.573,2.611871,-1.8049,33.0716,26.6131,20.1095,11.6645,,,,,,,,
1.625,1.609,2.611895,-1.8059,33.0731,26.6144,16.6974,11.6625,,,,,,,,
1.661,1.644,2.611871,-1.807,33.0741,26.6152,9.7897,11.6591,,,,,,,,
1.696,1.679,2.611829,-1.8083,33.0748,26.6158,4.5787,11.658,,,,,,,,
1.728,1.711,2.611807,-1.8091,33.0755,26.6164,2.3455,11.6562,,,,,,,,
1.76,1.742,2.611787,-1.8098,33.0759,26.6168,1.4815,11.6565,,,,,,,,
1.788,1.77,2.611776,-1.8102,33.0762,26.617,1.1952,11.6533,,,,,,,,
1.817,1.799,2.611776,-1.8103,33.0763,26.617,1.1177,11.6505,,,,,,,,
1.845,1.827,2.611776,-1.8102,33.0763,26.617,1.0362,11.652,,,,,,,,
1.874,1.856,2.611792,-1.8101,33.0763,26.617,1.0237,11.6497,,,,,,,,
1.906,1.887,2.611801,-1.8101,33.0764,26.6171,1.0115,11.6511,,,,,,,,
1.937,1.917,2.611786,-1.8104,33.0765,26.6172,1.0189,11.6535,,,,,,,,
1.966,1.946,2.611748,-1.8108,33.0764,26.6172,1.0139,11.6506,,,,,,,,
1.996,1.976,2.611706,-1.8113,33.0763,26.6171,1.0228,11.6514,,,,,,,,
2.024,2.004,2.611704,-1.8115,33.0765,26.6172,1.0485,11.6497,,,,,,,,
2.053,2.032,2.611741,-1.811,33.0765,26.6172,1.0308,11.6517,,,,,,,,
2.082,2.061,2.611795,-1.8104,33.0766,26.6173,1.0163,11.6479,,,,,,,,
2.113,2.092,2.611834,-1.8099,33.0765,26.6172,1.0092,11.6501,,,,,,,,
2.144,2.122,2.611882,-1.8095,33.0766,26.6173,1.0204,11.6476,,,,,,,,
2.174,2.152,2.611925,-1.809,33.0767,26.6174,1.0032,11.6465,,,,,,,,
2.205,2.183,2.611946,-1.8087,33.0767,26.6172,0.982,11.6479,,,,,,,,
2.236,2.213,2.611955,-1.8085,33.0765,26.6172,0.9816,11.6473,,,,,,,,
2.266,2.242,2.61197,-1.8083,33.0765,26.6172,1.0036,11.643,,,,,,,,
2.297,2.274,2.612003,-1.8079,33.0764,26.6171,1.0014,11.6452,,,,,,,,
2.329,2.305,2.612055,-1.8074,33.0766,26.6172,0.9974,11.6429,,,,,,,,
2.362,2.338,2.612096,-1.8068,33.0765,26.6171,1.0466,11.6424,,,,,,,,
2.399,2.375,2.612111,-1.8066,33.0765,26.6171,1.0764,11.6434,,,,,,,,
2.441,2.415,2.612085,-1.8069,33.0764,26.617,1.0837,11.6476,,,,,,,,
2.485,2.46,2.61209,-1.8071,33.0767,26.6173,1.0426,11.6467,,,,,,,,
2.529,2.503,2.612108,-1.807,33.0768,26.6174,0.9953,11.6429,,,,,,,,
2.577,2.551,2.612103,-1.8069,33.0765,26.6172,0.9666,11.6468,,,,,,,,
2.626,2.599,2.612108,-1.8069,33.0766,26.6172,0.9883,11.6441,,,,,,,,
2.673,2.646,2.612112,-1.8069,33.0766,26.6172,1.0012,11.6424,,,,,,,,
2.723,2.695,2.612114,-1.8069,33.0767,26.6172,0.9693,11.6488,,,,,,,,
2.775,2.747,2.612108,-1.8068,33.0765,26.6171,0.9751,11.6482,,,,,,,,
2.827,2.798,2.612143,-1.8064,33.0765,26.6172,0.9895,11.6455,,,,,,,,
2.876,2.847,2.612211,-1.8058,33.0766,26.6172,1.0177,11.6458,,,,,,,,
2.929,2.898,2.612249,-1.8053,33.0767,26.6172,1.0697,11.6486,,,,,,,,
2.983,2.953,2.61228,-1.8051,33.0769,26.6174,1.0935,11.6509,,,,,,,,
3.039,3.008,2.612308,-1.805,33.077,26.6175,1.0712,11.6506,,,,,,,,
3.095,3.064,2.612311,-1.8053,33.0772,26.6178,1.0535,11.6493,,,,,,,,
3.154,3.122,2.612297,-1.8058,33.0776,26.618,1.0485,11.6516,,,,,,,,
