Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W07,,,,,,,,,,,,,,
Date:,5/19/2015,,,,,,,,,,,,,,
Time (ADST):,16:08,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.593,1.577,1.518131,-0.9772,17.7992,14.2308,4.4023,12.7737,,,,,,,,
1.634,1.617,1.609276,-1.0399,19.0005,15.2015,4.2864,12.6976,,,,,,,,
1.683,1.666,1.646654,-1.0831,19.5078,15.6113,3.7146,12.6786,,,,,,,,
1.738,1.72,1.696838,-1.1307,20.1866,16.1601,2.5735,12.6414,,,,,,,,
1.793,1.776,1.853609,-1.2385,22.3038,17.873,1.7852,12.4969,,,,,,,,
1.845,1.826,2.0759,-1.3983,25.37,20.3568,1.3064,12.2908,,,,,,,,
1.893,1.873,2.343978,-1.5755,29.1446,23.4194,1.0887,12.0284,,,,,,,,
1.938,1.918,2.512799,-1.7065,31.5911,25.4079,1.0502,11.8783,,,,,,,,
1.979,1.959,2.576515,-1.7634,32.5341,26.1753,1.013,11.8211,,,,,,,,
2.021,2,2.599536,-1.7841,32.8768,26.4542,1.0075,11.7882,,,,,,,,
2.064,2.043,2.607918,-1.7918,33.0018,26.5561,1.0149,11.7489,,,,,,,,
2.107,2.086,2.610951,-1.7951,33.0476,26.5934,1.0317,11.7056,,,,,,,,
2.145,2.123,2.612017,-1.7969,33.0645,26.6072,1.0245,11.6667,,,,,,,,
2.178,2.156,2.612391,-1.7982,33.0711,26.6125,1.0052,11.6458,,,,,,,,
2.208,2.186,2.612552,-1.7992,33.0744,26.6153,1.0019,11.6313,,,,,,,,
2.235,2.212,2.612649,-1.7999,33.0767,26.617,0.9586,11.6209,,,,,,,,
2.255,2.232,2.612708,-1.8007,33.0782,26.6185,0.9246,11.6105,,,,,,,,
2.274,2.252,2.612721,-1.8014,33.0792,26.6191,0.8595,11.614,,,,,,,,
2.3,2.277,2.612772,-1.8016,33.0801,26.6199,0.8575,11.6047,,,,,,,,
2.334,2.31,2.612872,-1.801,33.0808,26.6206,0.8982,11.61,,,,,,,,
2.377,2.353,2.612989,-1.8,33.0813,26.6209,0.9109,11.6047,,,,,,,,
2.423,2.399,2.613105,-1.7989,33.0816,26.6212,0.8876,11.6049,,,,,,,,
2.47,2.444,2.613134,-1.7987,33.0819,26.6213,0.868,11.6018,,,,,,,,
2.513,2.487,2.61311,-1.7994,33.0823,26.6217,0.8961,11.6044,,,,,,,,
2.554,2.528,2.61307,-1.8005,33.0829,26.6223,0.9409,11.6059,,,,,,,,
2.595,2.569,2.613055,-1.8011,33.0834,26.6226,0.9538,11.6048,,,,,,,,
