Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E09,,,,,,,,,,,,,,
Date:,5/20/2015,,,,,,,,,,,,,,
Time (ADST):,19:15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.611,1.595,0.276246,-0.1639,2.7914,2.1116,9.4798,12.6525,,,,,,,,
1.631,1.615,0.284481,-0.1696,2.8802,2.1835,10.0395,12.6134,,,,,,,,
1.652,1.635,0.288264,-0.1722,2.9211,2.2165,10.9044,12.5715,,,,,,,,
1.674,1.657,0.290714,-0.1738,2.9476,2.238,12.7394,12.5427,,,,,,,,
1.697,1.68,0.294353,-0.1762,2.987,2.2699,16.1338,12.5034,,,,,,,,
1.721,1.704,0.298358,-0.1793,3.0304,2.3051,22.0526,12.474,,,,,,,,
1.745,1.727,0.302948,-0.1818,3.0801,2.3453,29.4795,12.4386,,,,,,,,
1.769,1.751,0.309377,-0.1839,3.1498,2.4018,35.014,12.4,,,,,,,,
1.793,1.775,0.314809,-0.1865,3.2088,2.4497,37.8305,12.3567,,,,,,,,
1.816,1.797,0.321499,-0.1898,3.2816,2.5086,38.8969,12.3167,,,,,,,,
1.837,1.818,0.326576,-0.1918,3.3369,2.5534,39.974,12.2826,,,,,,,,
1.854,1.835,0.330805,-0.1921,3.3829,2.5907,41.9627,12.2462,,,,,,,,
1.87,1.851,0.332064,-0.1912,3.3964,2.6018,43.4667,12.2148,,,,,,,,
1.888,1.869,0.332712,-0.1905,3.4033,2.6075,44.4121,12.186,,,,,,,,
1.906,1.887,0.334929,-0.1915,3.4276,2.6271,44.948,12.1624,,,,,,,,
1.925,1.905,0.339263,-0.1944,3.475,2.6655,45.4856,12.1387,,,,,,,,
1.944,1.924,0.345183,-0.1982,3.54,2.7181,46.4829,12.1088,,,,,,,,
1.965,1.945,0.348973,-0.2012,3.5816,2.7518,47.3297,12.0947,,,,,,,,
1.985,1.965,0.351579,-0.2029,3.6103,2.775,47.9925,12.0694,,,,,,,,
2.003,1.984,0.352832,-0.2036,3.6241,2.7861,48.4652,12.0592,,,,,,,,
2.023,2.002,0.353441,-0.2033,3.6307,2.7915,47.7177,12.0348,,,,,,,,
2.042,2.021,0.354297,-0.2032,3.64,2.7991,47.0212,12.0262,,,,,,,,
2.061,2.04,0.355957,-0.2041,3.6582,2.8139,46.7768,12.0112,,,,,,,,
2.079,2.058,0.358577,-0.2061,3.6871,2.8372,46.0386,11.9987,,,,,,,,
2.095,2.074,0.36241,-0.2087,3.7294,2.8714,45.5681,11.9851,,,,,,,,
2.111,2.09,0.36619,-0.2107,3.771,2.9051,45.4219,11.9796,,,,,,,,
2.126,2.104,0.368455,-0.2119,3.7959,2.9253,45.3304,11.9648,,,,,,,,
2.142,2.12,0.370362,-0.2136,3.8171,2.9423,45.2573,11.9585,,,,,,,,
2.157,2.135,0.373841,-0.2163,3.8556,2.9735,45.4232,11.9495,,,,,,,,
2.173,2.151,0.377977,-0.2196,3.9013,3.0105,45.588,11.938,,,,,,,,
2.189,2.168,0.380988,-0.2216,3.9347,3.0374,46.0391,11.9356,,,,,,,,
2.208,2.186,0.381534,-0.2223,3.9408,3.0423,46.7477,11.9312,,,,,,,,
2.227,2.204,0.381363,-0.2223,3.939,3.0408,47.0095,11.9308,,,,,,,,
2.246,2.223,0.383215,-0.2235,3.9594,3.0574,47.2496,11.9242,,,,,,,,
2.265,2.242,0.384224,-0.2253,3.9707,3.0665,47.7168,11.9254,,,,,,,,
2.282,2.26,0.387219,-0.2283,4.0041,3.0934,47.507,11.9133,,,,,,,,
2.301,2.278,0.393512,-0.2339,4.0741,3.15,46.7296,11.9072,,,,,,,,
2.32,2.297,0.402135,-0.2408,4.1702,3.2276,45.9497,11.9021,,,,,,,,
2.341,2.317,0.410761,-0.2465,4.2664,3.3053,45.2286,11.8912,,,,,,,,
2.364,2.34,0.418006,-0.2485,4.3468,3.3705,44.4567,11.8802,,,,,,,,
2.389,2.365,0.423781,-0.2498,4.411,3.4226,44.2802,11.876,,,,,,,,
2.413,2.389,0.430538,-0.2526,4.4864,3.4836,44.7099,11.8601,,,,,,,,
2.436,2.41,0.435647,-0.2551,4.5436,3.5299,45.481,11.8547,,,,,,,,
2.459,2.434,0.437559,-0.2559,4.565,3.5472,45.9893,11.8507,,,,,,,,
2.483,2.458,0.440014,-0.2577,4.5925,3.5694,46.0186,11.8464,,,,,,,,
2.507,2.482,0.444191,-0.2605,4.6395,3.6074,45.9102,11.8403,,,,,,,,
2.532,2.507,0.447955,-0.2633,4.6818,3.6417,45.4447,11.8334,,,,,,,,
2.557,2.531,0.452195,-0.2661,4.7295,3.6802,45.1101,11.8296,,,,,,,,
2.582,2.555,0.45382,-0.2672,4.7479,3.695,44.4661,11.8256,,,,,,,,
2.607,2.58,0.450966,-0.2657,4.7158,3.669,43.1201,11.8256,,,,,,,,
2.631,2.604,0.446566,-0.2633,4.6664,3.6291,41.6843,11.8256,,,,,,,,
2.655,2.628,0.444133,-0.2617,4.639,3.607,40.3174,11.826,,,,,,,,
2.679,2.652,0.445448,-0.2617,4.6537,3.6188,38.8988,11.8227,,,,,,,,
2.7,2.673,0.44996,-0.2642,4.7043,3.6598,37.4193,11.8148,,,,,,,,
2.723,2.695,0.459302,-0.2692,4.8094,3.7447,36.433,11.8031,,,,,,,,
2.744,2.716,0.469913,-0.2757,4.9291,3.8415,36.1882,11.7958,,,,,,,,
2.763,2.736,0.474768,-0.2804,4.9841,3.886,36.3473,11.7931,,,,,,,,
2.781,2.752,0.478627,-0.2838,5.028,3.9213,36.7827,11.7851,,,,,,,,
