Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E11,,,,,,,,,,,,,,
Date:,5/23/2015,,,,,,,,,,,,,,
Time (ADST):,18:41,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.602,1.586,0.102758,-0.0442,0.9807,0.6432,5.4082,12.878,,,,,,,,
1.631,1.614,0.102163,-0.0445,0.9747,0.6383,6.3735,12.8268,,,,,,,,
1.66,1.643,0.101534,-0.0451,0.9684,0.6331,6.731,12.7715,,,,,,,,
1.691,1.674,0.100831,-0.0458,0.9614,0.6274,8.1796,12.7221,,,,,,,,
1.72,1.703,0.099896,-0.0466,0.9521,0.6197,11.6221,12.6656,,,,,,,,
1.75,1.732,0.098963,-0.0475,0.9428,0.612,18.1046,12.6153,,,,,,,,
1.778,1.76,0.098335,-0.048,0.9365,0.6069,27.7045,12.5727,,,,,,,,
1.807,1.789,0.097989,-0.0481,0.9331,0.604,36.2285,12.5298,,,,,,,,
1.837,1.818,0.097762,-0.0483,0.9308,0.6022,40.6628,12.4898,,,,,,,,
1.867,1.848,0.097769,-0.0485,0.9309,0.6022,43.5424,12.4605,,,,,,,,
1.896,1.877,0.097749,-0.0486,0.9307,0.602,45.4984,12.435,,,,,,,,
1.925,1.905,0.097398,-0.0488,0.9272,0.5993,43.3348,12.4021,,,,,,,,
1.954,1.934,0.096991,-0.049,0.9232,0.5959,38.3674,12.3669,,,,,,,,
1.982,1.962,0.096627,-0.0494,0.9195,0.5929,37.638,12.3381,,,,,,,,
2.01,1.99,0.096202,-0.0501,0.9154,0.5895,43.0293,12.3028,,,,,,,,
2.037,2.016,0.095662,-0.0509,0.91,0.585,53.187,12.2795,,,,,,,,
2.065,2.044,0.095115,-0.0517,0.9045,0.5805,60.2516,12.2487,,,,,,,,
2.095,2.074,0.094698,-0.0521,0.9004,0.5771,66.4029,12.2326,,,,,,,,
2.125,2.103,0.094258,-0.0524,0.8961,0.5735,77.4262,12.2086,,,,,,,,
2.154,2.132,0.093949,-0.0524,0.8929,0.571,89.8763,12.1876,,,,,,,,
2.184,2.162,0.093831,-0.0524,0.8918,0.57,101.9164,12.1728,,,,,,,,
2.213,2.191,0.093899,-0.0526,0.8924,0.5706,111.0217,12.1738,,,,,,,,
2.243,2.22,0.094121,-0.053,0.8947,0.5723,114.4723,12.168,,,,,,,,
2.271,2.248,0.094428,-0.0534,0.8978,0.5749,113.9734,12.1664,,,,,,,,
2.298,2.276,0.094676,-0.0534,0.9002,0.5769,112.9481,12.1641,,,,,,,,
2.327,2.303,0.094824,-0.0534,0.9017,0.578,111.965,12.1653,,,,,,,,
2.357,2.333,0.094942,-0.0535,0.9028,0.579,111.1428,12.1646,,,,,,,,
2.387,2.363,0.09505,-0.0536,0.9039,0.5798,111.8703,12.1652,,,,,,,,
2.416,2.391,0.095177,-0.0537,0.9052,0.581,113.3658,12.1664,,,,,,,,
2.444,2.42,0.095287,-0.054,0.9063,0.5818,113.1552,12.1677,,,,,,,,
2.474,2.45,0.0954,-0.0543,0.9074,0.5827,112.2575,12.1693,,,,,,,,
2.506,2.481,0.095486,-0.0545,0.9083,0.5834,112.4338,12.1669,,,,,,,,
2.534,2.508,0.095549,-0.0544,0.9089,0.5839,113.1208,12.1678,,,,,,,,
2.562,2.536,0.095636,-0.0543,0.9098,0.5846,114.6678,12.165,,,,,,,,
2.59,2.564,0.095721,-0.0543,0.9106,0.5854,118.2833,12.1649,,,,,,,,
2.618,2.591,0.0958,-0.0544,0.9114,0.5859,124.5089,12.1674,,,,,,,,
2.645,2.618,0.095869,-0.0548,0.9122,0.5865,130.0111,12.1697,,,,,,,,
2.672,2.645,0.09593,-0.0553,0.9127,0.587,130.585,12.1698,,,,,,,,
2.7,2.673,0.095974,-0.0557,0.9132,0.5874,126.0809,12.1725,,,,,,,,
2.729,2.7,0.096004,-0.0556,0.9135,0.5876,121.9129,12.1783,,,,,,,,
2.758,2.729,0.096057,-0.0552,0.914,0.588,119.9156,12.1757,,,,,,,,
2.787,2.758,0.09613,-0.0549,0.9147,0.5886,118.4737,12.1764,,,,,,,,
2.817,2.788,0.096138,-0.0547,0.9148,0.5887,116.8251,12.1764,,,,,,,,
2.846,2.817,0.096126,-0.0545,0.9147,0.5886,115.0283,12.1816,,,,,,,,
2.877,2.848,0.096135,-0.0544,0.9147,0.5887,113.4321,12.1801,,,,,,,,
2.907,2.877,0.096183,-0.0543,0.9153,0.589,112.5251,12.1797,,,,,,,,
2.935,2.905,0.09629,-0.0543,0.9164,0.5899,112.4291,12.1781,,,,,,,,
2.962,2.933,0.096458,-0.0547,0.918,0.5913,113.2646,12.1791,,,,,,,,
2.99,2.96,0.096685,-0.0552,0.9203,0.5932,114.7436,12.1776,,,,,,,,
3.019,2.987,0.096898,-0.0556,0.9224,0.5949,116.4705,12.184,,,,,,,,
3.048,3.017,0.097268,-0.0559,0.9261,0.5978,118.973,12.1824,,,,,,,,
3.077,3.047,0.097701,-0.0561,0.9305,0.6014,121.0019,12.1859,,,,,,,,
3.107,3.076,0.098064,-0.0563,0.9341,0.6043,122.1047,12.1853,,,,,,,,
3.138,3.106,0.098283,-0.0566,0.9363,0.6061,122.5096,12.1911,,,,,,,,
