Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W04,,,,,,,,,,,,,,
Date:,5/19/2015,,,,,,,,,,,,,,
Time (ADST):,14:12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.592,1.576,2.563442,-1.7096,32.2943,25.9792,4.7242,11.6867,,,,,,,,
1.62,1.604,2.599793,-1.7454,32.8376,26.4216,4.6404,11.643,,,,,,,,
1.648,1.631,2.628125,-1.7744,33.2638,26.7687,4.4395,11.616,,,,,,,,
1.676,1.659,2.641682,-1.7942,33.475,26.9408,3.9726,11.6024,,,,,,,,
1.702,1.685,2.646656,-1.8053,33.5568,27.0076,3.254,11.5912,,,,,,,,
1.727,1.71,2.648306,-1.8112,33.5866,27.032,2.6755,11.5848,,,,,,,,
1.752,1.735,2.648869,-1.8139,33.5974,27.0408,2.3831,11.5772,,,,,,,,
1.779,1.761,2.6491,-1.8143,33.6012,27.0439,2.1719,11.5694,,,,,,,,
1.808,1.789,2.649249,-1.8135,33.6023,27.0449,1.9749,11.5642,,,,,,,,
1.836,1.817,2.649329,-1.8135,33.6034,27.0457,1.8701,11.5636,,,,,,,,
1.863,1.844,2.649297,-1.8146,33.6043,27.0465,1.8068,11.5633,,,,,,,,
1.89,1.871,2.649164,-1.8161,33.6041,27.0463,1.7563,11.5613,,,,,,,,
1.917,1.898,2.649113,-1.8167,33.604,27.0463,1.807,11.5651,,,,,,,,
1.941,1.921,2.649202,-1.816,33.6043,27.0466,1.8474,11.5602,,,,,,,,
1.966,1.946,2.649317,-1.8145,33.6043,27.0465,1.7984,11.5639,,,,,,,,
1.992,1.972,2.649457,-1.8127,33.6042,27.0463,1.7718,11.5633,,,,,,,,
2.021,2.001,2.649623,-1.8106,33.6042,27.0463,1.8087,11.5613,,,,,,,,
2.053,2.032,2.649694,-1.8095,33.6039,27.0459,1.8522,11.561,,,,,,,,
2.083,2.061,2.649655,-1.8097,33.6034,27.0457,1.896,11.5627,,,,,,,,
2.113,2.092,2.649627,-1.8102,33.6035,27.0457,1.9144,11.5629,,,,,,,,
2.144,2.122,2.649674,-1.8099,33.6039,27.046,1.8875,11.5646,,,,,,,,
2.174,2.152,2.649724,-1.8092,33.6038,27.0459,1.8603,11.5631,,,,,,,,
2.202,2.18,2.649772,-1.8085,33.6036,27.0457,1.8199,11.566,,,,,,,,
2.229,2.207,2.649806,-1.8079,33.6035,27.0457,1.7815,11.5717,,,,,,,,
2.257,2.234,2.649853,-1.8073,33.6034,27.0455,1.7686,11.5716,,,,,,,,
2.285,2.262,2.649905,-1.8066,33.6033,27.0455,1.7791,11.5683,,,,,,,,
2.313,2.289,2.649966,-1.8062,33.6037,27.0457,1.8098,11.5673,,,,,,,,
2.341,2.317,2.650013,-1.8062,33.6044,27.0464,1.8233,11.5683,,,,,,,,
2.371,2.347,2.649912,-1.8073,33.6041,27.0461,1.822,11.5688,,,,,,,,
2.402,2.378,2.649849,-1.8085,33.6045,27.0466,1.7783,11.5688,,,,,,,,
2.429,2.404,2.649858,-1.8091,33.6054,27.0472,1.7781,11.5681,,,,,,,,
2.452,2.426,2.649815,-1.8098,33.6056,27.0474,1.8098,11.5664,,,,,,,,
2.474,2.449,2.649728,-1.8107,33.6054,27.0473,1.8439,11.5663,,,,,,,,
2.502,2.476,2.649893,-1.809,33.6057,27.0475,1.8677,11.5631,,,,,,,,
2.534,2.508,2.650199,-1.8056,33.6061,27.0478,1.859,11.5567,,,,,,,,
2.567,2.542,2.650335,-1.8036,33.6057,27.0474,1.8527,11.5592,,,,,,,,
2.599,2.572,2.650266,-1.8038,33.605,27.0468,1.8482,11.5532,,,,,,,,
2.626,2.599,2.650185,-1.8048,33.605,27.0468,1.8224,11.5559,,,,,,,,
2.652,2.624,2.650119,-1.8052,33.6045,27.0465,1.816,11.5546,,,,,,,,
2.68,2.653,2.650082,-1.8051,33.6038,27.0459,1.8599,11.558,,,,,,,,
2.71,2.682,2.650117,-1.8046,33.6038,27.0458,1.8947,11.5615,,,,,,,,
2.737,2.709,2.650069,-1.8053,33.6038,27.0459,1.9148,11.5581,,,,,,,,
2.76,2.732,2.650026,-1.8061,33.6042,27.0461,1.8883,11.5618,,,,,,,,
2.781,2.753,2.649998,-1.8069,33.6046,27.0466,1.8818,11.5592,,,,,,,,
2.807,2.779,2.650023,-1.8073,33.6055,27.0472,1.8717,11.5681,,,,,,,,
2.835,2.806,2.650078,-1.807,33.6059,27.0476,1.8088,11.566,,,,,,,,
2.862,2.833,2.650151,-1.8066,33.6064,27.048,1.7944,11.5638,,,,,,,,
2.888,2.859,2.650202,-1.8061,33.6065,27.0481,1.857,11.5653,,,,,,,,
2.912,2.882,2.650276,-1.8051,33.6063,27.048,1.8816,11.5637,,,,,,,,
2.939,2.909,2.650431,-1.8032,33.6063,27.0478,1.8317,11.5629,,,,,,,,
2.971,2.941,2.650622,-1.8003,33.6058,27.0473,1.8481,11.5625,,,,,,,,
3.004,2.974,2.650726,-1.7982,33.6048,27.0465,1.8954,11.5632,,,,,,,,
3.036,3.005,2.6508,-1.7974,33.6048,27.0465,1.9064,11.5618,,,,,,,,
3.067,3.036,2.65074,-1.7977,33.6043,27.0461,1.8886,11.5641,,,,,,,,
3.101,3.069,2.650785,-1.7973,33.6045,27.0463,1.9181,11.563,,,,,,,,
3.137,3.105,2.651006,-1.7948,33.6047,27.0464,1.9337,11.5593,,,,,,,,
3.172,3.14,2.651245,-1.7916,33.6043,27.046,1.8828,11.5623,,,,,,,,
3.206,3.173,2.651372,-1.7892,33.6034,27.0452,1.8229,11.5611,,,,,,,,
3.242,3.21,2.651508,-1.7877,33.6035,27.0453,1.788,11.5624,,,,,,,,
3.284,3.251,2.65165,-1.7862,33.6038,27.0454,1.7781,11.5626,,,,,,,,
3.325,3.292,2.651718,-1.7855,33.6039,27.0455,1.7996,11.5729,,,,,,,,
3.368,3.333,2.651631,-1.7866,33.6039,27.0455,1.8288,11.5778,,,,,,,,
3.41,3.376,2.651407,-1.7891,33.6037,27.0454,1.8776,11.5675,,,,,,,,
3.453,3.418,2.651181,-1.792,33.6038,27.0455,1.8701,11.5732,,,,,,,,
3.49,3.455,2.650964,-1.7951,33.6042,27.0459,1.8469,11.5681,,,,,,,,
3.522,3.486,2.650818,-1.7973,33.6046,27.0464,1.8504,11.5723,,,,,,,,
3.555,3.519,2.650914,-1.7974,33.606,27.0475,1.8764,11.5746,,,,,,,,
3.591,3.555,2.651034,-1.796,33.6062,27.0476,1.8866,11.5724,,,,,,,,
3.627,3.59,2.651059,-1.7948,33.6052,27.0468,1.9157,11.569,,,,,,,,
