Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E05,,,,,,,,,,,,,,
Date:,5/20/2015,,,,,,,,,,,,,,
Time (ADST):,17:53,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.599,1.583,0.082813,-0.066,0.7828,0.48,89.4157,12.2769,,,,,,,,
1.617,1.601,0.081394,-0.0657,0.7688,0.4686,97.4617,12.2719,,,,,,,,
1.632,1.615,0.081112,-0.0657,0.7659,0.4663,104.0121,12.2612,,,,,,,,
1.648,1.631,0.079484,-0.0651,0.7499,0.4532,109.2873,12.266,,,,,,,,
1.662,1.645,0.077962,-0.0646,0.7349,0.4409,113.5597,12.2509,,,,,,,,
1.678,1.661,0.077694,-0.0645,0.7322,0.4387,116.0966,12.2499,,,,,,,,
1.695,1.678,0.076477,-0.0643,0.7201,0.4289,115.7573,12.2625,,,,,,,,
1.711,1.694,0.074834,-0.0641,0.704,0.4157,114.84,12.2525,,,,,,,,
1.727,1.709,0.073868,-0.064,0.6945,0.4079,118.4893,12.2441,,,,,,,,
1.741,1.723,0.072992,-0.064,0.6859,0.4009,122.7355,12.2443,,,,,,,,
1.753,1.735,0.072189,-0.0639,0.678,0.3944,122.8104,12.2418,,,,,,,,
1.766,1.748,0.071732,-0.0638,0.6735,0.3908,122.1971,12.2358,,,,,,,,
1.779,1.761,0.071731,-0.0639,0.6735,0.3907,127.3245,12.2215,,,,,,,,
1.791,1.773,0.071793,-0.064,0.6741,0.3912,134.9086,12.2291,,,,,,,,
1.803,1.785,0.071704,-0.064,0.6733,0.3905,139.5138,12.2335,,,,,,,,
1.813,1.795,0.071526,-0.064,0.6715,0.3891,137.6786,12.2327,,,,,,,,
1.822,1.804,0.071326,-0.0641,0.6696,0.3874,133.4196,12.2199,,,,,,,,
1.831,1.812,0.07126,-0.0643,0.6689,0.387,126.7852,12.2184,,,,,,,,
1.841,1.822,0.07122,-0.0643,0.6685,0.3866,121.8759,12.2106,,,,,,,,
1.855,1.836,0.071238,-0.0647,0.6686,0.3868,119.3929,12.2058,,,,,,,,
1.869,1.85,0.0713,-0.065,0.6693,0.3872,115.3162,12.2037,,,,,,,,
1.885,1.866,0.071371,-0.0653,0.67,0.3878,111.3676,12.1943,,,,,,,,
1.902,1.884,0.071678,-0.0656,0.6731,0.3902,110.6838,12.1973,,,,,,,,
1.92,1.901,0.072153,-0.066,0.6777,0.3941,112.2695,12.1876,,,,,,,,
1.937,1.917,0.072187,-0.0663,0.6781,0.3943,115.693,12.1822,,,,,,,,
1.954,1.934,0.071789,-0.0664,0.6742,0.3911,119.6489,12.1768,,,,,,,,
1.97,1.95,0.071402,-0.0665,0.6703,0.388,121.1998,12.1735,,,,,,,,
1.986,1.966,0.071165,-0.0666,0.668,0.3861,123.0205,12.1667,,,,,,,,
2.003,1.983,0.071039,-0.0666,0.6667,0.3851,125.1537,12.161,,,,,,,,
2.02,2,0.070972,-0.0666,0.6661,0.3845,127.7857,12.1562,,,,,,,,
2.035,2.014,0.070945,-0.0665,0.6659,0.3843,124.5108,12.1507,,,,,,,,
2.049,2.028,0.070937,-0.0664,0.6658,0.3842,115.5711,12.1464,,,,,,,,
2.063,2.042,0.070937,-0.0665,0.6658,0.3842,107.7344,12.1388,,,,,,,,
2.078,2.057,0.070935,-0.0668,0.6657,0.3842,103.3609,12.1298,,,,,,,,
2.093,2.072,0.070938,-0.0669,0.6658,0.3842,101.778,12.1289,,,,,,,,
2.109,2.088,0.070944,-0.0669,0.6659,0.3843,102.2052,12.1192,,,,,,,,
2.125,2.104,0.070957,-0.067,0.666,0.3843,107.9418,12.1082,,,,,,,,
2.144,2.122,0.070973,-0.067,0.6662,0.3845,118.5272,12.1036,,,,,,,,
2.16,2.138,0.070981,-0.0668,0.6662,0.3846,129.4745,12.0974,,,,,,,,
2.175,2.153,0.070971,-0.0668,0.6661,0.3845,137.4315,12.0871,,,,,,,,
2.189,2.167,0.070974,-0.067,0.6662,0.3845,140.9265,12.0792,,,,,,,,
2.202,2.18,0.07098,-0.0672,0.6662,0.3845,140.8558,12.0741,,,,,,,,
2.215,2.192,0.070973,-0.0672,0.6662,0.3845,138.4164,12.0652,,,,,,,,
2.229,2.205,0.070955,-0.0672,0.666,0.3843,129.8223,12.0555,,,,,,,,
2.242,2.22,0.070941,-0.0671,0.6658,0.3842,119.3768,12.0475,,,,,,,,
2.257,2.234,0.070946,-0.0672,0.6659,0.3842,111.1345,12.0387,,,,,,,,
2.269,2.246,0.070993,-0.0676,0.6664,0.3846,105.6035,12.0302,,,,,,,,
2.28,2.257,0.071049,-0.0681,0.6669,0.3851,103.2767,12.0178,,,,,,,,
2.29,2.267,0.071073,-0.0685,0.6672,0.3852,103.9694,12.0085,,,,,,,,
2.302,2.279,0.071092,-0.0686,0.6674,0.3853,108.9868,11.9957,,,,,,,,
2.315,2.292,0.071131,-0.0686,0.6677,0.3857,118.2455,11.9871,,,,,,,,
2.329,2.305,0.071181,-0.0687,0.6682,0.3861,127.8432,11.9743,,,,,,,,
2.345,2.321,0.071198,-0.0688,0.6684,0.3862,133.0437,11.9639,,,,,,,,
2.361,2.337,0.07121,-0.0688,0.6685,0.3863,134.7749,11.9511,,,,,,,,
2.377,2.353,0.071243,-0.0691,0.6688,0.3866,132.5862,11.938,,,,,,,,
2.391,2.367,0.071262,-0.0691,0.669,0.3867,127.6864,11.9252,,,,,,,,
2.407,2.383,0.071295,-0.0694,0.6694,0.387,122.3281,11.9094,,,,,,,,
2.423,2.398,0.071405,-0.07,0.6704,0.3878,115.4278,11.8939,,,,,,,,
2.441,2.415,0.071603,-0.0709,0.6724,0.3893,108.9793,11.8825,,,,,,,,
2.458,2.433,0.071748,-0.0717,0.6739,0.3905,105.2287,11.8659,,,,,,,,
2.474,2.449,0.071842,-0.0721,0.6747,0.3912,104.8736,11.8485,,,,,,,,
2.49,2.465,0.071963,-0.0724,0.676,0.3922,109.3267,11.8333,,,,,,,,
2.505,2.479,0.072129,-0.0728,0.6776,0.3935,117.9351,11.8159,,,,,,,,
2.518,2.492,0.07226,-0.0733,0.6789,0.3945,126.1627,11.7951,,,,,,,,
2.532,2.505,0.07233,-0.0738,0.6796,0.3951,130.3403,11.7776,,,,,,,,
2.545,2.519,0.072363,-0.0745,0.68,0.3953,132.1988,11.7609,,,,,,,,
2.559,2.532,0.072375,-0.0747,0.6801,0.3954,132.6268,11.7396,,,,,,,,
2.574,2.548,0.072375,-0.0743,0.6801,0.3954,127.1699,11.7177,,,,,,,,
2.591,2.566,0.072398,-0.0735,0.6803,0.3956,119.158,11.6942,,,,,,,,
2.609,2.583,0.072489,-0.0721,0.6811,0.3964,112.0522,11.6753,,,,,,,,
2.625,2.598,0.072631,-0.0714,0.6825,0.3976,107.6705,11.6498,,,,,,,,
2.638,2.612,0.072821,-0.0715,0.6844,0.3992,106.2098,11.6237,,,,,,,,
2.651,2.624,0.07304,-0.0719,0.6865,0.4009,108.7161,11.6007,,,,,,,,
2.662,2.635,0.073516,-0.0723,0.6912,0.4047,115.1147,11.5748,,,,,,,,
2.674,2.647,0.074437,-0.0731,0.7003,0.4121,124.1898,11.5456,,,,,,,,
2.687,2.66,0.075084,-0.0735,0.7067,0.4173,131.1427,11.5122,,,,,,,,
2.701,2.674,0.07498,-0.0736,0.7057,0.4164,131.9006,11.4842,,,,,,,,
2.718,2.69,0.074995,-0.074,0.7058,0.4165,131.7973,11.4558,,,,,,,,
2.736,2.708,0.075334,-0.0746,0.7092,0.4192,132.4908,11.4157,,,,,,,,
2.755,2.727,0.075231,-0.0752,0.7082,0.4184,129.7004,11.3882,,,,,,,,
2.774,2.746,0.075339,-0.0757,0.7092,0.4192,122.7747,11.3602,,,,,,,,
2.79,2.762,0.075647,-0.0763,0.7123,0.4216,115.6172,11.3103,,,,,,,,
2.803,2.774,0.075153,-0.0762,0.7074,0.4176,111.034,11.2669,,,,,,,,
2.812,2.784,0.074668,-0.0759,0.7027,0.4138,109.6711,11.2252,,,,,,,,
2.819,2.789,0.07477,-0.0758,0.7037,0.4146,110.8446,11.1789,,,,,,,,
2.825,2.797,0.07557,-0.0763,0.7115,0.4211,115.0493,11.1316,,,,,,,,
2.834,2.805,0.077864,-0.0776,0.7342,0.4395,120.6158,11.0817,,,,,,,,
2.846,2.817,0.080855,-0.0794,0.7637,0.4636,124.0093,11.0268,,,,,,,,
