Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,NM5,,,,,,,,,,,,,,
Date:,5/16/2015,,,,,,,,,,,,,,
Time (ADST):,19:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.586,1.57,2.024801,-1.3622,24.6576,19.7792,4.3039,12.2136,,,,,,,,
1.629,1.612,2.155734,-1.4692,26.4984,21.2717,3.071,12.12,,,,,,,,
1.67,1.652,2.351022,-1.6044,29.2687,23.5204,1.9885,11.9566,,,,,,,,
1.709,1.692,2.513338,-1.7235,31.6169,25.4292,1.3715,11.8229,,,,,,,,
1.75,1.732,2.579373,-1.7807,32.593,26.2235,1.0864,11.7695,,,,,,,,
1.791,1.773,2.603478,-1.8021,32.9517,26.5155,0.9522,11.7549,,,,,,,,
1.831,1.813,2.612172,-1.8101,33.0816,26.6214,0.984,11.7465,,,,,,,,
1.87,1.851,2.615272,-1.8134,33.1283,26.6595,1.0584,11.7367,,,,,,,,
1.907,1.888,2.616345,-1.815,33.1452,26.6732,1.1508,11.7125,,,,,,,,
1.94,1.92,2.616704,-1.8159,33.1512,26.678,1.1345,11.7052,,,,,,,,
1.972,1.952,2.616807,-1.8164,33.1531,26.6797,1.1245,11.707,,,,,,,,
2,1.98,2.616848,-1.8165,33.1538,26.6802,1.168,11.6942,,,,,,,,
2.026,2.006,2.61689,-1.8163,33.1541,26.6805,1.1552,11.6851,,,,,,,,
2.048,2.027,2.616885,-1.8165,33.1543,26.6806,1.1654,11.676,,,,,,,,
2.069,2.047,2.616835,-1.8174,33.1545,26.6808,1.1561,11.6684,,,,,,,,
2.091,2.07,2.616809,-1.818,33.1548,26.681,1.1436,11.6634,,,,,,,,
2.115,2.094,2.616817,-1.818,33.1549,26.6812,1.1333,11.6696,,,,,,,,
2.14,2.119,2.616847,-1.8178,33.1551,26.6812,1.0994,11.6686,,,,,,,,
2.167,2.145,2.616849,-1.8177,33.155,26.6812,1.027,11.6657,,,,,,,,
2.195,2.173,2.61684,-1.8177,33.1548,26.681,0.951,11.6679,,,,,,,,
2.224,2.202,2.616878,-1.8173,33.1549,26.6811,0.9148,11.6649,,,,,,,,
2.261,2.238,2.616919,-1.8167,33.1548,26.681,0.9221,11.6663,,,,,,,,
2.303,2.28,2.616964,-1.816,33.1547,26.6809,0.9525,11.6651,,,,,,,,
2.346,2.322,2.617045,-1.815,33.1546,26.6808,1.0449,11.6656,,,,,,,,
2.393,2.369,2.617109,-1.814,33.1543,26.6805,1.0339,11.6653,,,,,,,,
2.44,2.415,2.617186,-1.8129,33.1541,26.6804,0.9738,11.664,,,,,,,,
2.489,2.464,2.617269,-1.8121,33.1544,26.6805,0.9183,11.6614,,,,,,,,
