Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W07,,,,,,,,,,,,,,
Date:,5/17/2015,,,,,,,,,,,,,,
Time (ADST):,9:51,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
4.189,4.146,2.599977,-1.7873,32.8849,26.461,1.0023,11.7435,,,,,,,,
4.261,4.219,2.600051,-1.7864,32.885,26.4609,0.9712,11.7429,,,,,,,,
4.335,4.291,2.600145,-1.7855,32.8852,26.4611,0.9328,11.7416,,,,,,,,
4.409,4.364,2.600218,-1.7847,32.8853,26.4612,0.9218,11.7378,,,,,,,,
4.483,4.438,2.600251,-1.7843,32.8852,26.4612,0.923,11.738,,,,,,,,
4.556,4.51,2.600193,-1.7851,32.8853,26.4613,0.8793,11.7395,,,,,,,,
4.627,4.58,2.600152,-1.7863,32.886,26.4618,0.8239,11.7369,,,,,,,,
4.695,4.648,2.600088,-1.7877,32.8866,26.4623,0.8476,11.7356,,,,,,,,
4.761,4.713,2.600033,-1.7888,32.8871,26.4627,0.8684,11.7415,,,,,,,,
4.824,4.774,2.600014,-1.7893,32.8873,26.4629,0.9092,11.7377,,,,,,,,
4.885,4.835,2.600016,-1.7891,32.8871,26.4627,0.9417,11.7299,,,,,,,,
4.949,4.899,2.600062,-1.7883,32.8869,26.4626,0.9814,11.7352,,,,,,,,
5.017,4.966,2.600114,-1.7875,32.8866,26.4622,1.0174,11.7322,,,,,,,,
5.087,5.035,2.600072,-1.7877,32.8862,26.462,0.9618,11.728,,,,,,,,
5.158,5.106,2.600071,-1.788,32.8865,26.4622,0.9166,11.7344,,,,,,,,
5.23,5.177,2.600144,-1.7879,32.8872,26.4629,0.8883,11.7326,,,,,,,,
5.301,5.247,2.600215,-1.7879,32.8882,26.4637,0.908,11.7316,,,,,,,,
5.372,5.317,2.600282,-1.7881,32.8894,26.4646,0.9401,11.719,,,,,,,,
5.441,5.386,2.600286,-1.7884,32.8897,26.4648,0.967,11.7255,,,,,,,,
5.512,5.456,2.600291,-1.7884,32.8897,26.4649,0.9683,11.7235,,,,,,,,
5.585,5.529,2.600356,-1.7882,32.8903,26.4654,0.9565,11.7189,,,,,,,,
5.659,5.602,2.60041,-1.7878,32.8907,26.4656,0.9491,11.7201,,,,,,,,
5.733,5.675,2.600367,-1.7883,32.8906,26.4656,0.9562,11.7171,,,,,,,,
5.806,5.748,2.600168,-1.7904,32.8901,26.4652,0.9498,11.7205,,,,,,,,
5.876,5.816,2.600185,-1.7908,32.8908,26.4658,0.9198,11.7105,,,,,,,,
5.942,5.883,2.600518,-1.7884,32.8926,26.4673,0.8886,11.7115,,,,,,,,
6.01,5.949,2.600703,-1.7866,32.8931,26.4676,0.9033,11.7063,,,,,,,,
6.077,6.015,2.600714,-1.787,32.8937,26.468,0.9457,11.7047,,,,,,,,
6.146,6.084,2.600541,-1.789,32.8935,26.4679,0.9753,11.7058,,,,,,,,
6.217,6.154,2.600417,-1.7908,32.8937,26.4682,0.9563,11.704,,,,,,,,
6.289,6.225,2.600443,-1.7911,32.8944,26.4687,0.9516,11.7016,,,,,,,,
6.361,6.296,2.600426,-1.7909,32.8939,26.4683,0.9437,11.703,,,,,,,,
6.43,6.365,2.600486,-1.7904,32.8941,26.4685,0.9372,11.6964,,,,,,,,
6.498,6.431,2.60061,-1.7905,32.8959,26.47,0.9491,11.6944,,,,,,,,
