Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W06,,,,,,,,,,,,,,
Date:,5/20/2015,,,,,,,,,,,,,,
Time (ADST):,11:28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.61,1.594,1.400978,-0.9253,16.2876,13.0092,2.9001,12.4134,,,,,,,,
1.622,1.606,1.403958,-0.9281,16.3267,13.0406,2.919,12.4255,,,,,,,,
1.635,1.618,1.408677,-0.9329,16.3888,13.0908,2.8719,12.4259,,,,,,,,
1.648,1.632,1.414941,-0.939,16.471,13.1572,2.8214,12.4259,,,,,,,,
1.662,1.645,1.419857,-0.9445,16.536,13.2096,2.824,12.4339,,,,,,,,
1.673,1.656,1.425129,-0.9506,16.6058,13.266,2.8703,12.4421,,,,,,,,
1.684,1.667,1.433103,-0.9588,16.7111,13.3509,2.8827,12.4488,,,,,,,,
1.695,1.678,1.444399,-0.9696,16.8598,13.471,2.8807,12.4455,,,,,,,,
1.704,1.687,1.460098,-0.9831,17.0661,13.6376,2.88,12.4507,,,,,,,,
1.713,1.696,1.47542,-0.9959,17.2676,13.8003,2.8982,12.4409,,,,,,,,
1.723,1.706,1.487684,-1.0042,17.4279,13.9299,2.8988,12.4534,,,,,,,,
1.734,1.716,1.496147,-1.0088,17.538,14.0189,2.8463,12.4607,,,,,,,,
1.744,1.727,1.499015,-1.0099,17.5752,14.0489,2.7785,12.473,,,,,,,,
1.756,1.738,1.500339,-1.0107,17.5924,14.0628,2.731,12.4883,,,,,,,,
1.767,1.749,1.504264,-1.0152,17.6449,14.1052,2.6781,12.5011,,,,,,,,
1.778,1.76,1.518022,-1.0301,17.8288,14.2538,2.5711,12.5116,,,,,,,,
1.788,1.77,1.556006,-1.0647,18.3343,14.6621,2.4144,12.5085,,,,,,,,
1.797,1.78,1.635944,-1.1265,19.3987,15.5224,2.3627,12.4696,,,,,,,,
1.808,1.789,1.764908,-1.2155,21.1285,16.9216,2.3535,12.3722,,,,,,,,
1.818,1.8,1.911259,-1.3154,23.1185,18.5325,2.217,12.268,,,,,,,,
1.83,1.811,2.045155,-1.4086,24.9667,20.0298,2.1588,12.1722,,,,,,,,
1.841,1.821,2.142945,-1.4894,26.3439,21.1464,2.2027,12.1104,,,,,,,,
1.85,1.831,2.286276,-1.5827,28.3658,22.7873,2.2899,11.9929,,,,,,,,
1.858,1.839,2.456138,-1.6849,30.7882,24.7553,2.7685,11.8384,,,,,,,,
1.866,1.847,2.556934,-1.7521,32.2503,25.9444,3.5589,11.7422,,,,,,,,
1.874,1.855,2.596763,-1.7815,32.8353,26.4204,3.5133,11.6977,,,,,,,,
1.881,1.861,2.613889,-1.7944,33.0879,26.6261,2.6234,11.6858,,,,,,,,
