Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,E10,,,,,,,,,,,,,,
Date:,5/17/2015,,,,,,,,,,,,,,
Time (ADST):,17:54,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.593,1.577,2.62747,-1.8178,33.3034,26.8019,2.025,11.6818,,,,,,,,
1.623,1.606,2.627496,-1.8179,33.3039,26.8023,1.6784,11.6814,,,,,,,,
1.652,1.636,2.627457,-1.8183,33.3038,26.8023,1.3825,11.6831,,,,,,,,
1.682,1.665,2.627369,-1.8192,33.3037,26.8021,1.2381,11.684,,,,,,,,
1.71,1.692,2.627302,-1.82,33.3036,26.8021,1.1661,11.6807,,,,,,,,
1.736,1.718,2.627281,-1.8203,33.3036,26.8021,1.1348,11.6816,,,,,,,,
1.763,1.744,2.627261,-1.8205,33.3036,26.8021,1.1106,11.6828,,,,,,,,
1.79,1.772,2.627253,-1.8207,33.3036,26.8021,1.0857,11.6826,,,,,,,,
1.817,1.799,2.627262,-1.8207,33.3038,26.8023,1.0883,11.6807,,,,,,,,
1.844,1.825,2.627256,-1.8208,33.3038,26.8023,1.0832,11.6897,,,,,,,,
1.872,1.853,2.627245,-1.8208,33.3036,26.8021,1.0691,11.6856,,,,,,,,
1.9,1.881,2.627254,-1.8207,33.3036,26.8021,1.0772,11.6817,,,,,,,,
1.927,1.908,2.627288,-1.8203,33.3036,26.8021,1.0863,11.6835,,,,,,,,
1.956,1.936,2.627299,-1.8202,33.3036,26.8021,1.0828,11.6879,,,,,,,,
1.984,1.964,2.627279,-1.8205,33.3037,26.8021,1.0824,11.6816,,,,,,,,
2.01,1.99,2.627244,-1.8209,33.3037,26.8021,1.0595,11.6859,,,,,,,,
2.035,2.015,2.627202,-1.8215,33.3037,26.8022,1.0779,11.6859,,,,,,,,
2.062,2.04,2.627171,-1.8219,33.3036,26.8021,1.0944,11.682,,,,,,,,
2.087,2.067,2.627158,-1.822,33.3036,26.8021,1.098,11.6867,,,,,,,,
2.112,2.091,2.627164,-1.8221,33.3038,26.8023,1.1078,11.687,,,,,,,,
2.135,2.112,2.627177,-1.822,33.3038,26.8023,1.082,11.6819,,,,,,,,
2.158,2.136,2.627193,-1.8218,33.3038,26.8023,1.0405,11.6843,,,,,,,,
2.181,2.16,2.627209,-1.8216,33.3038,26.8023,1.0308,11.6843,,,,,,,,
2.204,2.182,2.627218,-1.8215,33.3037,26.8022,1.0495,11.6851,,,,,,,,
2.228,2.205,2.627219,-1.8214,33.3037,26.8022,1.05,11.6872,,,,,,,,
2.255,2.232,2.627222,-1.8213,33.3037,26.8022,1.0409,11.6839,,,,,,,,
2.284,2.261,2.627259,-1.821,33.3038,26.8023,1.0349,11.6851,,,,,,,,
2.317,2.293,2.62732,-1.8206,33.3041,26.8026,1.0609,11.686,,,,,,,,
2.351,2.327,2.627364,-1.8203,33.3045,26.8028,1.0839,11.6808,,,,,,,,
2.387,2.363,2.62738,-1.8202,33.3045,26.8028,1.1258,11.6823,,,,,,,,
2.423,2.399,2.62738,-1.8202,33.3045,26.8028,1.1207,11.6816,,,,,,,,
2.461,2.436,2.627365,-1.8203,33.3043,26.8028,1.0915,11.6859,,,,,,,,
