Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,S01,,,,,,,,,,,,,,
Date:,5/17/2015,,,,,,,,,,,,,,
Time (ADST):,12:43,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.61,1.594,2.607161,-1.7891,32.9885,26.5452,5.8135,11.7228,,,,,,,,
1.664,1.648,2.608691,-1.7912,33.0121,26.5645,4.27,11.7158,,,,,,,,
1.716,1.699,2.614444,-1.7961,33.0976,26.6341,2.9224,11.7015,,,,,,,,
1.763,1.744,2.620673,-1.8034,33.1925,26.7113,2.0796,11.6876,,,,,,,,
1.81,1.792,2.624419,-1.8092,33.2511,26.7593,1.609,11.6755,,,,,,,,
1.86,1.841,2.625907,-1.8121,33.2751,26.7788,1.3431,11.6771,,,,,,,,
1.908,1.889,2.626463,-1.8129,33.2839,26.7859,1.2747,11.6734,,,,,,,,
1.955,1.935,2.626646,-1.8135,33.287,26.7884,1.2536,11.6727,,,,,,,,
2.002,1.982,2.626717,-1.8137,33.2881,26.7893,1.258,11.6719,,,,,,,,
2.051,2.029,2.626835,-1.8131,33.2891,26.7901,1.2975,11.6699,,,,,,,,
2.102,2.081,2.626914,-1.8127,33.2897,26.7906,1.323,11.6644,,,,,,,,
2.154,2.132,2.626904,-1.8131,33.29,26.7908,1.3321,11.6613,,,,,,,,
2.205,2.183,2.626824,-1.8141,33.29,26.7908,1.3236,11.6641,,,,,,,,
2.254,2.231,2.626696,-1.8156,33.2897,26.7908,1.3151,11.6641,,,,,,,,
2.301,2.278,2.626613,-1.8166,33.2897,26.7908,1.2703,11.6662,,,,,,,,
2.348,2.324,2.626587,-1.8169,33.2898,26.7908,1.249,11.6656,,,,,,,,
2.391,2.368,2.626591,-1.8171,33.29,26.7909,1.28,11.6641,,,,,,,,
2.436,2.412,2.626576,-1.8173,33.2899,26.7909,1.292,11.6668,,,,,,,,
2.482,2.458,2.626613,-1.8171,33.2903,26.7912,1.3034,11.665,,,,,,,,
2.531,2.505,2.626715,-1.8165,33.2909,26.7917,1.3185,11.661,,,,,,,,
2.582,2.556,2.626807,-1.816,33.2917,26.7923,1.3302,11.6619,,,,,,,,
2.633,2.606,2.62688,-1.8157,33.2922,26.7927,1.3473,11.6623,,,,,,,,
2.681,2.654,2.626919,-1.8154,33.2925,26.7929,1.3477,11.6604,,,,,,,,
2.725,2.697,2.62691,-1.8156,33.2925,26.793,1.336,11.6631,,,,,,,,
2.766,2.739,2.62687,-1.8161,33.2925,26.7929,1.3248,11.6603,,,,,,,,
2.81,2.781,2.626866,-1.8163,33.2926,26.7931,1.34,11.6625,,,,,,,,
2.854,2.825,2.62698,-1.8155,33.2933,26.7936,1.3354,11.6601,,,,,,,,
2.9,2.87,2.627104,-1.8144,33.2937,26.794,1.3529,11.6608,,,,,,,,
2.948,2.918,2.627191,-1.8136,33.294,26.7942,1.3665,11.6598,,,,,,,,
2.997,2.967,2.627241,-1.8133,33.2944,26.7944,1.3554,11.6564,,,,,,,,
3.045,3.014,2.62726,-1.8133,33.2946,26.7946,1.3454,11.6516,,,,,,,,
3.091,3.06,2.627221,-1.8137,33.2944,26.7945,1.4227,11.6533,,,,,,,,
3.133,3.101,2.62718,-1.8142,33.2944,26.7945,1.4961,11.6572,,,,,,,,
3.175,3.143,2.627164,-1.8145,33.2946,26.7946,1.4689,11.6548,,,,,,,,
3.218,3.186,2.627191,-1.8148,33.2953,26.7952,1.4226,11.6519,,,,,,,,
3.26,3.227,2.627222,-1.815,33.2959,26.7957,1.4111,11.6517,,,,,,,,
3.298,3.265,2.627202,-1.8155,33.2961,26.7959,1.459,11.6513,,,,,,,,
3.333,3.299,2.627182,-1.8161,33.2964,26.7962,1.4653,11.6492,,,,,,,,
3.369,3.335,2.627197,-1.8165,33.2972,26.7968,1.4286,11.6474,,,,,,,,
3.406,3.372,2.627276,-1.8165,33.2982,26.7976,1.4455,11.6432,,,,,,,,
3.445,3.41,2.627368,-1.8161,33.299,26.7983,1.4813,11.6451,,,,,,,,
3.491,3.455,2.627487,-1.8157,33.3001,26.7991,1.4961,11.6424,,,,,,,,
3.54,3.504,2.627638,-1.815,33.3014,26.8002,1.4679,11.638,,,,,,,,
3.59,3.553,2.627789,-1.8143,33.3028,26.8013,1.4287,11.638,,,,,,,,
3.643,3.606,2.627901,-1.8141,33.3041,26.8023,1.407,11.6373,,,,,,,,
3.694,3.656,2.628041,-1.8139,33.3058,26.8038,1.4221,11.6349,,,,,,,,
3.745,3.707,2.628134,-1.8138,33.307,26.8047,1.4497,11.6357,,,,,,,,
3.795,3.756,2.628101,-1.8145,33.3072,26.8049,1.5278,11.6303,,,,,,,,
3.845,3.806,2.628121,-1.815,33.3081,26.8057,1.586,11.6276,,,,,,,,
3.898,3.859,2.628201,-1.8152,33.3092,26.8066,1.6015,11.6274,,,,,,,,
3.952,3.912,2.628373,-1.8147,33.3111,26.8081,1.5992,11.6256,,,,,,,,
4.003,3.963,2.628654,-1.8136,33.3137,26.8102,1.6386,11.6223,,,,,,,,
4.048,4.007,2.628945,-1.8127,33.3167,26.8126,1.7213,11.6186,,,,,,,,
4.093,4.051,2.629105,-1.8126,33.3188,26.8143,1.8304,11.6175,,,,,,,,
4.136,4.095,2.629195,-1.8129,33.3204,26.8156,1.9222,11.6199,,,,,,,,
4.178,4.136,2.629351,-1.8123,33.322,26.8169,1.9492,11.6173,,,,,,,,
4.223,4.18,2.629421,-1.8121,33.3227,26.8175,2.0356,11.6095,,,,,,,,
4.27,4.227,2.629472,-1.8123,33.3235,26.8181,2.171,11.6095,,,,,,,,
4.319,4.274,2.629533,-1.8121,33.3241,26.8186,2.2614,11.6114,,,,,,,,
4.369,4.325,2.629569,-1.8121,33.3246,26.819,2.3635,11.6026,,,,,,,,
4.426,4.381,2.629659,-1.8123,33.326,26.8201,2.3946,11.6068,,,,,,,,
4.486,4.441,2.629712,-1.8126,33.3271,26.8211,2.3989,11.6095,,,,,,,,
4.545,4.499,2.629745,-1.8128,33.3277,26.8216,2.3667,11.6091,,,,,,,,
4.597,4.55,2.629816,-1.8129,33.3288,26.8225,2.3497,11.6027,,,,,,,,
4.643,4.596,2.629929,-1.8131,33.3305,26.8238,2.3887,11.6029,,,,,,,,
4.694,4.646,2.630063,-1.8129,33.3323,26.8252,2.4428,11.601,,,,,,,,
4.755,4.707,2.630187,-1.8125,33.3333,26.8261,2.4783,11.6011,,,,,,,,
4.822,4.773,2.630323,-1.8114,33.334,26.8267,2.5665,11.6046,,,,,,,,
4.885,4.835,2.630464,-1.8106,33.335,26.8274,2.6057,11.5984,,,,,,,,
4.941,4.892,2.630542,-1.8106,33.3361,26.8283,2.6189,11.594,,,,,,,,
4.997,4.947,2.630786,-1.8103,33.3392,26.8307,2.6763,11.5961,,,,,,,,
5.058,5.007,2.631036,-1.8095,33.3417,26.8329,2.7143,11.5947,,,,,,,,
5.12,5.067,2.631171,-1.8087,33.3426,26.8335,2.7722,11.5905,,,,,,,,
5.178,5.126,2.631297,-1.8078,33.3433,26.8341,2.7891,11.5915,,,,,,,,
5.233,5.18,2.631393,-1.8074,33.3441,26.8348,2.8201,11.5916,,,,,,,,
5.29,5.237,2.631453,-1.8072,33.3448,26.8353,2.8486,11.5911,,,,,,,,
5.353,5.299,2.631523,-1.8071,33.3456,26.8359,2.9153,11.5924,,,,,,,,
5.416,5.361,2.631622,-1.8066,33.3463,26.8366,3.0269,11.5915,,,,,,,,
5.474,5.419,2.631698,-1.8061,33.3469,26.837,3.0589,11.5939,,,,,,,,
5.534,5.479,2.631641,-1.8066,33.3466,26.8367,3.0762,11.5908,,,,,,,,
5.598,5.541,2.631603,-1.8071,33.3466,26.8367,3.1076,11.5932,,,,,,,,
5.659,5.602,2.631682,-1.8066,33.347,26.8371,3.153,11.5954,,,,,,,,
5.71,5.652,2.631717,-1.8062,33.347,26.8371,3.2833,11.5966,,,,,,,,
5.752,5.694,2.631728,-1.806,33.3469,26.837,3.5431,11.5935,,,,,,,,
5.79,5.732,2.631822,-1.8053,33.3475,26.8374,3.8293,11.592,,,,,,,,
5.825,5.767,2.631706,-1.8064,33.3471,26.8372,3.7731,11.5935,,,,,,,,
5.855,5.796,2.631472,-1.8091,33.3468,26.837,3.6993,11.5938,,,,,,,,
5.874,5.814,2.631267,-1.8117,33.3469,26.837,3.8086,11.5991,,,,,,,,
5.886,5.826,2.631147,-1.8131,33.3468,26.837,3.8493,11.5942,,,,,,,,
5.893,5.833,2.631155,-1.8133,33.347,26.8372,3.796,11.5963,,,,,,,,
5.895,5.835,2.63107,-1.8137,33.3463,26.8367,3.3228,11.6004,,,,,,,,
5.896,5.836,2.631127,-1.8131,33.3465,26.8368,3.2561,11.6043,,,,,,,,
5.896,5.836,2.631177,-1.8127,33.3468,26.837,3.1809,11.6011,,,,,,,,
5.896,5.836,2.63115,-1.8127,33.3464,26.8368,3.1019,11.5998,,,,,,,,
5.896,5.836,2.631118,-1.8131,33.3464,26.8367,2.9926,11.6056,,,,,,,,
5.896,5.837,2.631035,-1.8142,33.3465,26.8368,3.261,11.607,,,,,,,,
5.897,5.837,2.631095,-1.8135,33.3465,26.8368,2.9055,11.6006,,,,,,,,
5.897,5.837,2.631086,-1.8138,33.3466,26.837,2.8741,11.6035,,,,,,,,
5.899,5.838,2.631011,-1.8148,33.3468,26.837,3.1841,11.6095,,,,,,,,
5.898,5.838,2.631067,-1.814,33.3467,26.837,2.9378,11.6044,,,,,,,,
5.898,5.838,2.631063,-1.8142,33.3468,26.8371,2.9673,11.605,,,,,,,,
5.898,5.838,2.631169,-1.8132,33.3472,26.8374,3.7694,11.5976,,,,,,,,
5.899,5.839,2.631104,-1.8137,33.3469,26.8371,2.8797,11.5991,,,,,,,,
5.899,5.839,2.631206,-1.8128,33.3472,26.8374,2.8458,11.598,,,,,,,,
5.899,5.839,2.631317,-1.8115,33.3473,26.8374,2.8511,11.6065,,,,,,,,
5.899,5.839,2.631378,-1.8106,33.3471,26.8372,2.8957,11.5977,,,,,,,,
5.899,5.839,2.631397,-1.8105,33.3473,26.8374,2.9582,11.602,,,,,,,,
5.899,5.839,2.631332,-1.8113,33.3473,26.8374,2.9485,11.6048,,,,,,,,
5.899,5.839,2.631209,-1.8124,33.3468,26.8371,2.8977,11.6017,,,,,,,,
5.899,5.839,2.631104,-1.8135,33.3466,26.8369,2.8097,11.6039,,,,,,,,
5.899,5.839,2.631171,-1.8133,33.3474,26.8376,3.6452,11.6,,,,,,,,
5.9,5.84,2.631005,-1.8133,33.3451,26.8357,3.0818,11.605,,,,,,,,
5.9,5.84,2.630933,-1.8144,33.3453,26.8359,3.093,11.6018,,,,,,,,
5.899,5.84,2.631028,-1.8143,33.3465,26.8368,2.7069,11.6065,,,,,,,,
5.9,5.84,2.630975,-1.815,33.3465,26.8369,2.6542,11.5993,,,,,,,,
5.9,5.84,2.631207,-1.8136,33.3482,26.8381,3.1407,11.6017,,,,,,,,
5.9,5.84,2.631184,-1.8136,33.3479,26.8379,3.4118,11.5987,,,,,,,,
5.901,5.841,2.631086,-1.8123,33.3451,26.8357,3.0463,11.609,,,,,,,,
5.902,5.841,2.63089,-1.8153,33.3457,26.8362,3.1015,11.6111,,,,,,,,
5.901,5.841,2.63086,-1.8164,33.3465,26.8369,3.1921,11.6114,,,,,,,,
5.901,5.841,2.630941,-1.8155,33.3466,26.8369,3.1908,11.6049,,,,,,,,
5.901,5.841,2.630964,-1.8152,33.3465,26.8369,2.7092,11.6009,,,,,,,,
5.901,5.841,2.631025,-1.8147,33.3469,26.8372,2.8146,11.6008,,,,,,,,
5.901,5.841,2.63128,-1.8131,33.3486,26.8385,3.0219,11.6003,,,,,,,,
5.901,5.841,2.63123,-1.8135,33.3483,26.8383,3.0015,11.5973,,,,,,,,
5.902,5.842,2.631098,-1.8123,33.3453,26.8358,3.0021,11.6173,,,,,,,,
5.902,5.842,2.630853,-1.8161,33.346,26.8365,3.1463,11.6108,,,,,,,,
5.902,5.842,2.630818,-1.8169,33.3465,26.8369,3.1473,11.6116,,,,,,,,
5.902,5.842,2.630825,-1.8169,33.3465,26.8369,3.1619,11.607,,,,,,,,
5.902,5.842,2.631118,-1.814,33.3473,26.8375,2.869,11.5992,,,,,,,,
5.902,5.842,2.631213,-1.8133,33.3479,26.8379,2.9369,11.6056,,,,,,,,
5.902,5.842,2.631285,-1.8129,33.3485,26.8384,3.0253,11.6002,,,,,,,,
5.903,5.843,2.630827,-1.8167,33.3464,26.8368,3.1498,11.6092,,,,,,,,
5.904,5.844,2.63106,-1.8129,33.3453,26.8359,2.9551,11.6121,,,,,,,,
5.908,5.848,2.631054,-1.8129,33.3453,26.8358,2.9168,11.6113,,,,,,,,
5.918,5.858,2.631087,-1.8125,33.3452,26.8357,2.9558,11.621,,,,,,,,
5.934,5.874,2.63117,-1.8112,33.3449,26.8355,3.0354,11.6151,,,,,,,,
5.96,5.899,2.631317,-1.8091,33.3446,26.8352,3.0853,11.6167,,,,,,,,
5.989,5.928,2.631485,-1.8073,33.3449,26.8353,3.1085,11.6051,,,,,,,,
6.009,5.948,2.631577,-1.807,33.3458,26.8361,3.1133,11.6136,,,,,,,,
6.021,5.96,2.63136,-1.8097,33.3458,26.8362,3.1896,11.6079,,,,,,,,
6.026,5.965,2.631104,-1.8131,33.3461,26.8365,3.2592,11.6159,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
