Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W05,,,,,,,,,,,,,,
Date:,5/20/2015,,,,,,,,,,,,,,
Time (ADST):,10:54,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.601,1.585,0.554005,-0.2978,5.881,4.6122,90.8777,12.4606,,,,,,,,
1.627,1.61,0.554784,-0.2979,5.8899,4.6194,129.0295,12.4525,,,,,,,,
1.652,1.636,0.55516,-0.298,5.8941,4.6228,138.3943,12.4531,,,,,,,,
1.678,1.66,0.554815,-0.2978,5.8902,4.6197,97.2436,12.4468,,,,,,,,
1.702,1.685,0.555473,-0.2979,5.8977,4.6258,62.1892,12.446,,,,,,,,
1.726,1.708,0.557694,-0.2991,5.9231,4.6463,48.4592,12.4437,,,,,,,,
1.75,1.732,0.560383,-0.3007,5.9539,4.6712,43.4436,12.4396,,,,,,,,
1.774,1.756,0.564312,-0.3029,5.9991,4.7076,41.3188,12.4369,,,,,,,,
1.798,1.78,0.569734,-0.3061,6.0614,4.758,40.3164,12.4351,,,,,,,,
1.822,1.804,0.574521,-0.3095,6.1166,4.8026,39.8599,12.4251,,,,,,,,
1.845,1.827,0.582336,-0.314,6.2065,4.8752,39.593,12.4191,,,,,,,,
1.869,1.851,0.590205,-0.3191,6.2973,4.9486,39.4214,12.4133,,,,,,,,
1.894,1.875,0.599507,-0.3246,6.4047,5.0353,39.0762,12.4023,,,,,,,,
1.918,1.899,0.613588,-0.3311,6.5674,5.1667,38.277,12.3908,,,,,,,,
1.945,1.925,0.623322,-0.3357,6.6799,5.2576,37.8048,12.3822,,,,,,,,
1.969,1.949,0.629192,-0.3385,6.7479,5.3126,38.0065,12.3748,,,,,,,,
1.993,1.973,0.635617,-0.3417,6.8225,5.3728,38.4258,12.3652,,,,,,,,
2.016,1.996,0.644845,-0.3463,6.9297,5.4595,38.5887,12.3605,,,,,,,,
2.037,2.016,0.656326,-0.3519,7.0633,5.5673,38.9547,12.3482,,,,,,,,
2.056,2.035,0.66545,-0.3561,7.1695,5.6532,39.8214,12.3433,,,,,,,,
2.076,2.055,0.670504,-0.3582,7.2284,5.7007,40.8321,12.3374,,,,,,,,
2.096,2.075,0.671489,-0.3584,7.2398,5.71,41.4789,12.3349,,,,,,,,
2.118,2.096,0.669291,-0.3579,7.2142,5.6893,41.4574,12.3344,,,,,,,,
2.138,2.116,0.670447,-0.359,7.2279,5.7004,40.6409,12.3351,,,,,,,,
2.157,2.136,0.678974,-0.3631,7.3275,5.7807,39.4796,12.3282,,,,,,,,
2.176,2.154,0.693315,-0.37,7.4953,5.9163,38.5159,12.3176,,,,,,,,
2.194,2.173,0.710579,-0.3788,7.6978,6.0799,37.7518,12.3036,,,,,,,,
2.213,2.191,0.723647,-0.3867,7.8518,6.2042,36.7027,12.2907,,,,,,,,
2.229,2.206,0.73191,-0.3926,7.9496,6.283,35.8185,12.2891,,,,,,,,
2.244,2.221,0.737629,-0.3968,8.0173,6.3377,35.1796,12.2848,,,,,,,,
2.258,2.236,0.741746,-0.4,8.0662,6.3771,34.4509,12.2781,,,,,,,,
2.274,2.251,0.746549,-0.4031,8.1231,6.423,33.5092,12.2815,,,,,,,,
2.29,2.266,0.755856,-0.4088,8.2333,6.512,32.3086,12.2687,,,,,,,,
2.306,2.282,0.774613,-0.4192,8.4558,6.6917,31.1015,12.2595,,,,,,,,
2.324,2.301,0.80651,-0.4347,8.8349,6.9977,30.204,12.2365,,,,,,,,
2.345,2.321,0.847982,-0.4526,9.3296,7.3971,29.4885,12.2095,,,,,,,,
2.368,2.344,0.882396,-0.4668,9.7417,7.73,29.0085,12.1872,,,,,,,,
2.393,2.369,0.894047,-0.4724,9.882,7.8432,28.999,12.1836,,,,,,,,
2.418,2.394,0.89089,-0.4718,9.8443,7.8127,28.8791,12.191,,,,,,,,
2.444,2.418,0.881288,-0.4691,9.7293,7.7198,28.3436,12.2059,,,,,,,,
2.471,2.446,0.880702,-0.4696,9.7225,7.7143,27.5378,12.2091,,,,,,,,
2.498,2.474,0.896922,-0.4759,9.9173,7.8717,26.689,12.1973,,,,,,,,
2.528,2.502,0.92204,-0.4858,10.2198,8.1159,26.028,12.1816,,,,,,,,
2.561,2.535,0.944679,-0.4956,10.4935,8.3368,25.6272,12.1754,,,,,,,,
2.596,2.57,0.964525,-0.5039,10.7339,8.531,25.3072,12.165,,,,,,,,
2.633,2.607,0.977444,-0.5096,10.8909,8.6576,25.1664,12.1626,,,,,,,,
2.669,2.642,0.98392,-0.5135,10.9701,8.7215,25.1469,12.1638,,,,,,,,
2.697,2.671,0.991272,-0.5174,11.0597,8.7939,24.9135,12.1671,,,,,,,,
2.723,2.695,1.000428,-0.5214,11.1713,8.8839,24.3282,12.167,,,,,,,,
2.748,2.72,1.00599,-0.5251,11.2396,8.939,23.7224,12.1594,,,,,,,,
