Project:,ANIMIDA III,,,,,,,,,,,,,,
Station:,W06,,,,,,,,,,,,,,
Date:,5/19/2015,,,,,,,,,,,,,,
Time (ADST):,14:52,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pressure (db),Depth (m),Cond (S/m),Temp (deg C),Salinity (psu),Sigma-t,OBS (ntu),DO (mg/L),,,,,,,,
1.591,1.575,2.611894,-1.7994,33.0658,26.6083,5.1238,11.6558,,,,,,,,
1.64,1.624,2.612178,-1.7999,33.0704,26.6121,4.696,11.656,,,,,,,,
1.692,1.675,2.612455,-1.8002,33.0746,26.6154,4.663,11.6463,,,,,,,,
1.746,1.728,2.612758,-1.8001,33.0786,26.6187,4.4463,11.6473,,,,,,,,
1.811,1.792,2.613015,-1.7997,33.0817,26.6212,3.6172,11.6496,,,,,,,,
1.887,1.867,2.613212,-1.7992,33.0838,26.6229,2.3965,11.6439,,,,,,,,
1.973,1.953,2.61336,-1.7988,33.0855,26.6243,1.5133,11.6419,,,,,,,,
2.056,2.035,2.613421,-1.799,33.0864,26.6251,1.1539,11.6423,,,,,,,,
2.126,2.104,2.613421,-1.7996,33.0871,26.6255,1.0427,11.6372,,,,,,,,
2.184,2.162,2.613401,-1.8003,33.0876,26.626,1.0209,11.6359,,,,,,,,
2.236,2.213,2.613394,-1.8009,33.0881,26.6264,1.0505,11.636,,,,,,,,
2.291,2.268,2.613416,-1.8013,33.0888,26.627,1.0385,11.6366,,,,,,,,
2.349,2.325,2.61348,-1.8013,33.0896,26.6277,0.9672,11.6325,,,,,,,,
2.409,2.384,2.613519,-1.8012,33.09,26.628,0.944,11.6261,,,,,,,,
2.466,2.441,2.613501,-1.8014,33.09,26.6279,0.947,11.6296,,,,,,,,
2.519,2.494,2.613496,-1.8019,33.0904,26.6283,0.9454,11.6283,,,,,,,,
2.569,2.543,2.613503,-1.8023,33.0909,26.6287,0.933,11.6331,,,,,,,,
2.618,2.591,2.613465,-1.8028,33.091,26.6288,0.9522,11.6316,,,,,,,,
2.671,2.644,2.613446,-1.8032,33.091,26.6289,0.9878,11.6323,,,,,,,,
2.726,2.698,2.613511,-1.8032,33.0919,26.6296,1.0459,11.6221,,,,,,,,
2.784,2.756,2.613612,-1.8028,33.0929,26.6304,1.0658,11.6291,,,,,,,,
